column,non_missing,years
1인가구수,108,"2018,2020,2021,2022,2023,2024"
1인가구수_20-44세,108,"2018,2020,2021,2022,2023,2024"
1인가구수_45-64세,108,"2018,2020,2021,2022,2023,2024"
1인가구수_65세 이상,90,"2020,2021,2022,2023,2024"
1인가구수_65세이상,18,2018
1인가구율_20-44세 가구,72,"2021,2022,2023,2024"
1인가구율_20-44세가구,36,"2018,2020"
1인가구율_45-64세 가구,72,"2021,2022,2023,2024"
1인가구율_45-64세가구,36,"2018,2020"
1인가구율_65세 이상 가구,90,"2020,2021,2022,2023,2024"
1인가구율_65세이상가구,18,2018
1인가구율_전체,108,"2018,2020,2021,2022,2023,2024"
1인당 도시림 면적,0,
1인당 생활권 도시림 면적,0,
가구소득(월300만원이상비율),17,2017
격리병실_병상수,106,"2016,2017,2020,2021,2022,2023"
격리병실병상수,36,"2018,2019"
고령인구비율,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
교원1인당학생수,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
구강보건_노인의치 보철사업 실적,19,"2016,2017,2018"
구강보건_노인의치 보철사업_수혜자수,26,"2016,2017,2018"
구조구급대원 1인당 담당 주민수,90,"2020,2021,2022,2023,2024"
구조구급대원1인당담당주민수,72,"2016,2017,2018,2019"
국민기초생활보장수급자,126,"2018,2019,2020,2021,2022,2023,2024"
국민기초생활보장수급자수율,54,"2022,2023,2024"
국민기초생활수급자수,36,"2016,2017"
국민기초생활수급자수율,54,"2018,2019,2021"
국민연금_지역가입자_소득신고자수,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
근력운동실천율_노인_조율,17,2017
근력운동실천율_노인_표준화율,17,2017
기초생활수급자수율,54,"2016,2017,2020"
노인교통사고_부상자수,145,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
노인교통사고_사고건수,145,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
노인교통사고_사망자수,145,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
노인교통사고_중상자수,144,"2016,2017,2018,2019,2020,2022,2023,2024"
노인운전자 교통사고_부상자수,72,"2020,2022,2023,2024"
노인운전자 교통사고_사고건수,72,"2020,2022,2023,2024"
노인운전자 교통사고_사망자수,72,"2020,2022,2023,2024"
노인운전자 교통사고_중상자수,72,"2020,2022,2023,2024"
노인운전자교통사고_부상자수,72,"2016,2017,2018,2019"
노인운전자교통사고_사고건수,72,"2016,2017,2018,2019"
노인운전자교통사고_사망자수,72,"2016,2017,2018,2019"
노인운전자교통사고_중상자수,55,"2016,2017,2018,2019"
노인인구 천명당 노인학대 신고접수 비율,68,"2016,2017,2018,2019"
노인인구수,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
노인장기요양_기관수,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
노인장기요양_시설_기관수,144,"2016,2017,2018,2019,2020,2021,2022,2023"
노인장기요양_시설_정원,144,"2016,2017,2018,2019,2020,2021,2022,2023"
노인장기요양_재가_기관수,144,"2016,2017,2018,2019,2020,2021,2022,2023"
노인장기요양_재가_정원,144,"2016,2017,2018,2019,2020,2021,2022,2023"
노인장기요양_정원,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
노인장기요양시설-치과위생사,6,2019
노인장기요양시설_간호사,144,"2016,2017,2018,2020,2021,2022,2023,2024"
노인장기요양시설_간호조무사,144,"2016,2017,2018,2020,2021,2022,2023,2024"
노인장기요양시설_물리-작업치료사,72,"2020,2021,2022,2023"
노인장기요양시설_물리작업치료사,54,"2016,2017,2018"
노인장기요양시설_사회복지사,144,"2016,2017,2018,2020,2021,2022,2023,2024"
노인장기요양시설_영양사,144,"2016,2017,2018,2020,2021,2022,2023,2024"
노인장기요양시설_요양보호사,144,"2016,2017,2018,2020,2021,2022,2023,2024"
노인장기요양시설_의사,144,"2016,2017,2018,2020,2021,2022,2023,2024"
노인장기요양시설_치과위생사,144,"2016,2017,2018,2020,2021,2022,2023,2024"
노인장기요양시설간호사,18,2019
노인장기요양시설간호조무사,18,2019
노인장기요양시설물리-작업치료사,18,2019
노인장기요양시설사회복지사,18,2019
노인장기요양시설영양사,18,2019
노인장기요양시설요양보호사,18,2019
노인장기요양시설의사,18,2019
노인천명당 노인학대 신고접수 비율,17,2020
노인천명당노인여가복지시설수,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
노인학대 신고접수 건수,17,2020
노인학대_신고접수 건수,68,"2016,2017,2018,2019"
독거노인가구비율,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
독거노인비율,144,"2016,2017,2018,2019,2020,2022,2023,2024"
무균치료_병상수,30,"2016,2017"
무균치료실_병상수,72,"2020,2021,2022,2023"
무균치료실병상수,36,"2018,2019"
미세먼지연간환경기준초과지역인구밀도,17,2016
병상수_계,144,"2016,2017,2018,2019,2020,2021,2022,2023"
병원급이상_물리치료실_병상수,18,2016
병원급이상_분만실병상수,18,2016
병원급이상_수술실_병상수,18,2016
병원급이상_신생아실_병상수,18,2016
병원급이상_응급실_병상수,18,2016
병원급이상_인공신장실_병상수,18,2016
병원급이상_회복실_병상수,18,2016
보건 및 사회복지 사업체 비율,90,"2020,2021,2022,2023,2024"
보건 및 사회복지 사업체 수,90,"2020,2021,2022,2023,2024"
보건 및 사회복지 사업체 종사자 비율,90,"2020,2021,2022,2023,2024"
보건 및 사회복지 사업체 종사자 수,90,"2020,2021,2022,2023,2024"
보건및사회복지사업종사자비율,54,"2017,2018,2019"
보건및사회복지사업체비율,54,"2017,2018,2019"
보건소인력_의사,154,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
보건소인력_치과의사,154,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
보건소인력_한의사,154,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
보건업및사회복지사업체수,18,2018
보건업및사회복지서비스업사업체수,36,"2017,2019"
보건업및사회복지서비스업종사자수,54,"2017,2018,2019"
사회복지사 사,18,2020
사회복지사 수,72,"2021,2022,2023,2024"
사회복지사수,72,"2016,2017,2018,2019"
사회적 거리두기 실천율_조율,17,2021
사회적 거리두기 실천율_표준화율,17,2021
사회적거리두기또는생활속거리두기실천율건_표준화율,17,2020
사회적거리두기또는생활속거리두기실천율건강_조율,17,2020
소방공무원 1인당 담당 주민수,72,"2021,2022,2023,2024"
소방공무원 1인당 담당주민수,18,2020
소방공무원1인당담당주민수,72,"2016,2017,2018,2019"
실업률,161,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
"실업률(지역사회건강조사,2017)",17,2017
아토피피부염 의사진단율_청소년,72,"2020,2022,2023,2024"
아토피피부염의사진단률_청소년,36,"2016,2017"
아토피피부염의사진단율_청소년,36,"2018,2019"
알레르기비염 의사진단율_청소년,72,"2020,2022,2023,2024"
알레르기비염의사진단률_청소년,36,"2016,2017"
알레르기비염의사진단율_청소년,36,"2018,2019"
응급실_응급의료기관외 응급실 운영기관,18,2020
응급실_응급의료기관외응급실운영기관,135,"2016,2017,2018,2019,2021,2022,2023,2024"
응급실_지역응급의료기관,161,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
의료기관진료비_외래,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
의료기관진료비_입원,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
의료기관진료비_전체,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
의료기관진료실인원 _입원,18,2020
의료기관진료실인원_외래,108,"2016,2017,2018,2019,2020,2021"
의료기관진료실인원_입원,90,"2016,2017,2018,2019,2021"
의료기관진료실인원_전체,108,"2016,2017,2018,2019,2020,2021"
의사 수,90,"2020,2021,2022,2023,2024"
의사수,72,"2016,2017,2018,2019"
의원_정신건강의학과,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
인구 천명당 의료기관병상수,18,2020
인구10만명당 사회복지시설수,18,2022
인구10만명당사회복지시설수,36,"2018,2019"
인구밀도,136,"2016,2017,2018,2019,2020,2022,2023,2024"
인구십만명당사회복지시설수,36,"2016,2017"
인구천명당 의료기관 병상수,54,"2021,2022,2024"
인구천명당 의료기관 종사 의사수,90,"2020,2021,2022,2023,2024"
인구천명당의료기관병상수,54,"2017,2018,2019"
인구천명당의료기관종사의사수,72,"2016,2017,2018,2019"
일반입원실_병상수,108,"2016,2017,2020,2021,2022,2023"
일반입원실병상수,36,"2018,2019"
일반회계 중 사회복지 예산 비중,54,"2020,2022,2023"
일반회계중사회복지예산비중,90,"2016,2017,2018,2019,2021"
일인가구_65세이상,18,2019
일인가구수_65세이상,36,"2016,2017"
일인가구율_65세이상,18,2019
일인가구율_65세이상가구,36,"2016,2017"
재정자립도,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
재정자주도,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
저작불편 호소율(65세 이상)_조율,71,"2021,2022,2023,2024"
저작불편 호소율(65세 이상)_표준화율,71,"2021,2022,2023,2024"
저작불편호소율(65세이상)_조율,34,"2018,2019"
저작불편호소율(65세이상)_표준화율,34,"2018,2019"
정신건강의학과전문의,162,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
정신과폐쇄_병상수,108,"2016,2017,2020,2021,2022,2023"
정신과폐쇄병상수,36,"2018,2019"
주관적 건강인지율_남성노인_조율,85,"2016,2017,2018,2019,2020"
주관적 건강인지율_남성노인_표준화,85,"2016,2017,2018,2019,2020"
주관적 건강인지율_여성노인_조율,85,"2016,2017,2018,2019,2020"
주관적 건강인지율_여성노인_표준화,85,"2016,2017,2018,2019,2020"
주민1인당 생활폐기물 배출량,72,"2020,2022,2023,2024"
주민1인당생활폐기물배출량,54,"2017,2018,2019"
중환자실_병상수,106,"2016,2017,2020,2021,2022,2023"
중환자실병상수,36,"2018,2019"
천식 의사진단율_청소년,72,"2020,2022,2023,2024"
천식의사진단률_청소년,36,"2016,2017"
천식의사진단율_청소년,36,"2018,2019"
총가구수_65세 이상,90,"2020,2021,2022,2023,2024"
총가구수_65세이상,72,"2016,2017,2018,2019"
치과의사 수,90,"2020,2021,2022,2023,2024"
치과의사수,72,"2016,2017,2018,2019"
특수진료실_물리치료실 병상수,108,"2018,2019,2021,2022,2023,2024"
특수진료실_물리치료실병상수,18,2020
특수진료실_분만실 병상수,108,"2018,2019,2021,2022,2023,2024"
특수진료실_분만실병상수,18,2020
특수진료실_수술실 병상수,108,"2018,2019,2021,2022,2023,2024"
특수진료실_수술실병상수,18,2020
특수진료실_신생아실 병상수,108,"2018,2019,2021,2022,2023,2024"
특수진료실_신생아실병상수,18,2020
특수진료실_응급실 병상수,108,"2018,2019,2021,2022,2023,2024"
특수진료실_응급실병상수,18,2020
특수진료실_인공신장실 병상수,108,"2018,2019,2021,2022,2023,2024"
특수진료실_인공신장실병상수,18,2020
특수진료실_회복실 병상수,108,"2018,2019,2021,2022,2023,2024"
특수진료실_회복실병상수,18,2020
한의사 수,90,"2020,2021,2022,2023,2024"
한의사수,72,"2016,2017,2018,2019"
