year,코드,시도,시군구,지역,CHS_No,아토피피부염의사진단률_청소년,알레르기비염의사진단률_청소년,천식의사진단률_청소년,주관적 건강인지율_남성노인_조율,주관적 건강인지율_남성노인_표준화,주관적 건강인지율_여성노인_조율,주관적 건강인지율_여성노인_표준화,노인학대_신고접수 건수,노인인구 천명당 노인학대 신고접수 비율,노인교통사고_사고건수,노인교통사고_사망자수,노인교통사고_부상자수,노인교통사고_중상자수,노인운전자교통사고_사고건수,노인운전자교통사고_사망자수,노인운전자교통사고_부상자수,노인운전자교통사고_중상자수,의사수,치과의사수,한의사수,사회복지사수,보건소인력_의사,보건소인력_치과의사,보건소인력_한의사,노인장기요양시설_의사,노인장기요양시설_간호사,노인장기요양시설_간호조무사,노인장기요양시설_치과위생사,노인장기요양시설_물리작업치료사,노인장기요양시설_요양보호사,노인장기요양시설_영양사,노인장기요양시설_사회복지사,인구천명당의료기관종사의사수,정신건강의학과전문의,노인장기요양_기관수,노인장기요양_정원,노인장기요양_시설_기관수,노인장기요양_시설_정원,노인장기요양_재가_기관수,노인장기요양_재가_정원,의원_정신건강의학과,응급실_지역응급의료기관,응급실_응급의료기관외응급실운영기관,병상수_계,일반입원실_병상수,정신과폐쇄_병상수,중환자실_병상수,격리병실_병상수,무균치료_병상수,병원급이상_분만실병상수,병원급이상_신생아실_병상수,병원급이상_수술실_병상수,병원급이상_회복실_병상수,병원급이상_응급실_병상수,병원급이상_인공신장실_병상수,병원급이상_물리치료실_병상수,의료기관진료실인원_전체,의료기관진료비_전체,의료기관진료실인원_입원,의료기관진료비_입원,의료기관진료실인원_외래,의료기관진료비_외래,구강보건_노인의치 보철사업 실적,구강보건_노인의치 보철사업_수혜자수,노인인구수,고령인구비율,독거노인비율,인구밀도,총가구수_65세이상,일인가구수_65세이상,일인가구율_65세이상가구,독거노인가구비율,국민기초생활수급자수,재정자주도,재정자립도,일반회계중사회복지예산비중,실업률,국민연금_지역가입자_소득신고자수,교원1인당학생수,노인천명당노인여가복지시설수,인구십만명당사회복지시설수,구조구급대원1인당담당주민수,소방공무원1인당담당주민수,미세먼지연간환경기준초과지역인구밀도,기초생활수급자수율,근력운동실천율_노인_조율,근력운동실천율_노인_표준화율,가구소득(월300만원이상비율),"실업률(지역사회건강조사,2017)",주민1인당생활폐기물배출량,인구천명당의료기관병상수,보건및사회복지사업종사자비율,보건업및사회복지서비스업종사자수,보건및사회복지사업체비율,보건업및사회복지서비스업사업체수,아토피피부염의사진단율_청소년,알레르기비염의사진단율_청소년,천식의사진단율_청소년,저작불편호소율(65세이상)_조율,저작불편호소율(65세이상)_표준화율,일반입원실병상수,정신과폐쇄병상수,중환자실병상수,격리병실병상수,무균치료실병상수,특수진료실_분만실 병상수,특수진료실_신생아실 병상수,특수진료실_수술실 병상수,특수진료실_회복실 병상수,특수진료실_응급실 병상수,특수진료실_인공신장실 병상수,특수진료실_물리치료실 병상수,1인가구수,1인가구수_20-44세,1인가구수_45-64세,1인가구수_65세이상,1인가구율_전체,1인가구율_20-44세가구,1인가구율_45-64세가구,1인가구율_65세이상가구,국민기초생활보장수급자,보건업및사회복지사업체수,인구10만명당사회복지시설수,국민기초생활수급자수율,노인장기요양시설의사,노인장기요양시설간호사,노인장기요양시설간호조무사,노인장기요양시설물리-작업치료사,노인장기요양시설-치과위생사,노인장기요양시설요양보호사,노인장기요양시설영양사,노인장기요양시설사회복지사,일인가구_65세이상,일인가구율_65세이상,아토피피부염 의사진단율_청소년,알레르기비염 의사진단율_청소년,천식 의사진단율_청소년,노인학대 신고접수 건수,노인천명당 노인학대 신고접수 비율,노인운전자 교통사고_사고건수,노인운전자 교통사고_사망자수,노인운전자 교통사고_부상자수,노인운전자 교통사고_중상자수,사회적거리두기또는생활속거리두기실천율건강_조율,사회적거리두기또는생활속거리두기실천율건_표준화율,의사 수,치과의사 수,한의사 수,사회복지사 사,노인장기요양시설_물리-작업치료사,인구천명당 의료기관 종사 의사수,응급실_응급의료기관외 응급실 운영기관,무균치료실_병상수,특수진료실_분만실병상수,특수진료실_신생아실병상수,특수진료실_수술실병상수,특수진료실_회복실병상수,특수진료실_응급실병상수,특수진료실_인공신장실병상수,특수진료실_물리치료실병상수,인구 천명당 의료기관병상수,의료기관진료실인원 _입원,총가구수_65세 이상,1인가구수_65세 이상,1인가구율_65세 이상 가구,일반회계 중 사회복지 예산 비중,보건 및 사회복지 사업체 종사자 비율,보건 및 사회복지 사업체 종사자 수,보건 및 사회복지 사업체 비율,보건 및 사회복지 사업체 수,구조구급대원 1인당 담당 주민수,소방공무원 1인당 담당주민수,주민1인당 생활폐기물 배출량,저작불편 호소율(65세 이상)_조율,저작불편 호소율(65세 이상)_표준화율,사회적 거리두기 실천율_조율,사회적 거리두기 실천율_표준화율,소방공무원 1인당 담당 주민수,사회복지사 수,인구천명당 의료기관 병상수,1인가구율_20-44세 가구,1인가구율_45-64세 가구,인구10만명당 사회복지시설수,1인당 생활권 도시림 면적,1인당 도시림 면적,국민기초생활보장수급자수율
2016,0,전국,전국,전국,   ,25.1,35.5,9.1,,,,,12009.0,1.7,35761.0,1732.0,38413.0,16938.0,24429.0,759.0,35687.0,9816.0,97713.0,24150.0,19737.0,3506.0,2109.0,434.0,967.0,1683.0,2675.0,9080.0,5.0,1974.0,313013.0,1130.0,14682.0,2.7,3254,19398,223573,5187.0,168356.0,14211.0,55217.0,912,262.0,126.0,692500.0,612133.0,67845.0,10127.0,2033.0,362.0,1399.0,5074.0,4927.0,4012.0,9324.0,8300.0,22452.0,49011735.0,71967112958.0,7838004.0,26709343579.0,48798623.0,45257769380.0,,,6995652,13.5,19.08896540318295,515.2130991147324,3867406.0,1294453.0,33.5,6.683567317454797,1630614.0,74.2,52.5,33.0,3.7,3886930,16.8,6.59,14.1,3936.36,1186.16,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,서울특별시,서울특별시,서울특별시,A  ,25.6,37.2,9.4,31.3,31.6,20.0,20.5,1117.0,0.9,5219.0,128.0,5376.0,2126.0,4548.0,50.0,6311.0,1493.0,28189.0,6803.0,4648.0,439.0,175.0,25.0,25.0,181.0,569.0,1256.0,3.0,217.0,59231.0,100.0,2317.0,4.0,731,2957,23073,531.0,14829.0,2426.0,8244.0,287,20.0,16.0,86420.0,78492.0,4540.0,2487.0,725.0,176.0,337.0,952.0,1198.0,889.0,1432.0,1191.0,3195.0,14434936.0,17169881430.0,1705971.0,6256002178.0,14368302.0,10913879252.0,,273.0,1295899,13.0,15.876951524447898,16408.917510052815,693968.0,196456.0,28.3,5.190787657162184,267023.0,85.8,84.7,40.6,4.2,718562,16.94,1.98,8.0,5110.97,1456.1,16409.0,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,21,부산광역시,부산광역시,부산광역시,B  ,24.8,32.5,6.8,21.9,22.0,13.3,13.4,753.0,1.4,1982.0,59.0,2045.0,1036.0,1324.0,24.0,1810.0,625.0,7637.0,1683.0,1609.0,347.0,42.0,6.0,4.0,46.0,87.0,306.0,0.0,94.0,20316.0,56.0,766.0,3.1,249,1020,8617,121.0,6259.0,899.0,2358.0,73,24.0,7.0,71129.0,64468.0,5653.0,862.0,120.0,26.0,170.0,565.0,451.0,403.0,684.0,828.0,1889.0,4159179.0,5985473942.0,654790.0,2560972120.0,4118867.0,3424501822.0,1284.0,766.0,536064,15.3,19.94057195135661,4544.222897500574,310576.0,102877.0,33.1,7.653570604908605,149528.0,71.7,60.1,42.5,3.9,249678,18.15,3.06,5.7,4319.17,1214.35,4544.0,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,22,대구광역시,대구광역시,대구광역시,C  ,25.7,36.0,9.6,26.4,26.5,12.9,13.0,497.0,1.5,1978.0,67.0,2068.0,909.0,1443.0,22.0,2006.0,528.0,5495.0,1238.0,1059.0,187.0,27.0,2.0,12.0,73.0,123.0,444.0,1.0,76.0,14618.0,49.0,639.0,3.1,171,1032,10598,257.0,7029.0,775.0,3569.0,42,9.0,12.0,36653.0,32147.0,3949.0,478.0,58.0,21.0,90.0,408.0,309.0,271.0,511.0,327.0,1397.0,3217012.0,4071129967.0,443467.0,1478364696.0,3195596.0,2592765270.0,2452.0,1324.0,328901,13.2,19.562007179696195,2811.97998450385,187514.0,62394.0,33.3,6.667785195452219,107763.0,73.5,57.1,43.0,4.1,191147,16.62,3.12,14.7,4336.05,1143.38,2812.0,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,23,인천광역시,인천광역시,인천광역시,D  ,24.9,35.4,8.5,30.3,30.6,17.8,18.7,868.0,2.7,1023.0,47.0,1044.0,467.0,668.0,16.0,984.0,268.0,4469.0,1136.0,860.0,192.0,58.0,21.0,33.0,86.0,125.0,578.0,0.0,119.0,20109.0,74.0,842.0,2.2,145,1169,13685,346.0,11461.0,823.0,2224.0,37,11.0,,32093.0,27903.0,3549.0,561.0,66.0,14.0,52.0,274.0,254.0,205.0,387.0,516.0,1052.0,3408545.0,3510492364.0,444267.0,1299572196.0,3385214.0,2210920168.0,322.0,203.0,324255,11.0,17.264255528286792,2769.6872954250866,171583.0,54272.0,31.6,5.106376572690972,100301.0,77.3,67.0,39.0,4.9,212359,16.04,3.09,16.8,4379.57,1198.32,2770.0,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,24,광주광역시,광주광역시,광주광역시,E  ,24.9,34.2,8.8,32.4,32.8,18.1,18.7,485.0,2.8,941.0,36.0,1002.0,327.0,694.0,12.0,1059.0,186.0,3434.0,969.0,701.0,152.0,14.0,5.0,5.0,38.0,49.0,176.0,0.0,45.0,11317.0,25.0,507.0,3.5,104,626,5317,102.0,3487.0,524.0,1830.0,30,15.0,4.0,39228.0,37097.0,1729.0,371.0,28.0,3.0,48.0,168.0,220.0,205.0,407.0,440.0,1163.0,2064337.0,2620750463.0,398801.0,1200971011.0,2040451.0,1419779451.0,236.0,179.0,172572,11.7,19.660296101714604,2931.1332768892726,98089.0,33006.0,33.6,5.796913090211672,69420.0,69.9,51.5,47.7,3.1,108955,17.66,5.46,10.3,4946.85,1222.31,0.0,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,25,대전광역시,대전광역시,대전광역시,F  ,26.2,35.3,8.6,32.3,31.9,19.7,21.0,405.0,2.4,1064.0,38.0,1130.0,471.0,700.0,22.0,1099.0,263.0,3455.0,793.0,714.0,109.0,13.0,0.0,1.0,56.0,93.0,261.0,0.0,66.0,12134.0,38.0,490.0,3.3,106,656,7390,120.0,5140.0,536.0,2250.0,47,5.0,1.0,23427.0,21282.0,1692.0,383.0,65.0,5.0,64.0,250.0,169.0,115.0,249.0,241.0,538.0,2127502.0,2431829438.0,284082.0,914203230.0,2110132.0,1517626208.0,,143.0,171568,11.3,18.266363255284748,2807.7812085482983,95102.0,30503.0,32.1,5.163890854548348,54490.0,72.0,55.0,43.5,3.2,109792,18.24,3.2,11.4,4631.1,1219.3,2808.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,26,울산광역시,울산광역시,울산광역시,G  ,23.7,35.3,7.9,25.1,25.0,14.7,15.2,406.0,3.7,598.0,26.0,660.0,317.0,356.0,7.0,519.0,173.0,1702.0,485.0,406.0,71.0,19.0,3.0,7.0,17.0,39.0,98.0,0.0,26.0,4235.0,14.0,176.0,2.2,53,225,2461,44.0,1679.0,181.0,782.0,15,7.0,5.0,15378.0,13948.0,1248.0,165.0,10.0,7.0,45.0,265.0,99.0,84.0,196.0,182.0,650.0,1349712.0,1429740492.0,190218.0,536309766.0,1340282.0,893430726.0,225.0,225.0,108768,9.3,18.396900051411926,1105.1191228187663,60928.0,19323.0,31.7,4.5356280235759705,18776.0,80.5,72.2,30.6,3.8,79514,15.1,4.67,7.4,4407.16,1284.01,1105.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,29,세종특별자치시,세종특별자치시,세종특별자치시,Q  ,24.5,36.7,11.0,23.1,24.5,17.8,20.0,,,71.0,9.0,75.0,52.0,36.0,4.0,46.0,24.0,180.0,74.0,69.0,9.0,13.0,2.0,7.0,6.0,4.0,17.0,0.0,4.0,833.0,3.0,29.0,1.3,6,44,542,9.0,382.0,35.0,160.0,4,1.0,1.0,1249.0,1141.0,108.0,,,,0.0,0.0,1.0,0.0,10.0,0.0,18.0,313996.0,142311242.0,6679.0,23855057.0,312717.0,118456185.0,23.0,23.0,24197,10.0,15.611320591167166,522.8317120347355,11816.0,3602.0,30.5,3.9839403625584815,4286.0,76.0,59.0,19.5,,14580,16.27,12.95,8.6,4340.14,832.36,523.0,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,31,경기도,경기도,경기도,H  ,25.6,38.2,10.1,30.6,31.1,17.7,18.5,1638.0,1.2,6602.0,249.0,7091.0,2900.0,4285.0,98.0,6457.0,1546.0,18846.0,5037.0,3845.0,756.0,206.0,34.0,87.0,427.0,685.0,2583.0,0.0,552.0,75788.0,270.0,3395.0,2.2,670,4562,62071,1599.0,48742.0,2963.0,13329.0,191,31.0,29.0,129372.0,112642.0,14484.0,1941.0,243.0,62.0,429.0,1416.0,1420.0,1261.0,2422.0,1974.0,5875.0,14504463.0,14048265816.0,1684639.0,4873865162.0,14418789.0,9174400654.0,,1549.0,1374475,10.8,15.936003879465488,1248.7682475820493,701528.0,211633.0,30.2,4.719290593396164,263841.0,76.9,67.4,33.9,3.9,922623,17.47,4.67,16.6,6399.99,1721.28,1249.0,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,32,강원도,강원도,강원도,I  ,26.3,33.1,8.8,28.1,28.5,13.5,14.9,895.0,3.4,1674.0,75.0,1914.0,696.0,1159.0,33.0,1864.0,418.0,2575.0,622.0,499.0,94.0,156.0,33.0,80.0,106.0,180.0,433.0,0.0,95.0,11072.0,57.0,670.0,2.4,100,748,11485,300.0,9331.0,448.0,2154.0,18,15.0,5.0,18519.0,15827.0,2100.0,447.0,141.0,4.0,27.0,61.0,140.0,127.0,389.0,279.0,863.0,1860662.0,1918303459.0,226784.0,635698046.0,1847737.0,1282605413.0,606.0,580.0,266152,17.2,21.188484719399945,92.16109180686013,150629.0,55212.0,36.7,8.957955434123042,62509.0,68.8,27.1,23.5,2.8,125395,15.84,8.34,27.3,1706.06,599.0,92.0,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,33,충청북도,충청북도,충청북도,J  ,24.8,33.1,9.8,30.9,31.6,16.9,18.3,589.0,2.4,1707.0,97.0,1887.0,836.0,1107.0,44.0,1712.0,486.0,2389.0,560.0,574.0,108.0,119.0,25.0,74.0,88.0,88.0,423.0,1.0,73.0,9650.0,48.0,512.0,2.2,106,681,9868,272.0,7923.0,409.0,1945.0,26,13.0,2.0,21252.0,17482.0,3415.0,278.0,73.0,4.0,16.0,166.0,110.0,63.0,311.0,294.0,603.0,1900790.0,1916561214.0,227313.0,616008306.0,1889356.0,1300552908.0,422.0,301.0,240690,15.1,20.9885838018506,214.87269660958054,135133.0,49483.0,36.6,8.008072320743663,53748.0,72.2,35.2,29.1,2.6,125678,17.11,11.96,24.5,2675.0,986.14,215.0,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,34,충청남도,충청남도,충청남도,K  ,24.4,34.4,11.0,25.4,26.6,14.6,15.4,862.0,2.3,1983.0,161.0,2129.0,1146.0,1189.0,80.0,1632.0,599.0,2995.0,820.0,769.0,142.0,201.0,36.0,115.0,124.0,96.0,488.0,0.0,101.0,14880.0,71.0,760.0,2.2,125,948,11820,285.0,9083.0,663.0,2737.0,26,9.0,4.0,27762.0,24294.0,3068.0,351.0,49.0,,30.0,133.0,116.0,88.0,376.0,270.0,686.0,2567085.0,2518068446.0,295301.0,851639420.0,2547652.0,1666429025.0,344.0,273.0,350108,16.7,20.110360488551667,254.88591604292222,197430.0,68899.0,34.9,8.467059098226684,62677.0,71.8,38.7,26.7,3.2,166195,17.58,12.04,19.7,2726.56,866.42,0.0,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,35,전라북도,전라북도,전라북도,L  ,25.7,35.7,9.6,27.6,28.7,14.3,15.5,515.0,1.5,1976.0,130.0,2219.0,966.0,1253.0,66.0,1928.0,530.0,3522.0,871.0,899.0,189.0,218.0,45.0,93.0,81.0,80.0,434.0,0.0,92.0,13698.0,55.0,765.0,2.8,123,1010,11002,228.0,7802.0,782.0,3200.0,37,14.0,1.0,39165.0,36169.0,2565.0,341.0,78.0,12.0,49.0,159.0,178.0,153.0,485.0,280.0,1405.0,2116267.0,3000413245.0,341963.0,1217025397.0,2100862.0,1783387847.0,,756.0,341203,18.3,22.66172487611911,231.10411714566595,199026.0,75848.0,38.1,10.46644164718675,99708.0,67.7,29.7,29.7,2.1,148262,15.82,14.57,18.0,2687.02,939.91,231.0,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,36,전라남도,전라남도,전라남도,M  ,23.3,27.5,6.6,22.9,23.3,12.4,13.6,678.0,1.7,2478.0,193.0,2777.0,1173.0,1583.0,105.0,2477.0,672.0,3042.0,693.0,747.0,187.0,292.0,84.0,182.0,149.0,88.0,474.0,0.0,95.0,15210.0,53.0,786.0,2.4,121,1076,11460,299.0,8796.0,777.0,2664.0,15,37.0,8.0,40928.0,36707.0,3703.0,382.0,124.0,12.0,39.0,148.0,200.0,182.0,660.0,652.0,1562.0,2163134.0,2806356922.0,357473.0,1123350464.0,2144772.0,1683006458.0,,712.0,398916,21.0,24.417142747960334,154.55359924084365,235015.0,95844.0,40.8,13.179922359415674,83850.0,65.6,23.8,25.3,3.0,161558,13.77,17.26,23.4,2350.51,791.32,0.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,37,경상북도,경상북도,경상북도,N  ,25.1,31.7,9.4,23.0,23.9,11.1,11.6,1052.0,2.1,3251.0,225.0,3563.0,1702.0,2104.0,103.0,3000.0,1022.0,3515.0,846.0,954.0,231.0,299.0,61.0,123.0,138.0,170.0,577.0,0.0,146.0,20986.0,98.0,1004.0,2.0,172,1339,16988,376.0,12889.0,963.0,4099.0,17,24.0,5.0,43982.0,36398.0,7023.0,457.0,104.0,,73.0,343.0,197.0,119.0,559.0,449.0,1011.0,3061218.0,3181288720.0,357835.0,1110815616.0,3035622.0,2070473104.0,1022.0,717.0,492417,18.2,23.167931020188202,141.8915905409628,291185.0,111776.0,38.4,10.382497926305591,105146.0,70.7,33.3,25.7,3.2,222086,16.54,11.68,18.1,2468.37,810.44,0.0,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,38,경상남도,경상남도,경상남도,O  ,22.9,33.3,7.4,23.4,23.9,11.6,12.5,1097.0,2.3,2490.0,155.0,2662.0,1483.0,1513.0,63.0,2111.0,787.0,5221.0,1277.0,1176.0,261.0,232.0,43.0,103.0,97.0,131.0,403.0,0.0,121.0,20022.0,83.0,830.0,2.3,237,1106,12538,232.0,9867.0,874.0,2671.0,37,26.0,26.0,60888.0,51714.0,8591.0,466.0,107.0,10.0,75.0,273.0,302.0,247.0,816.0,835.0,2108.0,3849749.0,4423239756.0,582485.0,1770925216.0,3818439.0,2652314539.0,566.0,983.0,480278,14.2,23.25375377298479,320.1148548459879,281294.0,108935.0,38.7,8.553830594343408,104213.0,72.3,43.5,28.7,3.3,271109,15.46,10.71,9.8,3025.89,1065.32,320.0,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,39,제주특별자치도,제주특별자치도,제주특별자치도,P  ,27.3,37.3,7.8,26.3,26.6,15.2,16.1,152.0,1.7,724.0,37.0,771.0,331.0,467.0,10.0,672.0,196.0,1047.0,243.0,208.0,32.0,25.0,9.0,16.0,41.0,83.0,144.0,0.0,53.0,3228.0,37.0,203.0,2.3,35,199,4658,66.0,3657.0,133.0,1001.0,10,1.0,,5055.0,4422.0,428.0,157.0,42.0,6.0,17.0,24.0,50.0,33.0,166.0,188.0,181.0,800542.0,793006042.0,93592.0,239765697.0,794890.0,553240345.0,380.0,367.0,89189,13.9,16.640647586007518,346.96883236221987,46590.0,14390.0,30.9,6.274608981542447,23335.0,70.1,38.2,20.1,2.2,59437,16.95,3.66,15.3,2970.36,911.36,0.0,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,0,전국,전국,전국,   ,25.1,35.8,8.8,,,,,13309.0,1.8,37555.0,1767.0,40579.0,17543.0,26713.0,848.0,38627.0,10472.0,100241.0,25300.0,20389.0,3588.0,2170.0,471.0,998.0,2198.0,2791.0,9845.0,7.0,2024.0,340624.0,1160.0,18535.0,2.8,3410,20377,243235,5304.0,174543.0,15073.0,68692.0,990,261.0,116.0,701744.0,621622.0,67298.0,10190.0,2254.0,380.0,,,,,,,,49173457.0,77974668488.0,7649595.0,29202696416.0,48952414.0,48771972072.0,,,7356106,14.2,18.63706151053288,515.9090022380325,4065109.0,1370962.0,33.72509814619977,6.9684391102413725,1581646.0,74.9,53.7,32.7,3.7,3865800,16.33,6.31,14.4,3671.0,1091.0,,3.05,,,,,1.03,13.55,8.2,1782672.0,3.6,145909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,11,서울특별시,서울특별시,서울특별시,A  ,25.6,37.0,9.4,33.1,33.7,23.0,23.8,1470.0,1.1,5357.0,139.0,5570.0,2141.0,5021.0,63.0,6959.0,1598.0,28746.0,7118.0,4733.0,453.0,175.0,25.0,26.0,222.0,558.0,1285.0,2.0,219.0,63429.0,99.0,2831.0,4.1,775,3040,23958,524.0,14620.0,2516.0,9338.0,302,20.0,15.0,86925.0,79239.0,4311.0,2478.0,705.0,192.0,,,,,,,,14488283.0,18701294358.0,1681283.0,6887025368.0,14421667.0,11814268990.0,,4.0,1359901,13.8,15.386414158089448,16286.729887575697,729630.0,209240.0,28.677548894645234,5.487168459533312,263347.0,86.2,85.0,39.8,4.5,701163,16.58,1.9,7.82,4976.0,1418.0,,2.67,22.1,22.9,68.96257420816409,33.29083261419182,0.94,8.82,7.0,358563.0,3.5,28683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,21,부산광역시,부산광역시,부산광역시,B  ,23.3,32.0,7.1,24.4,24.6,12.4,12.8,771.0,1.4,2038.0,78.0,2085.0,1002.0,1468.0,36.0,1931.0,655.0,7735.0,1730.0,1627.0,335.0,43.0,6.0,5.0,74.0,88.0,323.0,1.0,95.0,22546.0,59.0,1030.0,3.2,263,1055,9163,116.0,6091.0,939.0,3072.0,89,23.0,7.0,70767.0,64081.0,5642.0,866.0,152.0,26.0,,,,,,,,4151022.0,6436178268.0,632306.0,2766873988.0,4110610.0,3669304280.0,1064.0,621.0,565527,16.3,19.343196699715488,4507.1327728326305,323790.0,109391.0,33.78455171561815,8.076706972307315,145113.0,70.1,60.1,42.6,4.6,244612,17.69,2.95,6.51,4243.0,1125.0,,4.18,18.7,19.0,58.30905917984689,35.89843583707372,0.96,20.39,9.1,128997.0,3.2,9147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
