year,코드,시도,시군구,지역,CHS_No,주관적 건강수준인지율_조율,주관적 건강수준인지율_표준화율,주관적 건강인지율_남성노인_조율,주관적 건강인지율_남성노인_표준화,주관적 건강인지율_여성노인_조율,주관적 건강인지율_여성노인_표준화,스트레스인지율_조율,스트레스인지율_표준화율,우울감경험률_조율,우울감경험률_표준화율,스트레스인지율_청소년,우울감경험률_청소년,스트레스로인한정신상담률_조율,스트레스로인한정신상담률_표준화율,우울증상으로인한정신상담률_조율,우울증상으로인한정신상담률_표준화율,기분상태및우울_40세_1차검진_특이소견없음,기분상태및우울_40세_1차검진_2차추가진단필요,기분상태및우울_40세_2차검진_특이소견없음,기분상태및우울_40세_2차검진_경계상태,기분상태및우울_40세_2차검진_우울증의심,기분상태및우울_66세_1차검진_특이소견없음,기분상태및우울_66세_1차검진_2차추가진단필요,기분상태및우울_66세_2차검진_특이소견없음,기분상태및우울_66세_2차검진_경계상태,기분상태및우울_66세_2차검진_우울증의심,지역안전등급_자살,행복감지수_조율,행복감지수_표준화율,고의적자해(자살)_사망자수_전체,고의적자해(자살)_사망률_전체,고의적자해(자살)_표준화사망률_전체,고의적자해(자살)_사망자수_남자,고의적자해(자살)_사망률_남자,고의적자해(자살)_표준화사망률_남자,고의적자해(자살)_사망자수_여자,고의적자해(자살)_사망률_여자,고의적자해(자살)_표준화사망률_여자,자살생각률_조율,자살생각률_표준화율,자살시도율_조율,자살시도율_표준화율,지역안정등급_자살,스트레스 인지율_조율,스트레스 인지율_표준화율,우울감 경험률_조율,우울감 경험률_표준화율,삶의 질 지수(EQ-5D)_조율,삶의 질 지수(EQ-5D)_표준화율,스트레스로 인한 정신상담률_조율,스트레스로 인한 정신상담률_표준화율,스트레스 인지율_청소년,우울감 경험률_청소년,우울증상으로 인한 정신상담률_조율,우울증상으로 인한 정신상담률_표준화율,행복감 지수_조율,행복감 지수_표준화율
2016,0,전국,전국,전국,   ,,,,,,,,,,,37.4,25.5,,,,,481335.0,32227.0,5646.0,870.0,2008.0,282266.0,40351.0,13068.0,1112.0,1144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,서울특별시,서울특별시,서울특별시,A  ,44.7,46.9,31.3,31.6,20.0,20.5,29.1,30.1,7.0,6.9,39.0,28.0,7.8,7.9,17.5,18.0,90268.0,7563.0,1193.0,196.0,426.0,54482.0,9149.0,2989.0,282.0,221.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,21,부산광역시,부산광역시,부산광역시,B  ,39.1,43.3,21.9,22.0,13.3,13.4,25.2,27.0,6.1,5.8,31.0,21.4,9.4,9.0,22.6,22.9,29972.0,1576.0,369.0,78.0,138.0,24307.0,2990.0,1187.0,104.0,111.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,22,대구광역시,대구광역시,대구광역시,C  ,39.4,42.4,26.4,26.5,12.9,13.0,24.9,26.6,5.0,4.9,33.1,20.8,6.5,6.4,22.7,21.9,23217.0,1396.0,276.0,45.0,110.0,14071.0,1950.0,797.0,57.0,77.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,23,인천광역시,인천광역시,인천광역시,D  ,42.4,44.4,30.3,30.6,17.8,18.7,29.5,30.5,7.2,6.9,38.1,23.5,8.5,8.2,18.9,18.7,28155.0,2122.0,410.0,49.0,135.0,13633.0,2085.0,732.0,62.0,80.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,24,광주광역시,광주광역시,광주광역시,E  ,43.9,45.7,32.4,32.8,18.1,18.7,27.7,28.7,4.7,4.6,39.9,26.8,6.5,6.5,21.5,21.3,15358.0,942.0,200.0,20.0,39.0,8050.0,844.0,296.0,25.0,32.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,25,대전광역시,대전광역시,대전광역시,F  ,49.5,51.5,32.3,31.9,19.7,21.0,30.6,31.5,7.4,7.4,38.8,26.7,7.1,7.1,15.9,15.9,15333.0,1057.0,195.0,20.0,88.0,8068.0,1124.0,435.0,28.0,39.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,26,울산광역시,울산광역시,울산광역시,G  ,42.3,43.6,25.1,25.0,14.7,15.2,23.8,24.9,3.8,3.8,32.7,23.4,5.6,5.6,11.7,11.4,11838.0,619.0,138.0,23.0,61.0,5788.0,657.0,249.0,24.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,29,세종특별자치시,세종특별자치시,세종특별자치시,Q  ,46.7,49.2,23.1,24.5,17.8,20.0,25.3,25.0,5.0,4.9,35.4,26.2,9.1,9.2,25.3,24.0,2841.0,198.0,22.0,7.0,8.0,1019.0,115.0,27.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,31,경기도,경기도,경기도,H  ,42.7,44.4,30.6,31.1,17.7,18.5,29.5,30.3,6.6,6.5,38.5,26.8,7.9,8.0,17.3,17.2,129009.0,9584.0,1514.0,246.0,555.0,54352.0,9252.0,3017.0,225.0,258.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
