year,code,sido,sigungu,region,subjective_health_crude,subjective_health_std,stress_crude,stress_std,depression_crude,depression_std,suicide_ideation_crude,suicide_ideation_std,suicide_attempt_crude,suicide_attempt_std,eq5d_crude,eq5d_std,happiness_crude,happiness_std,stress_counseling_crude,stress_counseling_std,depression_counseling_crude,depression_counseling_std,suicide_mortality_std_total,is_national
2016,0,전국,전국,전국,,,,,,,,,,,,,,,,,,,,True
2016,11,서울특별시,서울특별시,서울특별시,44.7,46.9,29.1,30.1,7.0,6.9,,,,,,,,,7.8,7.9,17.5,18.0,,False
2016,21,부산광역시,부산광역시,부산광역시,39.1,43.3,25.2,27.0,6.1,5.8,,,,,,,,,9.4,9.0,22.6,22.9,,False
2016,22,대구광역시,대구광역시,대구광역시,39.4,42.4,24.9,26.6,5.0,4.9,,,,,,,,,6.5,6.4,22.7,21.9,,False
2016,23,인천광역시,인천광역시,인천광역시,42.4,44.4,29.5,30.5,7.2,6.9,,,,,,,,,8.5,8.2,18.9,18.7,,False
2016,24,광주광역시,광주광역시,광주광역시,43.9,45.7,27.7,28.7,4.7,4.6,,,,,,,,,6.5,6.5,21.5,21.3,,False
2016,25,대전광역시,대전광역시,대전광역시,49.5,51.5,30.6,31.5,7.4,7.4,,,,,,,,,7.1,7.1,15.9,15.9,,False
2016,26,울산광역시,울산광역시,울산광역시,42.3,43.6,23.8,24.9,3.8,3.8,,,,,,,,,5.6,5.6,11.7,11.4,,False
2016,29,세종특별자치시,세종특별자치시,세종특별자치시,46.7,49.2,25.3,25.0,5.0,4.9,,,,,,,,,9.1,9.2,25.3,24.0,,False
2016,31,경기도,경기도,경기도,42.7,44.4,29.5,30.3,6.6,6.5,,,,,,,,,7.9,8.0,17.3,17.2,,False
2016,32,강원도,강원도,강원도,39.3,43.7,24.8,26.6,5.5,5.3,,,,,,,,,8.3,7.9,19.5,18.8,,False
