variable,matched_source_columns,non_missing,years
subjective_health_crude,주관적 건강수준인지율_조율,139,"2016,2017,2018,2019,2021,2022,2023,2024"
subjective_health_std,주관적 건강수준인지율_표준화율,139,"2016,2017,2018,2019,2021,2022,2023,2024"
stress_crude,스트레스인지율_조율 | 스트레스 인지율_조율,157,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
stress_std,스트레스인지율_표준화율 | 스트레스 인지율_표준화율,157,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
depression_crude,우울감경험률_조율 | 우울감 경험률_조율,157,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
depression_std,우울감경험률_표준화율 | 우울감 경험률_표준화율,157,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
suicide_ideation_crude,자살생각률_조율,18,2024
suicide_ideation_std,자살생각률_표준화율,18,2024
suicide_attempt_crude,자살시도율_조율,0,
suicide_attempt_std,자살시도율_표준화율,0,
eq5d_crude,삶의 질 지수(EQ-5D)_조율,36,"2022,2024"
eq5d_std,삶의 질 지수(EQ-5D)_표준화율,36,"2022,2024"
happiness_crude,행복감지수_조율 | 행복감 지수_조율,52,"2017,2019,2024"
happiness_std,행복감지수_표준화율 | 행복감 지수_표준화율,52,"2017,2019,2024"
stress_counseling_crude,스트레스로인한정신상담률_조율 | 스트레스로 인한 정신상담률_조율,103,"2016,2017,2018,2019,2020,2024"
stress_counseling_std,스트레스로인한정신상담률_표준화율 | 스트레스로 인한 정신상담률_표준화율,103,"2016,2017,2018,2019,2020,2024"
depression_counseling_crude,우울증상으로인한정신상담률_조율 | 우울증상으로 인한 정신상담률_조율,122,"2016,2017,2018,2019,2020,2022,2023"
depression_counseling_std,우울증상으로인한정신상담률_표준화율 | 우울증상으로 인한 정신상담률_표준화율,122,"2016,2017,2018,2019,2020,2022,2023"
suicide_mortality_std_total,고의적자해(자살)_표준화사망률_전체,36,"2018,2019"
