year,sido,internet_use_rate,mobile_internet_use_rate,smartphone_use_rate,source_file,internet_pages,mobile_pages,smartphone_pages,code,sigungu,region,subjective_health_crude,subjective_health_std,stress_crude,stress_std,depression_crude,depression_std,suicide_ideation_crude,suicide_ideation_std,suicide_attempt_crude,suicide_attempt_std,eq5d_crude,eq5d_std,happiness_crude,happiness_std,stress_counseling_crude,stress_counseling_std,depression_counseling_crude,depression_counseling_std,suicide_mortality_std_total,is_national
2022,서울특별시,92.0,91.2,91.1,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,11000,서울특별시,서울특별시,50.7,54.5,24.0,25.7,7.3,7.1,,,,,0.948,0.958,,,,,30.6,31.1,,False
2022,부산광역시,95.5,94.8,95.1,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,21000,부산광역시,부산광역시,42.8,49.5,20.8,22.8,8.3,7.5,,,,,0.943,0.959,,,,,27.0,28.6,,False
2022,대구광역시,95.6,95.2,95.4,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,22000,대구광역시,대구광역시,44.6,50.0,20.3,22.6,6.2,6.1,,,,,0.957,0.967,,,,,26.2,28.0,,False
2022,인천광역시,93.6,88.7,88.1,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,23000,인천광역시,인천광역시,43.4,46.8,24.2,26.3,8.3,8.0,,,,,0.945,0.955,,,,,19.6,20.4,,False
2022,광주광역시,98.6,98.1,98.0,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,24000,광주광역시,광주광역시,44.4,48.2,24.3,25.9,6.5,6.3,,,,,0.951,0.96,,,,,22.6,23.0,,False
2022,대전광역시,93.8,93.0,93.0,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,25000,대전광역시,대전광역시,53.7,58.3,23.4,24.5,7.0,6.7,,,,,0.949,0.959,,,,,30.5,34.3,,False
2022,울산광역시,97.9,97.5,97.1,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,26000,울산광역시,울산광역시,44.4,48.2,20.5,21.9,8.1,7.8,,,,,0.947,0.954,,,,,22.7,25.2,,False
2022,경기도,93.0,90.2,90.0,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,31000,경기도,경기도,47.1,50.5,23.2,24.6,7.3,7.1,,,,,0.952,0.959,,,,,25.7,27.0,,False
2022,강원도,83.1,88.6,88.9,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,32000,강원도,강원도,42.1,48.0,22.0,25.5,7.8,7.1,,,,,0.936,0.954,,,,,22.2,23.4,,False
2022,충청북도,93.5,92.7,92.9,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,33000,충청북도,충청북도,46.0,50.9,22.7,25.2,8.2,7.8,,,,,0.942,0.956,,,,,21.1,22.2,,False
2022,충청남도,92.3,87.2,87.7,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,34000,충청남도,충청남도,43.1,48.7,22.9,25.4,8.2,7.9,,,,,0.931,0.95,,,,,26.0,28.4,,False
2022,세종특별자치시,89.7,88.6,88.3,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,29000,세종특별자치시,세종특별자치시,58.9,62.1,20.1,20.1,4.1,4.1,,,,,0.962,0.964,,,,,18.1,17.2,,False
