year,region_code,sido_nia,internet_use_rate,mobile_internet_use_rate,smartphone_use_rate,source_family,sido_chs,subjective_health_std,stress_std,depression_std,depression_counseling_std,stress_counseling_std,suicide_ideation_std,happiness_std,eq5d_std,aged_pop_rate,elderly_living_alone_household_rate,unemployment_rate,psychiatry_specialists_count,psychiatry_clinic_count,log1p_psychiatry_specialists_count,log1p_psychiatry_clinic_count
2021,seoul,서울특별시,93.2,92.6,92.3,NIA Internet Usage Survey,서울특별시,52.9,28.0,6.8,,,,,,16.8,7.05209,4.8,1037,486,6.945051063725834,6.18826412308259
2021,busan,부산광역시,96.1,95.7,95.2,NIA Internet Usage Survey,부산광역시,46.9,25.7,6.9,,,,,,20.4,10.35012,3.4,307,125,5.730099782973574,4.836281906951478
2021,daegu,대구광역시,93.5,93.4,93.0,NIA Internet Usage Survey,대구광역시,47.4,24.2,5.8,,,,,,17.5,9.1272,3.7,196,71,5.2832037287379885,4.276666119016055
2021,incheon,인천광역시,93.9,93.8,93.5,NIA Internet Usage Survey,인천광역시,45.6,29.5,8.8,,,,,,14.8,7.16875,4.0,171,52,5.147494476813453,3.970291913552122
2021,gwangju,광주광역시,95.2,95.2,94.5,NIA Internet Usage Survey,광주광역시,48.6,27.7,6.3,,,,,,14.8,7.61662,3.6,114,43,4.74493212836325,3.784189633918261
2021,daejeon,대전광역시,92.1,91.9,91.7,NIA Internet Usage Survey,대전광역시,55.2,24.0,6.5,,,,,,15.2,7.2281,3.3,132,61,4.890349128221754,4.127134385045092
2021,ulsan,울산광역시,97.9,97.9,97.6,NIA Internet Usage Survey,울산광역시,48.6,24.8,6.3,,,,,,13.6,6.86172,3.6,57,17,4.060443010546419,2.8903717578961645
2021,sejong,세종특별자치시,89.4,89.4,89.2,NIA Internet Usage Survey,세종특별자치시,48.9,25.5,6.6,,,,,,10.1,4.38556,2.1,17,9,2.8903717578961645,2.302585092994046
2021,gyeonggi,경기도,94.3,93.7,93.4,NIA Internet Usage Survey,경기도,48.6,28.1,7.1,,,,,,13.9,6.24442,3.7,830,291,6.7226297948554485,5.676753802268282
2021,gangwon,강원특별자치도,82.0,81.6,81.3,NIA Internet Usage Survey,강원도,48.0,28.3,7.2,,,,,,21.7,11.40134,3.6,96,21,4.574710978503383,3.091042453358316
