predictor,outcome,n,pearson_r
internet_use_rate,stress_crude,34,0.2302220530135413
internet_use_rate,stress_std,34,0.14240278818110122
internet_use_rate,depression_crude,34,0.2317121431119965
internet_use_rate,depression_std,34,0.28486647449589086
internet_use_rate,stress_counseling_crude,0,
internet_use_rate,depression_counseling_crude,34,0.07557700083379508
internet_use_rate,subjective_health_crude,34,-0.06927556115876508
internet_use_rate,happiness_crude,0,
mobile_internet_use_rate,stress_crude,34,0.0021216626220932296
mobile_internet_use_rate,stress_std,34,-0.0408536393274668
mobile_internet_use_rate,depression_crude,34,0.12765344101388396
mobile_internet_use_rate,depression_std,34,0.10688990697240085
mobile_internet_use_rate,stress_counseling_crude,0,
mobile_internet_use_rate,depression_counseling_crude,34,-0.04020975757840826
mobile_internet_use_rate,subjective_health_crude,34,-0.1493944098037182
mobile_internet_use_rate,happiness_crude,0,
smartphone_use_rate,stress_crude,34,-0.15422424848741972
smartphone_use_rate,stress_std,34,-0.16851468561064978
smartphone_use_rate,depression_crude,34,0.0894929545361572
smartphone_use_rate,depression_std,34,0.0469522415934569
smartphone_use_rate,stress_counseling_crude,0,
smartphone_use_rate,depression_counseling_crude,34,-0.16485929155804105
smartphone_use_rate,subjective_health_crude,34,-0.15036130843212467
smartphone_use_rate,happiness_crude,0,
