year,region_code,sido_nia,internet_use_rate,mobile_internet_use_rate,smartphone_use_rate,source_family,sido_chs,subjective_health_std,stress_std,depression_std,depression_counseling_std,stress_counseling_std,suicide_ideation_std,happiness_std,eq5d_std,aged_pop_rate,elderly_living_alone_household_rate,unemployment_rate,psychiatry_specialists_count,psychiatry_clinic_count,log1p_psychiatry_specialists_count,log1p_psychiatry_clinic_count,digital_raw_mean,internet_use_rate_pooled_z,internet_use_rate_within_year_z,mobile_internet_use_rate_pooled_z,mobile_internet_use_rate_within_year_z,smartphone_use_rate_pooled_z,smartphone_use_rate_within_year_z,digital_index_pooled_z,digital_index_within_year_z_raw,digital_index_within_year_z
2021,seoul,서울특별시,93.2,92.6,92.3,NIA Internet Usage Survey,서울특별시,52.9,28.0,6.8,,,,,,16.8,7.05209,4.8,1037,486,6.945051063725834,6.18826412308259,92.7,0.03894209803110482,0.3707084162146107,-0.09392434095170338,0.2666138009540641,-0.029482870013045042,0.2957569024695377,-0.028155037644547867,0.31102637321273746,0.324687315513429
2021,busan,부산광역시,96.1,95.7,95.2,NIA Internet Usage Survey,부산광역시,46.9,25.7,6.9,,,,,,20.4,10.35012,3.4,307,125,5.730099782973574,4.836281906951478,95.66666666666667,0.861732997859713,1.1386044212305924,0.8006201352208018,1.0835060864354227,0.7932560875208716,1.0672286110276468,0.8185364068671288,1.0964463728978873,1.144604638324835
2021,daegu,대구광역시,93.5,93.4,93.0,NIA Internet Usage Survey,대구광역시,47.4,24.2,5.8,,,,,,17.5,9.1272,3.7,196,71,5.2832037287379885,4.276666119016055,93.3,0.12405839801337408,0.45014593397488417,0.13692584644765546,0.4774247133363526,0.1691092921503146,0.48197421143184027,0.14336451220378135,0.4698482862476923,0.49048502602704913
2021,incheon,인천광역시,93.9,93.8,93.5,NIA Internet Usage Survey,인천광역시,45.6,29.5,8.8,,,,,,14.8,7.16875,4.0,171,52,5.147494476813453,3.970291913552122,93.73333333333333,0.23754679798973577,0.5560626243219179,0.2523509401473308,0.5828301695274931,0.3109608365527137,0.6149865749763416,0.26695285822992676,0.5846264562752509,0.6103044983143773
2021,gwangju,광주광역시,95.2,95.2,94.5,NIA Internet Usage Survey,광주광역시,48.6,27.7,6.3,,,,,,14.8,7.61662,3.6,114,43,4.74493212836325,3.784189633918261,94.96666666666665,0.6063840979129053,0.9002918679497721,0.6563387680962046,0.9517492661964941,0.594663925357512,0.8810113020653443,0.6191289304555406,0.9110174787372035,0.9510313112729976
2021,daejeon,대전광역시,92.1,91.9,91.7,NIA Internet Usage Survey,대전광역시,55.2,24.0,6.5,,,,,,15.2,7.2281,3.3,132,61,4.890349128221754,4.127134385045092,91.89999999999999,-0.27315100190388786,0.0794375177602697,-0.2959182549261362,0.08215425261956731,-0.19970472329592243,0.13614206621613759,-0.2562579933753155,0.09924461219865821,0.10360364743704047
2021,ulsan,울산광역시,97.9,97.9,97.6,NIA Internet Usage Survey,울산광역시,48.6,24.8,6.3,,,,,,13.6,6.86172,3.6,57,17,4.060443010546419,2.8903717578961645,97.8,1.3724307977533365,1.6152295277922406,1.4354581505690305,1.6632360954867085,1.474143500652385,1.705687956041251,1.4273441496582506,1.6613845264400666,1.734356081618876
2021,sejong,세종특별자치시,89.4,89.4,89.2,NIA Internet Usage Survey,세종특별자치시,48.9,25.5,6.6,,,,,,10.1,4.38556,2.1,17,9,2.8903717578961645,2.302585092994046,89.33333333333333,-1.0391977017443152,-0.6355001420821952,-1.0173250905491222,-0.5766298485750748,-0.9089624453079181,-0.528919751506369,-0.9884950792004519,-0.5803499140545464,-0.6058401212296368
2021,gyeonggi,경기도,94.3,93.7,93.4,NIA Internet Usage Survey,경기도,48.6,28.1,7.1,,,,,,13.9,6.24442,3.7,830,291,6.7226297948554485,5.676753802268282,93.8,0.35103519796609345,0.661979314668948,0.22349466672241297,0.5564788054797088,0.2825905276722355,0.5883841022674429,0.2857067974535807,0.6022807408053666,0.6287341967099949
2021,gangwon,강원특별자치도,82.0,81.6,81.3,NIA Internet Usage Survey,강원도,48.0,28.3,7.2,,,,,,21.7,11.40134,3.6,96,21,4.574710978503383,3.091042453358316,81.63333333333333,-3.1387331013069786,-2.594958913502294,-3.2681144176928423,-2.6320362443023613,-3.1502168468658263,-2.6305150955094914,-3.185688121955216,-2.6191700844380486,-2.734209626035795
