year,region_code,sido,internet_use_rate,mobile_internet_use_rate,smartphone_use_rate,source_family
2021,seoul,서울특별시,93.2,92.6,92.3,NIA Internet Usage Survey
2021,busan,부산광역시,96.1,95.7,95.2,NIA Internet Usage Survey
2021,daegu,대구광역시,93.5,93.4,93.0,NIA Internet Usage Survey
2021,incheon,인천광역시,93.9,93.8,93.5,NIA Internet Usage Survey
2021,gwangju,광주광역시,95.2,95.2,94.5,NIA Internet Usage Survey
2021,daejeon,대전광역시,92.1,91.9,91.7,NIA Internet Usage Survey
2021,ulsan,울산광역시,97.9,97.9,97.6,NIA Internet Usage Survey
2021,sejong,세종특별자치시,89.4,89.4,89.2,NIA Internet Usage Survey
2021,gyeonggi,경기도,94.3,93.7,93.4,NIA Internet Usage Survey
2021,gangwon,강원특별자치도,82.0,81.6,81.3,NIA Internet Usage Survey
2021,chungbuk,충청북도,91.5,91.2,90.7,NIA Internet Usage Survey
2021,chungnam,충청남도,91.1,90.8,90.3,NIA Internet Usage Survey
2021,jeonbuk,전북특별자치도,89.7,89.6,89.2,NIA Internet Usage Survey
2021,jeonnam,전라남도,86.6,86.6,86.1,NIA Internet Usage Survey
2021,gyeongbuk,경상북도,91.4,91.3,90.7,NIA Internet Usage Survey
2021,gyeongnam,경상남도,94.9,94.8,94.2,NIA Internet Usage Survey
2021,jeju,제주특별자치도,87.8,87.5,87.3,NIA Internet Usage Survey
2022,seoul,서울특별시,92.0,91.2,91.1,NIA Internet Usage Survey
2022,busan,부산광역시,95.5,94.8,95.1,NIA Internet Usage Survey
2022,daegu,대구광역시,95.6,95.2,95.4,NIA Internet Usage Survey
2022,incheon,인천광역시,93.6,88.7,88.1,NIA Internet Usage Survey
2022,gwangju,광주광역시,98.6,98.1,98.0,NIA Internet Usage Survey
2022,daejeon,대전광역시,93.8,93.0,93.0,NIA Internet Usage Survey
2022,ulsan,울산광역시,97.9,97.5,97.1,NIA Internet Usage Survey
2022,sejong,세종특별자치시,89.7,88.6,88.3,NIA Internet Usage Survey
2022,gyeonggi,경기도,93.0,90.2,90.0,NIA Internet Usage Survey
2022,gangwon,강원특별자치도,83.1,88.6,88.9,NIA Internet Usage Survey
2022,chungbuk,충청북도,93.5,92.7,92.9,NIA Internet Usage Survey
2022,chungnam,충청남도,92.3,87.2,87.7,NIA Internet Usage Survey
2022,jeonbuk,전북특별자치도,92.7,97.8,98.0,NIA Internet Usage Survey
2022,jeonnam,전라남도,85.7,96.0,96.7,NIA Internet Usage Survey
2022,gyeongbuk,경상북도,93.9,93.5,93.6,NIA Internet Usage Survey
2022,gyeongnam,경상남도,94.0,91.8,92.0,NIA Internet Usage Survey
2022,jeju,제주특별자치도,96.0,98.8,99.0,NIA Internet Usage Survey
2023,seoul,서울특별시,93.2,92.5,90.7,NIA Internet Usage Survey
2023,busan,부산광역시,94.8,94.5,94.1,NIA Internet Usage Survey
2023,daegu,대구광역시,98.4,98.4,97.7,NIA Internet Usage Survey
2023,incheon,인천광역시,93.6,93.1,91.7,NIA Internet Usage Survey
2023,gwangju,광주광역시,96.7,96.4,95.7,NIA Internet Usage Survey
2023,daejeon,대전광역시,96.8,96.4,94.9,NIA Internet Usage Survey
2023,ulsan,울산광역시,97.2,96.5,96.2,NIA Internet Usage Survey
2023,sejong,세종특별자치시,95.6,95.4,93.7,NIA Internet Usage Survey
2023,gyeonggi,경기도,93.2,92.5,91.0,NIA Internet Usage Survey
2023,gangwon,강원특별자치도,90.9,90.4,88.3,NIA Internet Usage Survey
2023,chungbuk,충청북도,95.4,94.9,92.9,NIA Internet Usage Survey
2023,chungnam,충청남도,95.2,94.7,93.3,NIA Internet Usage Survey
2023,jeonbuk,전북특별자치도,93.6,93.5,93.0,NIA Internet Usage Survey
2023,jeonnam,전라남도,90.6,90.4,89.5,NIA Internet Usage Survey
2023,gyeongbuk,경상북도,94.9,94.7,94.0,NIA Internet Usage Survey
2023,gyeongnam,경상남도,94.7,94.6,93.5,NIA Internet Usage Survey
2023,jeju,제주특별자치도,89.9,89.6,87.3,NIA Internet Usage Survey
