scope,year,predictor,outcome,n,pearson_r
pooled_2021_2023,all,digital_index_within_year_z,stress_std,51,-0.06301255198694428
within_year,2021,digital_index_within_year_z,stress_std,17,-0.034457908469095105
within_year,2022,digital_index_within_year_z,stress_std,17,-0.0662780763123229
within_year,2023,digital_index_within_year_z,stress_std,17,-0.12326534020075107
pooled_2021_2023,all,digital_index_within_year_z,depression_std,51,0.14011043475886853
within_year,2021,digital_index_within_year_z,depression_std,17,0.11185164711147327
within_year,2022,digital_index_within_year_z,depression_std,17,-0.002778841199529359
within_year,2023,digital_index_within_year_z,depression_std,17,0.3056019314188594
pooled_2021_2023,all,digital_index_within_year_z,depression_counseling_std,34,-0.08875751629662866
within_year,2021,digital_index_within_year_z,depression_counseling_std,0,
within_year,2022,digital_index_within_year_z,depression_counseling_std,17,0.09584596818776105
within_year,2023,digital_index_within_year_z,depression_counseling_std,17,-0.28238468948573986
pooled_2021_2023,all,digital_index_within_year_z,subjective_health_std,51,-0.09808928530077837
within_year,2021,digital_index_within_year_z,subjective_health_std,17,-0.10335464093047422
within_year,2022,digital_index_within_year_z,subjective_health_std,17,-0.24815738970348417
within_year,2023,digital_index_within_year_z,subjective_health_std,17,0.04268236674025042
pooled_2021_2023,all,digital_raw_mean,stress_std,51,-0.1085947989381301
within_year,2021,digital_raw_mean,stress_std,17,-0.034461328344069786
within_year,2022,digital_raw_mean,stress_std,17,-0.06421508053980084
within_year,2023,digital_raw_mean,stress_std,17,-0.1266397102453528
pooled_2021_2023,all,digital_raw_mean,depression_std,51,0.1860827206611709
within_year,2021,digital_raw_mean,depression_std,17,0.1118455150395114
within_year,2022,digital_raw_mean,depression_std,17,-0.00014806968744780744
within_year,2023,digital_raw_mean,depression_std,17,0.3050215368859007
pooled_2021_2023,all,digital_raw_mean,depression_counseling_std,34,-0.017062630473167452
within_year,2021,digital_raw_mean,depression_counseling_std,0,
within_year,2022,digital_raw_mean,depression_counseling_std,17,0.09637484589190108
within_year,2023,digital_raw_mean,depression_counseling_std,17,-0.2847940402763948
pooled_2021_2023,all,digital_raw_mean,subjective_health_std,51,-0.09032851208136142
within_year,2021,digital_raw_mean,subjective_health_std,17,-0.10338354388051602
within_year,2022,digital_raw_mean,subjective_health_std,17,-0.24937701264259213
within_year,2023,digital_raw_mean,subjective_health_std,17,0.03875424761365627
pooled_2021_2023,all,internet_use_rate,stress_std,51,0.0010340350475850604
within_year,2021,internet_use_rate,stress_std,17,-0.01880078742048332
within_year,2022,internet_use_rate,stress_std,17,0.0990091227043692
within_year,2023,internet_use_rate,stress_std,17,-0.06377608372538984
pooled_2021_2023,all,internet_use_rate,depression_std,51,0.2664599534788847
within_year,2021,internet_use_rate,depression_std,17,0.1198399833190971
within_year,2022,internet_use_rate,depression_std,17,0.18591669919400225
within_year,2023,internet_use_rate,depression_std,17,0.321699430555929
pooled_2021_2023,all,internet_use_rate,depression_counseling_std,34,0.05044178480255536
within_year,2021,internet_use_rate,depression_counseling_std,0,
within_year,2022,internet_use_rate,depression_counseling_std,17,0.10350748055576414
within_year,2023,internet_use_rate,depression_counseling_std,17,-0.26408712588263467
pooled_2021_2023,all,internet_use_rate,subjective_health_std,51,-0.11777160602856705
within_year,2021,internet_use_rate,subjective_health_std,17,-0.09901147045421352
within_year,2022,internet_use_rate,subjective_health_std,17,-0.2696549090767371
within_year,2023,internet_use_rate,subjective_health_std,17,0.08661778748096512
pooled_2021_2023,all,mobile_internet_use_rate,stress_std,51,-0.12148292227568638
within_year,2021,mobile_internet_use_rate,stress_std,17,-0.04317120667389621
within_year,2022,mobile_internet_use_rate,stress_std,17,-0.13412602972503207
within_year,2023,mobile_internet_use_rate,stress_std,17,-0.11993437695357442
pooled_2021_2023,all,mobile_internet_use_rate,depression_std,51,0.15220761300554217
within_year,2021,mobile_internet_use_rate,depression_std,17,0.10594790307346433
within_year,2022,mobile_internet_use_rate,depression_std,17,-0.09574053310948755
within_year,2023,mobile_internet_use_rate,depression_std,17,0.29709123117971503
pooled_2021_2023,all,mobile_internet_use_rate,depression_counseling_std,34,-0.0006364335147796613
within_year,2021,mobile_internet_use_rate,depression_counseling_std,0,
within_year,2022,mobile_internet_use_rate,depression_counseling_std,17,0.06209662445326395
within_year,2023,mobile_internet_use_rate,depression_counseling_std,17,-0.25192643620951877
pooled_2021_2023,all,mobile_internet_use_rate,subjective_health_std,51,-0.07383198990744544
within_year,2021,mobile_internet_use_rate,subjective_health_std,17,-0.11455884993241967
within_year,2022,mobile_internet_use_rate,subjective_health_std,17,-0.18788575144488598
within_year,2023,mobile_internet_use_rate,subjective_health_std,17,0.07279508224273276
pooled_2021_2023,all,smartphone_use_rate,stress_std,51,-0.18898087249187548
within_year,2021,smartphone_use_rate,stress_std,17,-0.041360438927456895
within_year,2022,smartphone_use_rate,stress_std,17,-0.13879482045724853
within_year,2023,smartphone_use_rate,stress_std,17,-0.18397909666762244
pooled_2021_2023,all,smartphone_use_rate,depression_std,51,0.11063061757804195
within_year,2021,smartphone_use_rate,depression_std,17,0.10963301832934122
within_year,2022,smartphone_use_rate,depression_std,17,-0.0974677638538827
within_year,2023,smartphone_use_rate,depression_std,17,0.29279274609547096
pooled_2021_2023,all,smartphone_use_rate,depression_counseling_std,34,-0.09491562831947549
within_year,2021,smartphone_use_rate,depression_counseling_std,0,
within_year,2022,smartphone_use_rate,depression_counseling_std,17,0.08589290315364387
within_year,2023,smartphone_use_rate,depression_counseling_std,17,-0.3263148759697278
pooled_2021_2023,all,smartphone_use_rate,subjective_health_std,51,-0.06532738478078569
within_year,2021,smartphone_use_rate,subjective_health_std,17,-0.0963697481181875
within_year,2022,smartphone_use_rate,subjective_health_std,17,-0.1936170484977325
within_year,2023,smartphone_use_rate,subjective_health_std,17,-0.03209516218589208
