variable,n,mean,sd,min,max
internet_use_rate,51,93.06274509803922,3.5596607020508984,82.0,98.6
mobile_internet_use_rate,51,92.92549019607844,3.499933892933118,81.6,98.8
smartphone_use_rate,51,92.40392156862744,3.559885435477593,81.3,99.0
digital_raw_mean,51,92.79738562091504,3.358821507197329,81.63333333333333,98.23333333333333
digital_index_within_year_z,51,1.7415263131375004e-17,1.0099504938362078,-2.734209626035795,1.8936234018287226
stress_std,51,25.34313725490196,1.9124073731253792,20.1,29.5
depression_std,51,7.07450980392157,1.0595929666159365,4.1,9.4
depression_counseling_std,34,26.591176470588238,4.1420509959153,17.2,35.9
subjective_health_std,51,49.249019607843145,3.7014252686779785,43.9,62.1
aged_pop_rate,51,18.64901960784314,3.9146071347719995,10.1,26.1
elderly_living_alone_household_rate,51,9.67798226662985,2.6995253943226842,4.38556,15.544047329400982
unemployment_rate,51,2.8745098039215686,0.6218820265146443,1.9,4.8
log1p_psychiatry_specialists_count,51,4.991868564144965,0.9513138483882645,2.8903717578961645,7.057897937411856
