outcome,predictor,n,rank,df_resid,clusters,coef,se_hc1,p_hc1_norm,se_cluster_region,p_cluster_norm,r2,model,controls
stress_std,digital_index_within_year_z,51,4,47,17,-0.11931839209419937,0.2614542192947563,0.6481279771404787,0.33964629008055514,0.7253618585019522,0.25166415631342387,M1_year_FE,
stress_std,digital_index_within_year_z,51,8,43,17,-0.15358925521395195,0.26937005602548797,0.5685560308124993,0.36091785977571494,0.670434447828627,0.41344694758686784,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
stress_std,digital_index_within_year_z,51,20,31,17,0.6706629196300908,0.23736649626291811,0.004721689314652787,0.30256221939488587,0.026649645470710207,0.8052717822577338,M3_region_year_FE,
stress_std,digital_index_within_year_z,51,24,27,17,0.6124373127982325,0.2743954771949133,0.025618188845783953,0.35158389791800043,0.08151931321660548,0.8388279084768815,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
stress_std,digital_raw_mean,51,4,47,17,-0.03402886451467821,0.08234645883535886,0.6794306611083306,0.10710627358462113,0.7507040019228826,0.25098418111432386,M1_year_FE,
stress_std,digital_raw_mean,51,8,43,17,-0.04651917016811806,0.08176530736123466,0.5694000443279574,0.10736797183411345,0.6648196515486224,0.4131787341969191,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
stress_std,digital_raw_mean,51,20,31,17,0.2050601491177505,0.07278693230475301,0.004843439485695351,0.09018931413654485,0.02298622801695746,0.8046169895987688,M3_region_year_FE,
stress_std,digital_raw_mean,51,24,27,17,0.1897762713793722,0.08443139781058276,0.024595463165319808,0.1026806880889105,0.06457084713637229,0.8382962564707315,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
stress_std,internet_use_rate,51,4,47,17,0.008983203451183029,0.08276858806664271,0.9135721355248619,0.11916474830148134,0.9399086011543938,0.24794786746375885,M1_year_FE,
stress_std,internet_use_rate,51,8,43,17,-0.02767581544351018,0.0797171629518847,0.7284597627197757,0.10993661187761723,0.8012394158356079,0.40994457097700454,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
stress_std,internet_use_rate,51,20,31,17,0.29402836328730336,0.10323733977805566,0.004398365154498006,0.1351204713398505,0.029551819939174523,0.8221528245297178,M3_region_year_FE,
stress_std,internet_use_rate,51,24,27,17,0.3071547944137632,0.09833577716068577,0.0017869537332057769,0.11505321781879463,0.007592450984834538,0.8612479505349548,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
stress_std,mobile_internet_use_rate,51,4,47,17,-0.046555296419372595,0.0784919823481532,0.5530997224891652,0.0942174331559043,0.6212170990659993,0.2543360802971052,M1_year_FE,
stress_std,mobile_internet_use_rate,51,8,43,17,-0.04518737183843975,0.07580109986910909,0.5510878362987837,0.09493953030124329,0.6341032279335662,0.41358679361912154,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
stress_std,mobile_internet_use_rate,51,20,31,17,0.1412275160373074,0.06866440826454431,0.039707484684433296,0.08640821636272181,0.10217020821435664,0.7908242784940437,M3_region_year_FE,
stress_std,mobile_internet_use_rate,51,24,27,17,0.12153553594903338,0.07646997768027433,0.11198736589347087,0.09824573328983333,0.21606605859064332,0.8257844454348635,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
stress_std,smartphone_use_rate,51,4,47,17,-0.054067669455710864,0.0777392592768787,0.48674189330321965,0.09187839858976646,0.5562169505159722,0.2571948335900546,M1_year_FE,
stress_std,smartphone_use_rate,51,8,43,17,-0.04993449400972181,0.07423429744245222,0.501163179345131,0.09434223356446615,0.5966036062991733,0.4151556464710513,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
stress_std,smartphone_use_rate,51,20,31,17,0.14324986329159792,0.06621794876129103,0.030517445969896365,0.08325311734400147,0.08531351066201343,0.7925698319373718,M3_region_year_FE,
stress_std,smartphone_use_rate,51,24,27,17,0.12379257888274982,0.07747727510251742,0.11008925110981617,0.10006323725165943,0.216033830112965,0.8268088105305503,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_std,digital_index_within_year_z,51,4,47,17,0.14699733514272129,0.17341712042433766,0.39663191425171196,0.20317575392238849,0.4693737298998654,0.14026747347801904,M1_year_FE,
depression_std,digital_index_within_year_z,51,8,43,17,0.16624828129448121,0.17618860108344736,0.3453836169632819,0.165059095291793,0.3138364593630727,0.21670815929871223,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_std,digital_index_within_year_z,51,20,31,17,0.3659849464547015,0.1892729805442288,0.05315796443409726,0.23001473413581575,0.11157875466146314,0.7032632129270395,M3_region_year_FE,
depression_std,digital_index_within_year_z,51,24,27,17,0.38848532104198963,0.22916783236534644,0.09003747731355458,0.2862251479771664,0.1746948650340013,0.7075739284452934,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_std,digital_raw_mean,51,4,47,17,0.03812965511551098,0.05094014547294881,0.4541473067630178,0.058597980010001126,0.5152407193675712,0.13409481696949577,M1_year_FE,
depression_std,digital_raw_mean,51,8,43,17,0.04045402832187847,0.05015635124335694,0.4199209270573485,0.04585978517951505,0.37770962310717826,0.20899316061362017,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_std,digital_raw_mean,51,20,31,17,0.0993816587025637,0.060379144617584625,0.09977198835544414,0.0720429351831226,0.16774736245697616,0.6937929826785157,M3_region_year_FE,
depression_std,digital_raw_mean,51,24,27,17,0.11147842564597227,0.0757956930536313,0.14135192129309543,0.09181156008599697,0.22466791176232317,0.7008584592947869,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_std,internet_use_rate,51,4,47,17,0.05569586139733729,0.04465672880059038,0.21232426127222234,0.06308528205362415,0.3773085833581726,0.1524785314375795,M1_year_FE,
depression_std,internet_use_rate,51,8,43,17,0.06476097724968032,0.045351933508374916,0.1533019105175404,0.049988797617654165,0.19514442256825154,0.22732702794882798,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_std,internet_use_rate,51,20,31,17,0.12729393206628925,0.07275546103927293,0.08018503996601242,0.09323767546306205,0.17217045909871678,0.6978355118392321,M3_region_year_FE,
depression_std,internet_use_rate,51,24,27,17,0.1537952493972921,0.08774956549691476,0.07966019781590652,0.11212333615949069,0.1701688779659963,0.7096935376059031,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_std,mobile_internet_use_rate,51,4,47,17,0.02287407450946643,0.049123682716925514,0.641471415394312,0.049624920183238524,0.6448421760765013,0.1258600623034546,M1_year_FE,
depression_std,mobile_internet_use_rate,51,8,43,17,0.023782561967474136,0.04727045509817367,0.614882128029899,0.039391316847423696,0.5460089476482939,0.20164163882581299,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_std,mobile_internet_use_rate,51,20,31,17,0.07002653796942959,0.048564230751202364,0.14932028201778078,0.05626294371307395,0.21326785075123653,0.684288180725857,M3_region_year_FE,
depression_std,mobile_internet_use_rate,51,24,27,17,0.07550751886628572,0.05906729087896164,0.20113292169503685,0.0703960390529461,0.28344598678741556,0.6894248309942814,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_std,smartphone_use_rate,51,4,47,17,0.024445209831528987,0.049740839024640326,0.6231071487410389,0.04884773774140266,0.6167674852527603,0.1269632226312679,M1_year_FE,
depression_std,smartphone_use_rate,51,8,43,17,0.02533188735393268,0.047546890395076806,0.5941879900023966,0.03967293644728623,0.5231364862026462,0.2026142732916425,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_std,smartphone_use_rate,51,20,31,17,0.0749367458017062,0.047384225689542335,0.11377054368969576,0.053804583077696304,0.16369308260004983,0.6884986383020485,M3_region_year_FE,
depression_std,smartphone_use_rate,51,24,27,17,0.08016507577797488,0.060149800987415084,0.18261152031072023,0.07111161044987332,0.2596099725583779,0.6929684710426538,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_counseling_std,digital_index_within_year_z,34,3,31,17,-0.37052005879255345,0.8013807143510241,0.643828841019117,0.8679595617882022,0.6694621337315214,0.12214519139324265,M1_year_FE,
depression_counseling_std,digital_index_within_year_z,34,7,27,17,0.3553373771595987,0.6913746014120999,0.607281487002329,0.8419052622800589,0.6729787593553773,0.4567037696876559,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_counseling_std,digital_index_within_year_z,34,19,15,17,-1.0615218164020201,1.351553545662919,0.4322140234898061,1.9410210033028097,0.5844554248670797,0.6470589604147376,M3_region_year_FE,
