dataset,variable,label,nonmissing,unique_values,sample_values
HINTS7_2024,APP_REGION,Appalachian Subregion,7278,2, |  |  |  |  | 
HINTS7_2024,CancerTrustDoctor,"A3a. In general, how much would you trust information about cancer from a doctor",7278,6,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
HINTS7_2024,CancerTrustFamily,"A3b. In general, how much would you trust information about cancer from family o",7278,6,3.0 | 2.0 | 2.0 | 2.0 | 1.0 | 2.0
HINTS7_2024,CancerTrustGov,"A3c. In general, how much would you trust information about cancer from governme",7278,6,2.0 | 2.0 | 2.0 | 2.0 | 1.0 | 1.0
HINTS7_2024,CancerTrustCharities,"A3d. In general, how much would you trust information about cancer from charitab",7278,6,2.0 | 2.0 | 2.0 | 4.0 | 2.0 | 2.0
HINTS7_2024,CancerTrustReligiousOrgs,"A3e. In general, how much would you trust information about cancer from religiou",7278,6,4.0 | 4.0 | 2.0 | 4.0 | 3.0 | 4.0
HINTS7_2024,CancerTrustScientists,A3f. In general how much would you trust information about cancer from scientist,7278,6,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",7278,7,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
HINTS7_2024,Internet_Cell2,"B2a. When you use the Internet, do you connect to it through a cellular network ",7278,5,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
HINTS7_2024,Internet_HighSpeed2,"B2b. When you use the Internet, do you connect to it through a service such as D",7278,5,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
HINTS7_2024,Electronic2_HealthInfo,B3a. In the past 12 months have you used the Internet to look for health or medi,7278,5,2.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
HINTS7_2024,Electronic2_MessageDoc,B3b. In the past 12 months have you used the Internet to send a message to a hea,7278,5,2.0 | 1.0 | 1.0 | 2.0 | 1.0 | 1.0
HINTS7_2024,Electronic2_TestResults,B3c. In the past 12 months have you used the Internet to view medical test resul,7278,5,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
HINTS7_2024,Electronic2_MadeAppts,B3d. In the past 12 months have you used the Internet to make an appointment wit,7278,5,2.0 | 1.0 | 1.0 | 1.0 | 2.0 | 1.0
HINTS7_2024,InternetConnection,B4. How satisfied are you with your Internet connection at home to meet health-r,7278,9,2.0 | 1.0 | 3.0 | 2.0 | 1.0 | 1.0
HINTS7_2024,DigLit_UseNoHelp,B5b. How much do you agree or disagree: I can use applications/programs (like Zo,7278,6,3.0 | 1.0 | 1.0 | 1.0 | 2.0 | 1.0
HINTS7_2024,UsedHealthWellnessApps2,"B7. In the past 12 months, have you used a health or wellness app on your tablet",7278,7,1.0 | 1.0 | 1.0 | 2.0 | 1.0 | 2.0
HINTS7_2024,ChanceAskQuestions,"C4a. In the past 12 months, how often did your doctors, nurses, or other health ",7278,9,1.0 | 1.0 | 2.0 | 2.0 | 1.0 | 2.0
HINTS7_2024,FeelingsAddressed,"C4b. In the past 12 months, how often did your doctors, nurses, or other health ",7278,9,2.0 | 1.0 | 2.0 | 3.0 | 1.0 | 2.0
HINTS7_2024,InvolvedDecisions,"C4c. In the past 12 months, how often did your doctors, nurses, or other health ",7278,9,1.0 | 1.0 | 2.0 | 4.0 | 1.0 | 2.0
HINTS7_2024,UnderstoodNextSteps,"C4d. In the past 12 months, how often did your doctors, nurses, or other health ",7278,9,1.0 | 1.0 | 2.0 | 3.0 | 1.0 | 2.0
HINTS7_2024,ExplainedClearly,"C4e. In the past 12 months, how often did your doctors, nurses, or other health ",7278,9,1.0 | 1.0 | 2.0 | 2.0 | 1.0 | 2.0
HINTS7_2024,SpentEnoughTime,"C4f. In the past 12 months, how often did your doctors, nurses, or other health ",7278,9,2.0 | 1.0 | 3.0 | 3.0 | 1.0 | 2.0
HINTS7_2024,HelpUncertainty,"C4g. In the past 12 months, how often did your doctors, nurses, or other health ",7278,9,2.0 | 2.0 | 2.0 | 4.0 | 2.0 | 2.0
HINTS7_2024,TalkedDoctor2,"C7. In the past 12 months, how often have you talked to a doctor, nurse, or othe",7278,5,1.0 | 1.0 | 2.0 | 2.0 | 2.0 | 1.0
HINTS7_2024,DocInteraction,"C9. As a result of talking to my doctor, nurse, or other health professional abo",7278,9,-1.0 | -1.0 | 4.0 | 3.0 | 4.0 | -1.0
HINTS7_2024,ConfidentMedForms,C10. How confident are you filling out medical forms by yourself?,7278,7,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
HINTS7_2024,TrustHCSystem,"C11. How much do you trust the health care system (for example, hospitals, pharm",7278,7,1.0 | 2.0 | 1.0 | 2.0 | 2.0 | 2.0
HINTS7_2024,ReceiveTelehealthCare,"D1. In the past 12 months, did you receive care from a doctor or health professi",7278,6,4.0 | 4.0 | 2.0 | 3.0 | 1.0 | 4.0
HINTS7_2024,Telehealth_HCPRecommended,D3. What are the reasons you chose telehealth - The health care provider recomme,7278,7,-1.0 | -1.0 | 1.0 | 1.0 | 1.0 | -1.0
HINTS7_2024,OfferedAccessHCP3,E1a. Have you ever been offered online access to your medical records (for examp,7278,6,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
HINTS7_2024,OfferedAccessInsurer3,E1b. Have you ever been offered online access to your medical records (for examp,7278,6,3.0 | 1.0 | 1.0 | 1.0 | 2.0 | 1.0
HINTS7_2024,HCPEncourageOnlineRec2,"E2. Have any of your health care providers, including doctors, nurses, or office",7278,4,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
HINTS7_2024,AccessOnlineRecord3,E3. How many times did you access your online medical record or patient portal i,7278,7,2.0 | 2.0 | 1.0 | 2.0 | 2.0 | 2.0
HINTS7_2024,HowAccessOnlineRecord2,E4. How did you access your online medical record or patient portal?,7278,9,2.0 | 3.0 | 1.0 | 3.0 | 1.0 | 3.0
HINTS7_2024,RecordsOnline2_ViewResults,E5a. In the past 12 months have you used your online medical record or patient p,7278,6,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
HINTS7_2024,RecordsOnline2_ViewNotes,E5b. In the past 12 months have you used your online medical record or patient p,7278,6,1.0 | 1.0 | 1.0 | 2.0 | 1.0 | 1.0
HINTS7_2024,UnderstandOnlineMedRec2,E6. How easy or difficult was it to understand the health information in your on,7278,9,2.0 | 1.0 | 2.0 | 1.0 | 2.0 | 1.0
HINTS7_2024,OnlinePortal_PCP,E7. Which of the following organizations/providers do you have an online medical,7278,4,1.0 | 2.0 | 1.0 | 1.0 | 1.0 | 1.0
