dataset,exposure,outcome,AISelect,JobSat,weighted_n,raw_n,row_pct,row_raw_n,AISent,AIAcc,AIComplex,AIAgents
StackOverflow_2025,AISelect,JobSat,"No, and I don't plan to",8.0,941.0,941,0.2583035959374142,3643,,,,
StackOverflow_2025,AISelect,JobSat,"No, and I don't plan to",7.0,733.0,733,0.2012077957727148,3643,,,,
StackOverflow_2025,AISelect,JobSat,"No, and I don't plan to",9.0,482.0,482,0.1323085369201208,3643,,,,
StackOverflow_2025,AISelect,JobSat,"No, and I don't plan to",10.0,423.0,423,0.11611309360417238,3643,,,,
StackOverflow_2025,AISelect,JobSat,"No, and I don't plan to",6.0,410.0,410,0.11254460609387867,3643,,,,
StackOverflow_2025,AISelect,JobSat,"No, and I don't plan to",5.0,259.0,259,0.07109525116662092,3643,,,,
StackOverflow_2025,AISelect,JobSat,"No, and I don't plan to",3.0,131.0,131,0.035959374142190505,3643,,,,
StackOverflow_2025,AISelect,JobSat,"No, and I don't plan to",4.0,112.0,112,0.030743892396376614,3643,,,,
StackOverflow_2025,AISelect,JobSat,"No, and I don't plan to",2.0,77.0,77,0.02113642602250892,3643,,,,
StackOverflow_2025,AISelect,JobSat,"No, and I don't plan to",0.0,48.0,48,0.013175953884161406,3643,,,,
StackOverflow_2025,AISelect,JobSat,"No, and I don't plan to",1.0,27.0,27,0.007411474059840791,3643,,,,
StackOverflow_2025,AISelect,JobSat,"No, but I plan to soon",8.0,300.0,300,0.2643171806167401,1135,,,,
StackOverflow_2025,AISelect,JobSat,"No, but I plan to soon",7.0,230.0,230,0.2026431718061674,1135,,,,
StackOverflow_2025,AISelect,JobSat,"No, but I plan to soon",9.0,153.0,153,0.13480176211453745,1135,,,,
StackOverflow_2025,AISelect,JobSat,"No, but I plan to soon",6.0,129.0,129,0.11365638766519824,1135,,,,
StackOverflow_2025,AISelect,JobSat,"No, but I plan to soon",10.0,115.0,115,0.1013215859030837,1135,,,,
StackOverflow_2025,AISelect,JobSat,"No, but I plan to soon",5.0,92.0,92,0.08105726872246696,1135,,,,
