category,label,role,year,title,posted_date,cb_idx,bc_idx,detail_url,download_url,file_no,filename,path,content_type,size_bytes
digital_divide,디지털정보격차실태조사,핵심 AI·디지털 격차 지표,2025,2025 디지털정보격차 실태조사 보고서,2026.03.27,81623,29168,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=81623&bcIdx=29168&parentSeq=29168,https://www.nia.or.kr/common/board/Download.do?bcIdx=29168&cbIdx=81623&fileNo=1,1,digital_divide_2025_29168_file1.pdf,RESEARCH\korea_ai_counseling_psych_20260623\data\raw\digital_divide_2025_29168_file1.pdf,application/octet-stream,100349277
digital_divide,디지털정보격차실태조사,핵심 AI·디지털 격차 지표,2024,2024 디지털정보격차 실태조사 보고서,2025.03.27,81623,27832,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=81623&bcIdx=27832&parentSeq=27832,https://www.nia.or.kr/common/board/Download.do?bcIdx=27832&cbIdx=81623&fileNo=1,1,digital_divide_2024_27832_file1.pdf,RESEARCH\korea_ai_counseling_psych_20260623\data\raw\digital_divide_2024_27832_file1.pdf,application/octet-stream,99271339
digital_divide,디지털정보격차실태조사,핵심 AI·디지털 격차 지표,2023,2023년 디지털정보격차 실태조사 보고서,2024.03.29,81623,26517,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=81623&bcIdx=26517&parentSeq=26517,https://www.nia.or.kr/common/board/Download.do?bcIdx=26517&cbIdx=81623&fileNo=2,2,digital_divide_2023_26517_file2.pdf,RESEARCH\korea_ai_counseling_psych_20260623\data\raw\digital_divide_2023_26517_file2.pdf,application/octet-stream,48144856
smartphone_overdependence,스마트폰 과의존 실태조사,디지털 과의존·심리위험 지표,2025,2025년 스마트폰 과의존 실태조사 보고서,2026.03.27,65914,29171,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=65914&bcIdx=29171&parentSeq=29171,https://www.nia.or.kr/common/board/Download.do?bcIdx=29171&cbIdx=65914&fileNo=1,1,smartphone_overdependence_2025_29171_file1.pdf,RESEARCH\korea_ai_counseling_psych_20260623\data\raw\smartphone_overdependence_2025_29171_file1.pdf,application/octet-stream,41737867
smartphone_overdependence,스마트폰 과의존 실태조사,디지털 과의존·심리위험 지표,2024,2024년 스마트폰 과의존 실태조사 보고서,2025.03.27,65914,27831,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=65914&bcIdx=27831&parentSeq=27831,https://www.nia.or.kr/common/board/Download.do?bcIdx=27831&cbIdx=65914&fileNo=2,2,smartphone_overdependence_2024_27831_file2.pdf,RESEARCH\korea_ai_counseling_psych_20260623\data\raw\smartphone_overdependence_2024_27831_file2.pdf,application/octet-stream,32667304
smartphone_overdependence,스마트폰 과의존 실태조사,디지털 과의존·심리위험 지표,2023,2023년 스마트폰 과의존 실태조사 보고서,2024.03.28,65914,26508,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=65914&bcIdx=26508&parentSeq=26508,https://www.nia.or.kr/common/board/Download.do?bcIdx=26508&cbIdx=65914&fileNo=1,1,smartphone_overdependence_2023_26508_file1.pdf,RESEARCH\korea_ai_counseling_psych_20260623\data\raw\smartphone_overdependence_2023_26508_file1.pdf,application/octet-stream,16176118
cyber_violence,사이버폭력 실태조사,온라인 피해·정서위험 지표,2025,2025년 사이버폭력 실태조사,2026.03.30,68302,29190,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=68302&bcIdx=29190&parentSeq=29190,https://www.nia.or.kr/common/board/Download.do?bcIdx=29190&cbIdx=68302&fileNo=1,1,cyber_violence_2025_29190_file1.pdf,RESEARCH\korea_ai_counseling_psych_20260623\data\raw\cyber_violence_2025_29190_file1.pdf,application/octet-stream,29695581
cyber_violence,사이버폭력 실태조사,온라인 피해·정서위험 지표,2024,2024년 사이버폭력 실태조사,2025.03.28,68302,27840,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=68302&bcIdx=27840&parentSeq=27840,https://www.nia.or.kr/common/board/Download.do?bcIdx=27840&cbIdx=68302&fileNo=2,2,cyber_violence_2024_27840_file2.pdf,RESEARCH\korea_ai_counseling_psych_20260623\data\raw\cyber_violence_2024_27840_file2.pdf,application/octet-stream,43169531
cyber_violence,사이버폭력 실태조사,온라인 피해·정서위험 지표,2023,2023년 사이버폭력 실태조사,2024.03.26,68302,26483,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=68302&bcIdx=26483&parentSeq=26483,https://www.nia.or.kr/common/board/Download.do?bcIdx=26483&cbIdx=68302&fileNo=1,1,cyber_violence_2023_26483_file1.pdf,RESEARCH\korea_ai_counseling_psych_20260623\data\raw\cyber_violence_2023_26483_file1.pdf,application/octet-stream,59369617
internet_use,인터넷이용실태조사,기본 인터넷·디지털 이용 맥락 지표,2025,2025년 인터넷이용실태조사 통계표,2026.03.31,99870,29199,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99870&bcIdx=29199&parentSeq=29199,https://www.nia.or.kr/common/board/Download.do?bcIdx=29199&cbIdx=99870&fileNo=3,3,internet_use_2025_29199_file3.pdf,RESEARCH\korea_ai_counseling_psych_20260623\data\raw\internet_use_2025_29199_file3.pdf,application/octet-stream,54250955
