source,category,label,role,year,title,posted_date,cb_idx,bc_idx,parent_seq,list_url,detail_url
NIA,digital_divide,디지털정보격차실태조사,핵심 AI·디지털 격차 지표,2025,2025 디지털정보격차 실태조사 보고서,2026.03.27,81623,29168,29168,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=81623,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=81623&bcIdx=29168&parentSeq=29168
NIA,digital_divide,디지털정보격차실태조사,핵심 AI·디지털 격차 지표,2024,2024 디지털정보격차 실태조사 보고서,2025.03.27,81623,27832,27832,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=81623,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=81623&bcIdx=27832&parentSeq=27832
NIA,digital_divide,디지털정보격차실태조사,핵심 AI·디지털 격차 지표,2023,2023년 디지털정보격차 실태조사 보고서,2024.03.29,81623,26517,26517,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=81623,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=81623&bcIdx=26517&parentSeq=26517
NIA,digital_divide,디지털정보격차실태조사,핵심 AI·디지털 격차 지표,2022,2022 디지털정보격차 실태조사,2023.03.23,81623,25353,25353,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=81623,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=81623&bcIdx=25353&parentSeq=25353
NIA,digital_divide,디지털정보격차실태조사,핵심 AI·디지털 격차 지표,2021,2021 디지털정보격차 실태조사,2022.03.24,81623,24287,24287,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=81623,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=81623&bcIdx=24287&parentSeq=24287
NIA,digital_divide,디지털정보격차실태조사,핵심 AI·디지털 격차 지표,2020,2020 디지털정보격차 실태조사,2021.03.10,81623,23112,23112,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=81623,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=81623&bcIdx=23112&parentSeq=23112
NIA,digital_divide,디지털정보격차실태조사,핵심 AI·디지털 격차 지표,2019,2019 디지털정보격차 실태조사,2020.03.05,81623,21837,21837,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=81623,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=81623&bcIdx=21837&parentSeq=21837
NIA,digital_divide,디지털정보격차실태조사,핵심 AI·디지털 격차 지표,2018,2018 디지털정보격차 실태조사,2019.02.27,81623,20566,20566,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=81623,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=81623&bcIdx=20566&parentSeq=20566
NIA,digital_divide,디지털정보격차실태조사,핵심 AI·디지털 격차 지표,2017,2017 디지털정보격차 실태조사,2018.03.09,81623,19480,19480,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=81623,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=81623&bcIdx=19480&parentSeq=19480
NIA,digital_divide,디지털정보격차실태조사,핵심 AI·디지털 격차 지표,,'16년 디지털정보격차 실태조사,2017.03.28,81623,18397,18397,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=81623,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=81623&bcIdx=18397&parentSeq=18397
