year,page,group,metric,metric_label,service,value,dataset,unit,extraction_status
2025,322,취약계층,any_ai_service_awareness,인공지능 서비스 8개 항목 중 하나라도 인지,,76.6,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,322,취약계층,no_ai_service_awareness,알고 있는 인공지능 서비스 없음,,23.4,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,322,취약계층,service_awareness,AI 서비스별 인지율,주거 편의,61.3,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,322,취약계층,service_awareness,AI 서비스별 인지율,교통,53.4,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,322,취약계층,service_awareness,AI 서비스별 인지율,AI 기반 대화형 정보검색,47.2,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,322,취약계층,service_awareness,AI 서비스별 인지율,커뮤니케이션/친교,39.6,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,323,취약계층,service_experience_among_awared,인지자 기준 최근 한 달 사용 경험률,AI 기반 대화형 정보검색,38.5,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,323,취약계층,service_experience_among_awared,인지자 기준 최근 한 달 사용 경험률,교통,25.0,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,323,취약계층,service_experience_among_awared,인지자 기준 최근 한 달 사용 경험률,주거 편의,23.8,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,323,취약계층,service_experience_among_awared,인지자 기준 최근 한 달 사용 경험률,미디어,23.5,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,324,취약계층,service_helpfulness,도움 정도 긍정 응답률,주거 편의,64.4,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,324,취약계층,service_helpfulness,도움 정도 긍정 응답률,교통,55.0,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,324,취약계층,service_helpfulness,도움 정도 긍정 응답률,헬스케어,48.9,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,324,취약계층,service_helpfulness,도움 정도 긍정 응답률,커뮤니케이션/친교,46.9,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,324,취약계층,service_helpfulness,도움 정도 긍정 응답률,AI 기반 대화형 정보검색,46.5,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,325,저소득층,nonuse_reason,AI 서비스 비이용 이유: 이용할 필요성이 없어서,,62.0,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,325,장애인,nonuse_reason,AI 서비스 비이용 이유: 신체적 제약으로 이용이 어려워서,,17.8,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,325,고령층,nonuse_reason,AI 서비스 비이용 이유: 아직 AI에 대해 잘 몰라서,,60.9,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,325,고령층,nonuse_reason,AI 서비스 비이용 이유: 이용 방법이 어려워서,,47.4,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2025,325,고령층,nonuse_reason,AI 서비스 비이용 이유: 기술에 대한 거부감이 있어서,,19.8,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,318,취약계층,any_ai_service_awareness,인공지능 서비스 8개 항목 중 하나라도 인지,,74.9,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,318,취약계층,no_ai_service_awareness,알고 있는 인공지능 서비스 없음,,25.1,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,318,취약계층,service_awareness,AI 서비스별 인지율,주거 편의,64.5,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,318,취약계층,service_awareness,AI 서비스별 인지율,교통,54.4,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,318,취약계층,service_awareness,AI 서비스별 인지율,AI 기반 대화형 정보검색,38.9,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,318,취약계층,service_awareness,AI 서비스별 인지율,커뮤니케이션/친교,36.3,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,319,취약계층,service_experience_among_awared,인지자 기준 최근 한 달 사용 경험률,미디어,27.2,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,319,취약계층,service_experience_among_awared,인지자 기준 최근 한 달 사용 경험률,주거 편의,25.7,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,319,취약계층,service_experience_among_awared,인지자 기준 최근 한 달 사용 경험률,교통,25.2,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,319,취약계층,service_experience_among_awared,인지자 기준 최근 한 달 사용 경험률,금융,21.2,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,320,취약계층,service_helpfulness,도움 정도 긍정 응답률,주거 편의,63.9,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,320,취약계층,service_helpfulness,도움 정도 긍정 응답률,교통,55.2,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,320,취약계층,service_helpfulness,도움 정도 긍정 응답률,커뮤니케이션/친교,44.3,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,320,취약계층,service_helpfulness,도움 정도 긍정 응답률,헬스케어,43.8,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
2024,320,취약계층,service_helpfulness,도움 정도 긍정 응답률,미디어,37.4,NIA 디지털정보격차실태조사,%,본문 서술 기반 구조화
