year,page,target_group,overdependence_risk_rate,high_risk_rate,potential_risk_rate,dataset,unit,extraction_status
2025,50,전체,22.7,4.1,18.6,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2024,48,전체,22.9,4.2,18.7,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2023,50,전체,23.1,4.2,18.9,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2025,50,유아동,26.0,,,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2025,50,청소년,43.0,,,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2025,50,성인 청년층,29.5,,,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2025,50,성인 중년층,16.6,,,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2025,50,60대,11.5,,,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2024,48,유아동,25.9,,,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2024,48,청소년,42.6,,,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2024,48,성인,22.4,,,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2024,48,60대,11.9,,,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2023,50,유아동,25.0,,,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2023,50,청소년,40.1,,,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2023,50,성인,22.7,,,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
2023,50,60대,13.5,,,NIA 스마트폰 과의존 실태조사,%,본문 서술 기반 구조화
