target_group,page,indicator,overdependence_risk_group_score,general_user_score,indicator_type,positive_rate_overdependence,positive_rate_general_user,year,dataset,rate_gap_pp,score_gap,unit,extraction_status
유아동,73,조절실패,2.77,2.43,과의존 요인 점수,,,2025,NIA 스마트폰 과의존 실태조사,,0.34,% and 4-point score,통계표 텍스트 기반 구조화
유아동,73,현저성,3.18,2.46,과의존 요인 점수,,,2025,NIA 스마트폰 과의존 실태조사,,0.72,% and 4-point score,통계표 텍스트 기반 구조화
유아동,73,문제적 결과,2.71,1.96,과의존 요인 점수,,,2025,NIA 스마트폰 과의존 실태조사,,0.75,% and 4-point score,통계표 텍스트 기반 구조화
청소년,73,조절실패,3.03,2.1,과의존 요인 점수,,,2025,NIA 스마트폰 과의존 실태조사,,0.93,% and 4-point score,통계표 텍스트 기반 구조화
청소년,73,현저성,2.84,1.87,과의존 요인 점수,,,2025,NIA 스마트폰 과의존 실태조사,,0.97,% and 4-point score,통계표 텍스트 기반 구조화
청소년,73,문제적 결과,2.44,1.72,과의존 요인 점수,,,2025,NIA 스마트폰 과의존 실태조사,,0.72,% and 4-point score,통계표 텍스트 기반 구조화
성인,73,조절실패,2.9,1.94,과의존 요인 점수,,,2025,NIA 스마트폰 과의존 실태조사,,0.96,% and 4-point score,통계표 텍스트 기반 구조화
성인,73,현저성,2.8,1.73,과의존 요인 점수,,,2025,NIA 스마트폰 과의존 실태조사,,1.07,% and 4-point score,통계표 텍스트 기반 구조화
성인,73,문제적 결과,2.48,1.59,과의존 요인 점수,,,2025,NIA 스마트폰 과의존 실태조사,,0.89,% and 4-point score,통계표 텍스트 기반 구조화
60대,73,조절실패,2.78,1.67,과의존 요인 점수,,,2025,NIA 스마트폰 과의존 실태조사,,1.11,% and 4-point score,통계표 텍스트 기반 구조화
60대,73,현저성,2.67,1.55,과의존 요인 점수,,,2025,NIA 스마트폰 과의존 실태조사,,1.12,% and 4-point score,통계표 텍스트 기반 구조화
60대,73,문제적 결과,2.56,1.43,과의존 요인 점수,,,2025,NIA 스마트폰 과의존 실태조사,,1.13,% and 4-point score,통계표 텍스트 기반 구조화
유아동,78,스마트폰 이용 때문에 아이와 자주 싸운다,2.69,1.99,문제적 결과 문항,61.8,14.6,2025,NIA 스마트폰 과의존 실태조사,47.2,0.7,% and 4-point score,통계표 텍스트 기반 구조화
유아동,78,스마트폰을 하느라 다른 놀이나 학습에 지장이 있다,2.67,1.98,문제적 결과 문항,62.2,14.0,2025,NIA 스마트폰 과의존 실태조사,48.2,0.69,% and 4-point score,통계표 텍스트 기반 구조화
유아동,78,스마트폰 이용으로 인해 시력/자세가 안 좋아진다,2.78,1.93,문제적 결과 문항,65.4,12.8,2025,NIA 스마트폰 과의존 실태조사,52.6,0.85,% and 4-point score,통계표 텍스트 기반 구조화
청소년,82,스마트폰 이용 때문에 건강에 문제가 생긴 적이 있다,2.44,1.63,문제적 결과 문항,42.5,6.6,2025,NIA 스마트폰 과의존 실태조사,35.9,0.81,% and 4-point score,통계표 텍스트 기반 구조화
청소년,82,스마트폰 이용 때문에 가족과 심하게 다툰 적이 있다,2.58,1.74,문제적 결과 문항,54.3,12.6,2025,NIA 스마트폰 과의존 실태조사,41.7,0.84,% and 4-point score,통계표 텍스트 기반 구조화
청소년,82,스마트폰 이용 때문에 친구/동료/사회적 관계에서 심한 갈등을 경험한 적이 있다,2.26,1.71,문제적 결과 문항,31.9,8.3,2025,NIA 스마트폰 과의존 실태조사,23.6,0.55,% and 4-point score,통계표 텍스트 기반 구조화
청소년,82,스마트폰 때문에 업무/학업 수행에 어려움이 있다,2.46,1.8,문제적 결과 문항,47.0,10.4,2025,NIA 스마트폰 과의존 실태조사,36.6,0.66,% and 4-point score,통계표 텍스트 기반 구조화
성인,86,스마트폰 이용 때문에 건강에 문제가 생긴 적이 있다,2.62,1.66,문제적 결과 문항,55.7,9.3,2025,NIA 스마트폰 과의존 실태조사,46.4,0.96,% and 4-point score,통계표 텍스트 기반 구조화
성인,86,스마트폰 이용 때문에 가족과 심하게 다툰 적이 있다,2.46,1.57,문제적 결과 문항,46.4,5.2,2025,NIA 스마트폰 과의존 실태조사,41.2,0.89,% and 4-point score,통계표 텍스트 기반 구조화
성인,86,스마트폰 이용 때문에 친구/동료/사회적 관계에서 심한 갈등을 경험한 적이 있다,2.37,1.56,문제적 결과 문항,39.2,3.5,2025,NIA 스마트폰 과의존 실태조사,35.7,0.81,% and 4-point score,통계표 텍스트 기반 구조화
성인,86,스마트폰 때문에 업무/학업 수행에 어려움이 있다,2.46,1.57,문제적 결과 문항,47.8,3.5,2025,NIA 스마트폰 과의존 실태조사,44.3,0.89,% and 4-point score,통계표 텍스트 기반 구조화
60대,90,스마트폰 이용 때문에 건강에 문제가 생긴 적이 있다,2.58,1.5,문제적 결과 문항,52.1,4.4,2025,NIA 스마트폰 과의존 실태조사,47.7,1.08,% and 4-point score,통계표 텍스트 기반 구조화
60대,90,스마트폰 이용 때문에 가족과 심하게 다툰 적이 있다,2.46,1.41,문제적 결과 문항,46.4,1.8,2025,NIA 스마트폰 과의존 실태조사,44.6,1.05,% and 4-point score,통계표 텍스트 기반 구조화
60대,90,스마트폰 이용 때문에 친구/동료/사회적 관계에서 심한 갈등을 경험한 적이 있다,2.7,1.42,문제적 결과 문항,53.9,1.7,2025,NIA 스마트폰 과의존 실태조사,52.2,1.28,% and 4-point score,통계표 텍스트 기반 구조화
60대,90,스마트폰 때문에 업무/학업 수행에 어려움이 있다,2.49,1.41,문제적 결과 문항,52.7,1.1,2025,NIA 스마트폰 과의존 실태조사,51.6,1.08,% and 4-point score,통계표 텍스트 기반 구조화
