outcome,predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p
godoksa_count_2024,male_40_64_single_household_rate_pct_2024,17,-0.30372027547375663,0.23596181660006188,-0.20833333333333337,0.4223129818008513
godoksa_count_2024,basic_livelihood_male_40_64_rate_per_1000_2024,17,-0.041591028554505645,0.8740708316222907,0.20098039215686278,0.4392338761887675
godoksa_count_2024,business_closure_male_40_64_approx_rate_per_1000_2024,17,0.4825155641847031,0.049799134008892354,0.29411764705882354,0.25184441675279245
godoksa_count_2024,husband_divorce_rate_40_64_mean_2025,17,-0.3452811872541028,0.17466013365607336,-0.14742059239963687,0.5723238113608771
godoksa_count_2024,depression_std_rate_2025,17,0.37736650942457534,0.1353671948604942,0.34152437239249206,0.17971091634140324
godoksa_count_2024,male_40_64_total_mortality_rate_2024,17,-0.22819144370946942,0.3783731005288693,-0.08088235294117649,0.7576329086921545
godoksa_count_2024,structural_isolation_index,17,0.019335688655778758,0.9412834267068555,0.22549019607843138,0.38419665076167053
godoksa_count_2024,event_stress_index,17,0.08887618669622996,0.7344545494522823,0.17401960784313728,0.5041495460552401
godoksa_count_2024,composite_vulnerability_index,17,0.07859267186356028,0.7643089810473955,0.012254901960784315,0.9627675753886973
godoksa_change_2020_2024,male_40_64_single_household_rate_pct_2024,17,-0.36693421285659095,0.14739893196738163,-0.31023917541818047,0.22555004018994085
godoksa_change_2020_2024,basic_livelihood_male_40_64_rate_per_1000_2024,17,-0.08120842082508538,0.7566834901253863,0.057633364603377396,0.8260969841582217
godoksa_change_2020_2024,business_closure_male_40_64_approx_rate_per_1000_2024,17,0.4710231851966437,0.05633481023353104,0.22930721661343773,0.37598192759393223
godoksa_change_2020_2024,husband_divorce_rate_40_64_mean_2025,17,-0.39443184665336317,0.11718042276892593,-0.24708093631445932,0.3390315067738978
godoksa_change_2020_2024,depression_std_rate_2025,17,0.30685449250176666,0.23091862112431283,0.14566711917046485,0.5769515474751798
godoksa_change_2020_2024,male_40_64_total_mortality_rate_2024,17,-0.26019108963632137,0.313170590796233,-0.018393627001077894,0.9441398799372132
godoksa_change_2020_2024,structural_isolation_index,17,-0.0852249572209154,0.7450158176278994,-0.006131209000359298,0.9813678259823857
godoksa_change_2020_2024,event_stress_index,17,0.04960233912184515,0.8500511936234336,0.05640712280330554,0.8297456613377354
godoksa_change_2020_2024,composite_vulnerability_index,17,-0.00872163328715395,0.9734979766896419,-0.09809934400574877,0.7079796964609355
excess_2024_vs_expected,male_40_64_single_household_rate_pct_2024,17,-0.36563157340979546,0.14895100349942503,-0.29901960784313725,0.24365533759443148
excess_2024_vs_expected,basic_livelihood_male_40_64_rate_per_1000_2024,17,-0.10627081438550015,0.684783984193194,-0.1985294117647059,0.4449505436787127
excess_2024_vs_expected,business_closure_male_40_64_approx_rate_per_1000_2024,17,0.37771199476562717,0.1349807512519905,0.16176470588235298,0.5350755062766086
excess_2024_vs_expected,husband_divorce_rate_40_64_mean_2025,17,-0.37443393549484355,0.13867827701994617,-0.29975520454592824,0.2424411090939984
excess_2024_vs_expected,depression_std_rate_2025,17,0.18372036093724173,0.4802851952218936,0.13636404796966406,0.6017635940209063
