term,coef,std_error_hc3,t,p,n,r2,adj_r2,aic,bic,model,outcome
const,36.45308289643362,2.506474892528149,14.543565947977767,7.654687994573806e-10,17,0.35818300757794874,0.26649486580337,76.45643386364324,78.9560738958119,M1_rate_index,godoksa_per_100k_male_40_64_pop_proxy_2024
structural_isolation_index,10.569832503865225,7.336489157518432,1.4407207966815112,0.17165324396936854,17,0.35818300757794874,0.26649486580337,76.45643386364324,78.9560738958119,M1_rate_index,godoksa_per_100k_male_40_64_pop_proxy_2024
event_stress_index,0.667870989625044,3.1387988465379753,0.21277916243715034,0.8345663053658907,17,0.35818300757794874,0.26649486580337,76.45643386364324,78.9560738958119,M1_rate_index,godoksa_per_100k_male_40_64_pop_proxy_2024
const,-2.1771559326086427,2.978933235157152,-0.7308508653077578,0.4769244978994198,17,0.04975661352437133,-0.08599244168643283,80.2469035385423,82.74654357071094,M2_excess_rate_index,godoksa_excess_per_100k_male_40_64_pop_proxy_2024
structural_isolation_index,-2.143882921566319,7.613072977421865,-0.2816054604920306,0.7823656814337356,17,0.04975661352437133,-0.08599244168643283,80.2469035385423,82.74654357071094,M2_excess_rate_index,godoksa_excess_per_100k_male_40_64_pop_proxy_2024
event_stress_index,2.3582025222283605,6.578698282694331,0.3584603550571329,0.7253465056841983,17,0.04975661352437133,-0.08599244168643283,80.2469035385423,82.74654357071094,M2_excess_rate_index,godoksa_excess_per_100k_male_40_64_pop_proxy_2024
const,-9.504749628975388,1.9243491691520989,-4.939202189155382,0.00027057129659957546,17,0.9560116117275181,0.9458604452030992,-44.36195854425693,-41.02910516803206,M3_log_count_size_adjusted,log_godoksa_count_2024
log_male_40_64_population_2024,1.1188767222063276,0.14565977122751653,7.681439513307166,3.479103664938421e-06,17,0.9560116117275181,0.9458604452030992,-44.36195854425693,-41.02910516803206,M3_log_count_size_adjusted,log_godoksa_count_2024
structural_isolation_index,0.35734960963108753,0.2853883597634256,1.2521520146347758,0.23257415604487974,17,0.9560116117275181,0.9458604452030992,-44.36195854425693,-41.02910516803206,M3_log_count_size_adjusted,log_godoksa_count_2024
event_stress_index,0.07230230870472068,0.21118832915881197,0.3423593954870011,0.7375523300882239,17,0.9560116117275181,0.9458604452030992,-44.36195854425693,-41.02910516803206,M3_log_count_size_adjusted,log_godoksa_count_2024
const,-7.421003360341724,46.74778895562414,-0.1587455476746974,0.876308941953631,17,0.5045173608473774,0.39017521335061833,74.05732876097585,77.39018213720071,M4_rate_components,godoksa_per_100k_male_40_64_pop_proxy_2024
male_40_64_single_household_rate_pct_2024,0.09333499807360432,1.7714451794705395,0.05268861783320942,0.9587810533233843,17,0.5045173608473774,0.39017521335061833,74.05732876097585,77.39018213720071,M4_rate_components,godoksa_per_100k_male_40_64_pop_proxy_2024
basic_livelihood_male_40_64_rate_per_1000_2024,0.5522928877208219,0.28239065051319173,1.9557761091492716,0.07233024931780196,17,0.5045173608473774,0.39017521335061833,74.05732876097585,77.39018213720071,M4_rate_components,godoksa_per_100k_male_40_64_pop_proxy_2024
business_closure_male_40_64_approx_rate_per_1000_2024,0.6803328514732092,0.7570798133648656,0.898627647261453,0.38519318880852405,17,0.5045173608473774,0.39017521335061833,74.05732876097585,77.39018213720071,M4_rate_components,godoksa_per_100k_male_40_64_pop_proxy_2024
