region,godoksa_count_2020,godoksa_count_2021,godoksa_count_2022,godoksa_count_2023,godoksa_count_2024,expected_2024_if_national_growth,excess_2024_vs_expected,godoksa_change_2020_2024,godoksa_pct_change_2020_2024,cagr_2020_2024_pct,recent_change_2023_2024,trajectory_type,male_40_64_single_households_2024,male_40_64_single_housing_total_2024,male_40_64_single_detached_house_2024,male_40_64_single_apartment_2024,male_40_64_single_row_house_2024,male_40_64_single_multi_family_house_2024,male_40_64_single_non_residential_house_2024,male_40_64_single_non_housing_dwelling_2024,male_40_64_single_non_apartment_share_2024,male_40_64_single_non_housing_share_2024,basic_livelihood_male_40_64_count_2024,business_closure_male_total_count_2024,business_closure_male_40s_count_2024,business_closure_male_50s_count_2024,business_closure_male_60s_count_2024,business_closure_male_70plus_count_2024,business_closure_male_40s_50s_count_2024,business_closure_male_40_64_approx_count_2024,business_closure_male_40_69_count_2024,male_40_64_death_count_2024,male_40_64_population_est_2024,male_40_64_total_mortality_rate_2024,depression_respondents_2025,depression_crude_rate_2025,depression_std_rate_2025,husband_divorce_rate_40_64_mean_2025,husband_divorce_rate_40_64_max_2025,national_male_social_no_help_sick_housework_pct_2025,national_male_social_no_help_money_pct_2025,national_male_social_no_depressed_talk_pct_2025,national_male_social_help_sick_avg_persons_2025,national_male_social_help_money_avg_persons_2025,national_male_social_depressed_talk_avg_persons_2025,national_one_person_social_no_help_sick_housework_pct_2025,national_one_person_social_no_help_money_pct_2025,national_one_person_social_no_depressed_talk_pct_2025,national_one_person_social_help_sick_avg_persons_2025,national_one_person_social_help_money_avg_persons_2025,national_one_person_social_depressed_talk_avg_persons_2025,godoksa_per_100k_male_40_64_pop_proxy_2024,godoksa_excess_per_100k_male_40_64_pop_proxy_2024,male_40_64_single_household_rate_pct_2024,basic_livelihood_male_40_64_rate_per_1000_2024,business_closure_male_40_64_approx_rate_per_1000_2024,single_to_basic_livelihood_ratio_2024,log_male_40_64_population_2024,log_godoksa_count_2024,z_single_rate,z_welfare_rate,z_closure_rate,z_divorce_rate,z_depression,structural_isolation_index,event_stress_index,composite_vulnerability_index,vulnerability_rank
서울,571,619,678,559,784,683.3193046660567,100.68069533394328,213,37.3029772329247,8.248026813070553,225.0,large_base_excess_growth,267325.0,224452.0,104402.0,60768.0,4351.0,46566.0,8365.0,42873.0,77.26811933040307,16.03778172636304,78540.0,109375.0,25666.0,22662.0,16653.0,9532.0,48328.0,56654.5,64981.0,6192.0,1739271.9764521979,356.01102552290683,22887.0,7.1,7.0,4.58,5.0,26.548,49.332,24.629,2.36,2.317,2.831,31.122,54.402,26.494,2.284,2.204,2.798,45.076331396957194,5.788668862434832,15.369936595269875,45.15682484588033,32.57368644297081,3.403679653679654,14.368977179297376,6.664409020350408,-0.8466734189452377,0.15887849773109303,1.7419129547420757,-1.9307582159073926,1.1624329895795449,0.15821268945513337,-0.09442263058265843,0.03189502943623747,9
경기,678,713,749,922,894,811.366880146386,82.63311985361395,216,31.858407079646017,7.158581545323206,-28.0,large_base_excess_growth,426840.0,363559.0,150444.0,145484.0,7579.0,52792.0,7260.0,63281.0,65.91603411114235,14.825461531252929,76863.0,161241.0,39061.0,36253.0,24990.0,9503.0,75314.0,87809.0,100304.0,9853.0,2829282.9698070507,348.2507796196839,43620.0,6.8,6.6,5.94,6.9,26.548,49.332,24.629,2.36,2.317,2.831,31.122,54.402,26.494,2.284,2.204,2.798,31.598111943570224,2.9206382230211956,15.086507944064333,27.16695389618163,31.035778653836218,5.553257093790251,14.85553386995709,6.795705775173514,-0.996446809043973,-1.3630620461058118,1.2589337980242754,-0.1278854391796487,0.787810035591824,-0.5238996065193202,0.5655241794223134,0.020812286451496576,10
대구,125,124,146,183,229,149.5882891125343,79.41171088746569,104,83.2,16.340618240367387,46.0,small_base_excess_growth,73677.0,68437.0,36099.0,28094.0,453.0,2615.0,1176.0,5240.0,61.86869715107836,7.112124543616054,27357.0,22227.0,5089.0,4885.0,3648.0,1699.0,9974.0,11798.0,13622.0,1898.0,473115.6184811044,401.17043823101005,8169.0,6.3,6.0,5.4,6.6,26.548,49.332,24.629,2.36,2.317,2.831,31.122,54.402,26.494,2.284,2.204,2.798,48.402544970970126,16.784842390621115,15.572726226315137,57.82307523016724,24.93682207718365,2.693168110538436,13.067095074139432,5.43372200355424,-0.7395124442543111,1.230441492937509,-0.6564404039021736,-0.8437319828803704,0.22587560461024336,0.23893488443114708,-0.750086193391272,-0.2555756544800625,15
강원,98,110,146,156,133,117.2772186642269,15.722781335773108,35,35.714285714285715,7.933532556913714,-23.0,moderate_or_stable,60651.0,56590.0,31304.0,21286.0,1516.0,949.0,1535.0,4061.0,64.90412359235627,6.695685149461675,13124.0,14826.0,3172.0,3621.0,3023.0,1304.0,6793.0,8304.5,9816.0,1617.0,310449.5041867132,520.8576525950867,15801.0,7.5,6.9,6.2,8.3,26.548,49.332,24.629,2.36,2.317,2.831,31.122,54.402,26.494,2.284,2.204,2.798,42.841105624704106,5.064521322706632,19.536510505593448,42.274185730723055,26.74992192935002,4.621380676622981,12.645776539712406,4.890349128221754,1.3550866959612522,-0.08499236464891066,-0.08703732015991117,0.21678141519477256,1.0687772510826152,0.7796238607983189,0.0648720475174307,0.4222479541578748,3
제주,27,44,53,51,48,32.31107044830741,15.688929551692588,21,77.77777777777779,15.470053837925146,-3.0,fast_growth_from_small_base,24872.0,21302.0,12246.0,4248.0,1676.0,2428.0,704.0,3570.0,82.92055323255066,14.3534898681248,6047.0,8063.0,2147.0,2127.0,1264.0,536.0,4274.0,4906.0,5538.0,699.0,141351.3663021843,494.51237599335354,5029.0,3.9,3.7,7.779999999999999,10.2,26.548,49.332,24.629,2.36,2.317,2.831,31.122,54.402,26.494,2.284,2.204,2.798,33.95793139868522,11.09924152989963,17.59586811975206,42.77991899330198,34.707835717072854,4.113113940797089,11.859004029167586,3.871201010907891,0.3295849061440356,-0.042207401997542776,2.41214144568153,2.311295376393179,-1.9282063808191503,-0.5469429588908858,2.3617184110373546,0.9073877260732344,1
충북,98,93,121,167,128,117.2772186642269,10.722781335773108,30,30.612244897959183,6.904496764969759,-39.0,moderate_or_stable,62436.0,58148.0,30551.0,24211.0,989.0,1441.0,956.0,4288.0,61.22269203664552,6.8678326606445,12146.0,15758.0,3397.0,3857.0,3045.0,1192.0,7254.0,8776.5,10299.0,1505.0,328411.0209647572,458.26720296378426,12448.0,6.0,5.9,6.6,8.0,26.548,49.332,24.629,2.36,2.317,2.831,31.122,54.402,26.494,2.284,2.204,2.798,38.97554948794976,3.265049176569444,19.011542248668995,36.984142506299825,26.724133600077426,5.14045776387288,12.702021215573296,4.852030263919617,1.0776755196409742,-0.5325292749697859,-0.09513613181379256,0.7470381142323435,0.13221986611331354,0.22578870359483397,0.32595099120927545,0.2758698474020547,6
경북,135,180,175,186,162,161.55535224153704,0.4446477584629633,27,20.0,4.663513939210562,-24.0,moderate_or_stable,100040.0,92302.0,55683.0,30032.0,1868.0,3065.0,1654.0,7738.0,69.98000799680128,7.734906037584965,24913.0,22654.0,5013.0,5576.0,4477.0,2026.0,10589.0,12827.5,15066.0,2462.0,532818.7454790332,462.0708300693376,21285.0,5.9,5.4,6.4799999999999995,8.3,26.548,49.332,24.629,2.36,2.317,2.831,31.122,54.402,26.494,2.284,2.204,2.798,30.40433569099622,0.0834519735343021,18.77561569461273,46.75698858455486,24.074791115818147,4.01557419820977,13.185936580545555,5.087596335232384,0.9530038618356582,0.29425212422768554,-0.9271607876120631,0.5879611045210719,-0.33605882637133727,0.3037323865640022,-0.16959984154549562,0.06706627250925329,8
울산,59,58,59,72,68,70.60567246111619,-2.605672461116185,9,15.254237288135592,3.612994480236087,-4.0,moderate_or_stable,38212.0,35260.0,18291.0,13678.0,559.0,2020.0,712.0,2952.0,64.2049617921072,7.725321888412018,7340.0,9554.0,2296.0,2200.0,1585.0,671.0,4496.0,5288.5,6081.0,831.0,240980.94650031975,344.8405411582602,4552.0,7.1,6.6,5.8,7.2,26.548,49.332,24.629,2.36,2.317,2.831,31.122,54.402,26.494,2.284,2.204,2.798,28.217998554466533,-1.0812773785469083,15.856855305342282,30.458839616144758,21.94571843460239,5.205994550408719,12.392473149182724,4.219507705176107,-0.5893689241460836,-1.0845689787070414,-1.5957949771450606,-0.3134752838427995,0.787810035591824,-0.29537595575376696,-0.95463513049393,-0.6250055431238485,16
세종,12,13,11,8,9,14.360475754803293,-5.360475754803293,-3,-25.0,-6.939514089790045,1.0,declining_or_reduced,9430.0,8815.0,2647.0,5895.0,111.0,114.0,48.0,615.0,37.486744432661716,6.521739130434782,1288.0,3237.0,882.0,755.0,476.0,128.0,1637.0,1875.0,2113.0,187.0,77568.8975491856,241.07600585843744,917.0,5.8,5.5,4.68,6.2,26.548,49.332,24.629,2.36,2.317,2.831,31.122,54.402,26.494,2.284,2.204,2.798,11.602588517251,-6.910599382187008,12.156934413075215,16.604593344688098,24.172059410939582,7.321428571428571,11.25892182104907,2.1972245773362196,-2.544533628825527,-2.256636258332764,-0.896613729144036,-1.7981940411480002,-0.24240308787440745,-1.6811909916775665,-1.3474038851460182,-1.5142974384117922,17
부산,315,329,317,287,367,376.9624885635864,-9.96248856358642,52,16.507936507936506,3.893619716663954,80.0,moderate_or_stable,100356.0,86641.0,33408.0,37389.0,1601.0,12453.0,1790.0,13715.0,62.743632667702975,13.666347801825502,39483.0,31518.0,7438.0,6531.0,5311.0,2978.0,13969.0,16624.5,19280.0,2879.0,637667.0592161927,451.48952864819574,14506.0,5.9,5.5,5.5200000000000005,6.7,26.548,49.332,24.629,2.36,2.317,2.831,31.122,54.402,26.494,2.284,2.204,2.798,57.55354533306282,-1.562333888758831,15.737993448078615,61.91789183611225,26.070815105981005,2.5417521464934274,13.36557157535711,5.905361848054571,-0.6521795935688484,1.576862399990692,-0.30031047163841373,-0.6846549731690987,-0.24240308787440745,0.22742657284914544,-0.49248272240375623,-0.13252807477730538,12
