category,variable,org_id,tbl_id,table_name,stat_name,geography,time_coverage,needed_dimensions,model_role,access_status,priority,rationale,official_url,analysis_tier
exposure,male_40_64_single_person_households,101.0,DT_1PL1502,성 및 연령별 1인가구 - 시군구,"「인구총조사」, 국가데이터처",시군구,2015-2024,행정구역×연령; items: 남자/여자/1인가구,exposure,metadata_verified_api_or_manual_download_needed,1,40-64세 남성 1인가구 핵심 노출변수,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1PL1502&conn_path=I2,Tier1_public_core
exposure,male_40_64_single_person_households_by_dwelling,101.0,DT_1PL1509,"성, 연령 및 거처의 종류별 1인가구 - 시군구","「인구총조사」, 국가데이터처",시군구,2015-2024,행정구역×성×연령×거처,exposure,metadata_verified_api_or_manual_download_needed,1,주거유형까지 붙일 수 있는 고립/주거취약 보강변수,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1PL1509&conn_path=I2,Tier1_public_core
mediator,social_network_no_help_available,101.0,DT_1SSSP041R,사회적 관계망 (13세 이상 인구) ,"「사회조사」, 국가데이터처",시도,사회조사 격년/주기,행정구역×특성; 아플 때/돈 빌릴 때/우울할 때 도움 없음,mediator,metadata_verified_api_or_manual_download_needed,1,사회적 고립 직접 지표,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1SSSP041R&conn_path=I2,Tier1_public_core
mediator,daily_exchange_absence,101.0,DT_1SSSP045R,사회적 관계망-일 평균 교류현황 (13세 이상 인구),"「사회조사」, 국가데이터처",시도,사회조사 격년/주기,행정구역×특성; 가족/친척 외 교류 없음,mediator,metadata_verified_api_or_manual_download_needed,2,일상 교류망 결핍 지표,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1SSSP045R&conn_path=I2,Tier2_public_supplement
mediator,annual_depression_experience_rate,177.0,DT_H_MENTAL_DEPRESS,시·군·구별 연간 우울감 경험률,"「지역사회건강조사」, 질병관리청",시군구,2008-2025,시군구; 조율/표준화율,mediator,metadata_verified_api_or_manual_download_needed,1,지역사회건강조사 기반 지역 우울감 지표,https://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_H_MENTAL_DEPRESS&conn_path=I2,Tier1_public_core
need,basic_livelihood_recipient_male_40_64,117.0,DT_11714_N002,"국민기초일반수급자수-시도별, 성별, 연령별","「국민기초생활보장수급자현황」, 보건복지부",시도,2001-2024,행정구역×성×연령,need,metadata_verified_api_or_manual_download_needed,1,경제취약/복지수요 지표,https://kosis.kr/statHtml/statHtml.do?orgId=117&tblId=DT_11714_N002&conn_path=I2,Tier1_public_core
need,basic_livelihood_recipients_total,117.0,DT_11714_N001,"국민기초생활수급자총괄(일반,시설)-시도별","「국민기초생활보장수급자현황」, 보건복지부",시도,2001-2024,행정구역,need,metadata_verified_api_or_manual_download_needed,2,총 복지수요 보조 지표,https://kosis.kr/statHtml/statHtml.do?orgId=117&tblId=DT_11714_N001&conn_path=I2,Tier2_public_supplement
capacity,social_welfare_facilities,110.0,DT_110001_A043,사회복지시설 수,"「한국도시통계」, 행정안전부",시군구/도시통계,2023,행정구역×시설유형,capacity,metadata_verified_api_or_manual_download_needed,3,복지 인프라이나 단년도라 패널보다는 단면 보정,https://kosis.kr/statHtml/statHtml.do?orgId=110&tblId=DT_110001_A043&conn_path=I2,Tier2_public_supplement
outcome,male_40_64_suicide_rate_by_region,101.0,DT_1B34E11,"시도/사망원인(104항목)/성/연령(5세)별/ 사망자수, 사망률(1996~)","「사망원인통계」, 국가데이터처",시도,1996-2024,시도×사망원인×성×연령,outcome_B,metadata_verified_api_or_manual_download_needed,1,남성 40-64세 자살률 지역 패널 핵심 종속변수,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B34E11&conn_path=I2,Tier1_public_core
outcome,sex_specific_suicide_rate_city_county,101.0,DT_1B34E13,"시군구/사망원인(50항목)/성/ 사망자수, 사망률, 연령표준화 사망률(1998~)","「사망원인통계」, 국가데이터처",시군구,1998-2024,시군구×사망원인×성,outcome_B_proxy,metadata_verified_api_or_manual_download_needed,2,연령은 없지만 시군구 성별 자살률 보조분석 가능,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B34E13&conn_path=I2,Tier2_public_supplement
