domain,source_name,table_or_file_id,unit,time_coverage,status_for_this_project,main_variables,notes
사망/자살,KOSIS 사망원인(104항목)/성/연령(5세)별 사망자수·사망률,DT_1B34E01,year x cause x sex x 5-year-age,1983-2024,confirmed_existing_local_and_official_meta,"suicide deaths, suicide rate, sex, age band","기존 `analysis_outputs_middle_male_mortality/mortality_suicide_long.csv`의 원천 표."
사망/자살,KOSIS 시도/사망원인(104항목)/성/연령(5세)별 사망자수·사망률,DT_1B34E11,year x province x cause x sex x age,1996-2024,confirmed_needs_download,"regional suicide deaths, regional suicide rate","시도 패널 확장 핵심. 중년 남성 40-64세 자살률을 시도 단위로 만들 수 있음."
사망/자살,KOSIS 시군구/사망원인(50항목)/성별 사망률,DT_1B34E13,year x city/county/district x cause x sex,1998-2024,confirmed_needs_download,"male suicide rate, standardized death rate","연령축은 없지만 시군구 남성 자살률과 복지/1인가구 지표를 결합 가능."
사망/자살,KOSIS 성/월별 특정 사망원인(고의적 자해) 사망자 수,DT_1B34E17,month x sex,2019.01-2026.03,confirmed_needs_download,"monthly suicide deaths by sex","2026년 5월 27일 갱신. 최신 추세 보조분석."
사망/자살,KOSIS 성/연령별 특정 사망원인(고의적 자해) 사망자 수(분기별),DT_1B34E18,quarter x sex x age group,2022Q1-2026Q1,confirmed_needs_download,"quarterly suicide deaths by sex/age","중년 남성 최신 분기 추세 확인용."
사망/자살,KOSIS 시도별 특정 사망원인(고의적 자해) 사망자 수(분기별),DT_1B34E19,quarter x province,2022Q1-2026Q1,confirmed_needs_download,"quarterly suicide deaths by province","고독사 시도 패널과 최근성 비교 가능."
고독사,보건복지부 2024년도 고독사 발생 실태조사 보도자료,list_no=1488039,year x province/sex/age,2020-2024,downloaded_to_csv,"godoksa count, sex, age, province","본 세션에서 `godoksa_year_summary_2020_2024.csv`, `godoksa_region_year_2020_2024.csv`로 구조화."
고독사,보건복지부 2024년 고독사 사망자 실태조사 결과 발표,list_no=1483372,year x sex/age/place/finder,2017-2023,confirmed_for_context,"godoksa sex share, age share, place, first finder","2022-2023년 50·60대 남성 고독사 비중 54% 수준 확인."
개인조사,로컬 중년 남성 개인조사 Bigdata_middle_male.csv,local_private_file,person-year,2019-2024,already_analyzed,"CES-D, self-esteem, AUDIT, income, weights, isolation-related items","기존 산출물은 40-64세 남성 13,827행, 연도 x 5세연령대 가중 집계."
사회조사,KOSIS 사회조사 사회적 관계망/삶의 만족도/자살충동 관련 표,TBD,year x sex x age or province,mostly biennial,needs_table_id_and_download,"social support, social network, life satisfaction, suicidal ideation","논문에서 개인조사와 공식통계 사이의 사회적 고립 설명축으로 중요."
가구구조,KOSIS 인구총조사 1인가구 성·연령·지역 표,TBD,year x region x sex x age,annual/census,needs_table_id_and_download,"one-person household count/share by sex/age","고독사 위험 노출분모. 보건복지부 발표도 1인가구 비중 증가를 설명요인으로 언급."
복지인프라,KOSIS/e-지방지표 사회복지시설·사회복지전담공무원·기초생활수급자,TBD,year x region,annual,needs_table_id_and_download,"welfare facility, welfare officials, recipients","지역 대응역량 지수 구성에 사용."
빅데이터,통신·생활인구·지역 방문/체류 자료,provider_specific,region x time,variable,requires_access_or_open_city_data,"floating population, night-time stay, mobility isolation proxy","서울/지자체 공개 생활인구부터 우선 검토 가능. 전국 통신사는 별도 접근 필요."
