sex,age_group,rank,cause,death_count_2024,death_rate_per_100k_2024
계,전체,1위,악성신생물,88933.0,174.3
계,전체,2위,심장 질환,33539.0,65.7
계,전체,3위,폐렴,30103.0,59.0
계,전체,4위,뇌혈관 질환,24612.0,48.2
계,전체,5위,고의적 자해(자살),14872.0,29.1
계,전체,6위,알쯔하이머병,12223.0,23.9
계,전체,7위,당뇨병,11064.0,21.7
계,전체,8위,고혈압성 질환,8229.0,16.1
계,전체,9위,간의 질환,7787.0,15.3
계,전체,10위,패혈증,7730.0,15.1
계,0세,1위,출생전후기에 기원한 특정 병태,255.0,110.6
계,0세,2위,"선천 기형, 변형 및 염색체 이상",104.0,45.1
계,0세,3위,영아 급사 증후군,47.0,20.4
계,0세,4위,가해(타살),12.0,5.2
계,0세,5위,심장 질환,9.0,3.9
계,0세,6위,악성신생물,7.0,3.0
계,0세,7위,폐렴,6.0,2.6
계,0세,8위,나머지 특정 감염성 및 기생충성 질환,3.0,1.3
계,0세,9위,뇌혈관 질환,3.0,1.3
계,0세,10위,기타 급성 하기도 감염,3.0,1.3
계,1-9세,1위,악성신생물,53.0,1.8
계,1-9세,2위,"선천 기형, 변형 및 염색체 이상",29.0,1.0
계,1-9세,3위,가해(타살),23.0,0.8
계,1-9세,4위,운수 사고,19.0,0.6
계,1-9세,5위,심장 질환,15.0,0.5
계,1-9세,6위,불의의 물에 빠짐(익사),10.0,0.3
계,1-9세,7위,폐렴,7.0,0.2
계,1-9세,8위,출생전후기에 기원한 특정 병태,6.0,0.2
계,1-9세,9위,추락,5.0,0.2
계,1-9세,10위,뇌혈관 질환,4.0,0.1
계,10-19세,1위,고의적 자해(자살),372.0,8.0
계,10-19세,2위,악성신생물,91.0,2.0
계,10-19세,3위,운수 사고,66.0,1.4
계,10-19세,4위,심장 질환,22.0,0.5
계,10-19세,5위,"선천 기형, 변형 및 염색체 이상",22.0,0.5
계,10-19세,6위,불의의 물에 빠짐(익사),11.0,0.2
계,10-19세,7위,가해(타살),11.0,0.2
계,10-19세,8위,뇌혈관 질환,9.0,0.2
계,10-19세,9위,폐렴,8.0,0.2
계,10-19세,10위,패혈증,6.0,0.1
계,20-29세,1위,고의적 자해(자살),1366.0,22.5
계,20-29세,2위,악성신생물,274.0,4.5
계,20-29세,3위,운수 사고,188.0,3.1
계,20-29세,4위,심장 질환,54.0,0.9
계,20-29세,5위,뇌혈관 질환,44.0,0.7
계,20-29세,6위,추락,29.0,0.5
계,20-29세,7위,간의 질환,26.0,0.4
계,20-29세,8위,폐렴,25.0,0.4
계,20-29세,9위,당뇨병,24.0,0.4
계,20-29세,10위,가해(타살),23.0,0.4
계,30-39세,1위,고의적 자해(자살),1995.0,30.4
계,30-39세,2위,악성신생물,680.0,10.3
계,30-39세,3위,심장 질환,242.0,3.7
계,30-39세,4위,간의 질환,207.0,3.1
계,30-39세,5위,운수 사고,192.0,2.9
계,30-39세,6위,뇌혈관 질환,172.0,2.6
계,30-39세,7위,당뇨병,84.0,1.3
계,30-39세,8위,폐렴,50.0,0.8
계,30-39세,9위,추락,42.0,0.6
계,30-39세,10위,유독성 물질에 의한 불의의 중독 및 노출 ,27.0,0.4
계,40-49세,1위,고의적 자해(자살),2817.0,36.2
계,40-49세,2위,악성신생물,2659.0,34.2
계,40-49세,3위,간의 질환,946.0,12.2
계,40-49세,4위,심장 질환,750.0,9.6
계,40-49세,5위,뇌혈관 질환,572.0,7.4
계,40-49세,6위,운수 사고,289.0,3.7
계,40-49세,7위,당뇨병,213.0,2.7
계,40-49세,8위,폐렴,163.0,2.1
계,40-49세,9위,정신활성 물질 사용에 의한 정신 및 행동 장애 ,133.0,1.7
계,40-49세,10위,추락,109.0,1.4
계,50-59세,1위,악성신생물,8916.0,103.2
계,50-59세,2위,고의적 자해(자살),3151.0,36.5
계,50-59세,3위,심장 질환,2088.0,24.2
계,50-59세,4위,간의 질환,2052.0,23.8
계,50-59세,5위,뇌혈관 질환,1475.0,17.1
계,50-59세,6위,당뇨병,765.0,8.9
계,50-59세,7위,폐렴,512.0,5.9
계,50-59세,8위,운수 사고,484.0,5.6
계,50-59세,9위,추락,369.0,4.3
계,50-59세,10위,정신활성 물질 사용에 의한 정신 및 행동 장애 ,315.0,3.6
계,60-69세,1위,악성신생물,19743.0,257.1
계,60-69세,2위,심장 질환,3997.0,52.0
계,60-69세,3위,뇌혈관 질환,3004.0,39.1
계,60-69세,4위,고의적 자해(자살),2449.0,31.9
계,60-69세,5위,간의 질환,2000.0,26.0
계,60-69세,6위,폐렴,1730.0,22.5
계,60-69세,7위,당뇨병,1632.0,21.3
계,60-69세,8위,운수 사고,803.0,10.5
