region_short,raw_region,suicide_deaths_2025q4_p,suicide_deaths_2026q1_p,change_2026q1_minus_2025q4,pct_change_2026q1_vs_2025q4,national_male_40_60s_share_all_suicide_2025q4_pct,national_male_40_60s_share_all_suicide_2026q1_pct,estimated_male_40_60s_suicide_deaths_2025q4_p,estimated_male_40_60s_suicide_deaths_2026q1_p,estimated_male_40_60s_suicide_change_2026q1_minus_2025q4,estimated_male_40_60s_suicide_pct_change_2026q1_vs_2025q4,male_40_64_population_est_2024,estimated_male_40_60s_suicide_rate_per_100k_male_40_64_pop_2025q4_p,estimated_male_40_60s_suicide_rate_per_100k_male_40_64_pop_2026q1_p,expected_male_40_60s_suicide_deaths_by_pop_share_2025q4_p,expected_male_40_60s_suicide_deaths_by_pop_share_2026q1_p,middle_male_suicide_pressure_index_2025q4_p,middle_male_suicide_pressure_index_2026q1_p,middle_male_suicide_pressure_index_change,acute_middle_male_suicide_pressure_score,acute_middle_male_suicide_pressure_rank,godoksa_count_2024,godoksa_change_2020_2024,excess_2024_vs_expected,godoksa_per_100k_male_40_64_pop_proxy_2024,basic_livelihood_male_40_64_rate_per_1000_2024,business_closure_male_40_64_approx_rate_per_1000_2024,male_40_64_single_household_rate_pct_2024,husband_divorce_rate_40_64_mean_2025,depression_std_rate_2025,structural_isolation_index,event_stress_index,composite_vulnerability_index,estimation_quality
충북,충청북도,112.0,128.0,16.0,14.285714285714285,42.2706065318818,43.53209514499837,47.34307931570762,55.72108178559792,8.378002469890298,17.696361518906567,328411.0209647572,14.415801021728852,16.966873286380217,43.026154796665814,42.29797116140215,1.100332566073888,1.3173464413452685,0.21701387527138039,1.8366155057245468,1,128,30,10.722781335773108,38.97554948794976,36.98414250629983,26.724133600077423,19.011542248668995,6.6,5.9,0.2257887035948339,0.3259509912092754,0.2758698474020547,estimated_from_region_total_x_national_sex_age_margins_not_observed_region_sex_age
전북,전라북도,93.0,122.0,29.0,31.18279569892473,42.2706065318818,43.53209514499837,39.311664074650075,53.10915607689802,13.797492002247942,35.09770529186319,355126.225374628,11.069772172747765,14.955008186419455,46.52619726475041,45.73877817932785,0.8449361088109758,1.1611406817355976,0.3162045729246218,1.2809477101436226,2,96,-47,-75.12900274473924,27.032641675147524,57.25288234782286,26.384984635013783,18.09666406140657,6.2,6.2,0.7298709805819897,0.007567861948355,0.3687194212651724,estimated_from_region_total_x_national_sex_age_margins_not_observed_region_sex_age
강원,강원특별자치도,119.0,113.0,-6.0,-5.042016806722689,42.2706065318818,43.53209514499837,50.30202177293935,49.19126751384816,-1.1107542590911876,-2.208170208555579,310449.5041867132,16.202964119629026,15.845175093036428,40.67296031797637,39.984602637834016,1.2367435608247868,1.230255254989146,-0.006488305835640862,0.9667132955412846,3,133,35,15.722781335773108,42.841105624704106,42.274185730723055,26.74992192935002,19.536510505593448,6.2,6.9,0.7796238607983189,0.0648720475174307,0.4222479541578748,estimated_from_region_total_x_national_sex_age_margins_not_observed_region_sex_age
충남,충청남도,185.0,165.0,-20.0,-10.81081081081081,42.2706065318818,43.53209514499837,78.20062208398134,71.82795698924731,-6.372665094734032,-8.149123274096578,447500.8996172712,17.47496421814192,16.050907841901267,58.62849219255085,57.63625133866662,1.333833076026425,1.2462288112249218,-0.08760426480150318,0.8809578616366478,4,171,-22,-59.96431838975295,38.2122136840952,31.736249049211697,26.78206906455444,19.222307725765315,6.7,7.0,0.4583279575826074,0.4013303801225411,0.4298291688525743,estimated_from_region_total_x_national_sex_age_margins_not_observed_region_sex_age
전남,전라남도,118.0,120.0,2.0,1.694915254237288,42.2706065318818,43.53209514499837,49.87931570762053,52.23851417399805,2.3591984663775207,4.7298132159761845,377237.0527335955,13.222273725811673,13.847662575947663,49.4230058975258,48.586560617435225,1.0092327409433746,1.0751638623963913,0.06593112145301672,0.36265009441421325,5,112,-2,-24.42451967063127,29.689554403102157,44.78351179339356,24.39447539237032,18.731988145900097,6.62,4.4,-0.0717901239201671,-0.0266065772210003,-0.0491983505705837,estimated_from_region_total_x_national_sex_age_margins_not_observed_region_sex_age
경북,경상북도,179.0,172.0,-7.0,-3.910614525139665,42.2706065318818,43.53209514499837,75.66438569206844,74.8752036493972,-0.7891820426712286,-1.0430033039361015,532818.7454790332,14.20077396564605,14.052659423999863,69.80624996749526,68.62483440513147,1.083919931629345,1.0910802816275846,0.007160349998239557,0.3215079924359563,6,162,27,0.4446477584629633,30.40433569099622,46.75698858455486,24.074791115818147,18.77561569461273,6.48,5.4,0.3037323865640022,-0.1695998415454956,0.0670662725092532,estimated_from_region_total_x_national_sex_age_margins_not_observed_region_sex_age
경남,경상남도,169.0,206.0,37.0,21.89349112426036,42.2706065318818,43.53209514499837,71.43732503888025,89.67611599869664,18.2387909598164,25.531178483922535,696580.6752473883,10.255427343503252,12.873758802862062,91.26121246940868,89.71668863806474,0.7827786099469858,0.9995477693171247,0.21676915937013896,0.300222141327557,7,237,12,-32.25892040256173,34.02333834710965,42.35403169851375,24.534846583176265,17.660265977994662,6.4,5.0,-0.1417680837040284,-0.1503854190204756,-0.146076751362252,estimated_from_region_total_x_national_sex_age_margins_not_observed_region_sex_age
광주,광주광역시,74.0,82.0,8.0,10.81081081081081,42.2706065318818,43.53209514499837,31.280248833592534,35.696318018898666,4.416069185306132,14.117755932183057,280075.45605251216,11.16850768520313,12.745250341467216,36.6935612923762,36.072551792946726,0.8524724156467094,0.9895700815343587,0.13709766588764927,0.09194771658746116,8,119,1,-22.21134492223237,42.48854993480341,59.99454660121862,27.547933363191238,17.862686257884704,5.5200000000000005,3.4,-0.1081483995310142,-0.2605386047914397,-0.1843435021612269,estimated_from_region_total_x_national_sex_age_margins_not_observed_region_sex_age
세종,세종특별자치시,18.0,22.0,4.0,22.22222222222222,42.2706065318818,43.53209514499837,7.608709175738725,9.577060931899641,1.9683517561609163,25.869719957719507,77568.8975491856,9.808969079280939,12.346521910830216,10.16254382558047,9.990550810136503,0.7487012411780795,0.9586119037783852,0.20991066260030578,0.0886034771323399,9,9,-3,-5.360475754803293,11.602588517251,16.604593344688098,24.172059410939585,12.156934413075216,4.68,5.5,-1.6811909916775665,-1.3474038851460182,-1.5142974384117922,estimated_from_region_total_x_national_sex_age_margins_not_observed_region_sex_age
경기,경기도,807.0,808.0,1.0,0.1239157372986369,42.2706065318818,43.53209514499837,341.12379471228616,351.7393287715868,10.615534059300671,3.111930103924332,2829282.9698070507,12.056899163237457,12.432101437898044,370.67320903202,364.3998581801168,0.9202817640991656,0.965256491943331,0.04497472784416534,-0.21062508617102135,10,894,216,82.63311985361395,31.598111943570224,27.16695389618163,31.035778653836218,15.086507944064332,5.94,6.6,-0.5238996065193202,0.5655241794223134,0.0208122864514965,estimated_from_region_total_x_national_sex_age_margins_not_observed_region_sex_age
