predictor,outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p
middle_male_suicide_pressure_index_2026q1_p,godoksa_count_2024,17,-0.1963509054340647,0.4500634054301522,0.09803921568627452,0.7081513097186005
middle_male_suicide_pressure_index_2026q1_p,godoksa_change_2020_2024,17,-0.26352381445834755,0.30678751219213307,-0.09442061860553318,0.7185033915091785
middle_male_suicide_pressure_index_2026q1_p,excess_2024_vs_expected,17,-0.28412750114425134,0.26905924880244325,-0.2058823529411765,0.42791485314259825
middle_male_suicide_pressure_index_2026q1_p,godoksa_per_100k_male_40_64_pop_proxy_2024,17,0.06629142932788536,0.8004345600933687,0.02450980392156863,0.9256077760199253
middle_male_suicide_pressure_index_2026q1_p,basic_livelihood_male_40_64_rate_per_1000_2024,17,0.024922179611683297,0.9243594707347802,-0.009803921568627453,0.9702105713958575
middle_male_suicide_pressure_index_2026q1_p,business_closure_male_40_64_approx_rate_per_1000_2024,17,-0.1579849444678585,0.5447833550718109,-0.2132352941176471,0.41122567820894185
middle_male_suicide_pressure_index_change,godoksa_count_2024,17,-0.1179504829705644,0.6520913543072193,-0.15441176470588236,0.5540319990921512
middle_male_suicide_pressure_index_change,godoksa_change_2020_2024,17,-0.20866664233125592,0.42155417004082474,-0.20232989701185683,0.43610250556208996
middle_male_suicide_pressure_index_change,excess_2024_vs_expected,17,-0.26210298396477494,0.30949928280988015,-0.18627450980392157,0.4740951399440112
middle_male_suicide_pressure_index_change,godoksa_per_100k_male_40_64_pop_proxy_2024,17,-0.4605817714157907,0.06280819979985663,-0.42156862745098045,0.09191262861284955
middle_male_suicide_pressure_index_change,basic_livelihood_male_40_64_rate_per_1000_2024,17,-0.1282177702418483,0.6238364389203099,-0.18137254901960786,0.48600977551986047
middle_male_suicide_pressure_index_change,business_closure_male_40_64_approx_rate_per_1000_2024,17,-0.2998317082292605,0.2423150458578236,-0.3921568627450981,0.11949978461382127
acute_middle_male_suicide_pressure_score,godoksa_count_2024,17,-0.19506347072001046,0.4530989138972532,-0.004901960784313726,0.9851029592703198
acute_middle_male_suicide_pressure_score,godoksa_change_2020_2024,17,-0.2810346314692188,0.27453179042731546,-0.18761499541099452,0.4708622320850915
acute_middle_male_suicide_pressure_score,excess_2024_vs_expected,17,-0.31718747314548906,0.21478107809887637,-0.232843137254902,0.36845965485421184
acute_middle_male_suicide_pressure_score,godoksa_per_100k_male_40_64_pop_proxy_2024,17,-0.1252919199371497,0.6318399348707691,-0.13235294117647062,0.6125925983674017
acute_middle_male_suicide_pressure_score,basic_livelihood_male_40_64_rate_per_1000_2024,17,-0.029937767341666144,0.9091909240896767,-0.09803921568627452,0.7081513097186005
acute_middle_male_suicide_pressure_score,business_closure_male_40_64_approx_rate_per_1000_2024,17,-0.23522932975577746,0.36343110638964937,-0.24754901960784317,0.33808764785868606
estimated_male_40_60s_suicide_rate_per_100k_male_40_64_pop_2026q1_p,godoksa_count_2024,17,-0.19635090543406475,0.450063405430152,0.09803921568627452,0.7081513097186005
estimated_male_40_60s_suicide_rate_per_100k_male_40_64_pop_2026q1_p,godoksa_change_2020_2024,17,-0.2635238144583476,0.30678751219213307,-0.09442061860553318,0.7185033915091785
estimated_male_40_60s_suicide_rate_per_100k_male_40_64_pop_2026q1_p,excess_2024_vs_expected,17,-0.28412750114425145,0.26905924880244303,-0.2058823529411765,0.42791485314259825
estimated_male_40_60s_suicide_rate_per_100k_male_40_64_pop_2026q1_p,godoksa_per_100k_male_40_64_pop_proxy_2024,17,0.06629142932788519,0.8004345600933691,0.02450980392156863,0.9256077760199253
estimated_male_40_60s_suicide_rate_per_100k_male_40_64_pop_2026q1_p,basic_livelihood_male_40_64_rate_per_1000_2024,17,0.02492217961168333,0.92435947073478,-0.009803921568627453,0.9702105713958575
estimated_male_40_60s_suicide_rate_per_100k_male_40_64_pop_2026q1_p,business_closure_male_40_64_approx_rate_per_1000_2024,17,-0.15798494446785835,0.5447833550718111,-0.2132352941176471,0.41122567820894185
estimated_male_40_60s_suicide_change_2026q1_minus_2025q4,godoksa_count_2024,17,-0.19765544685816971,0.4469981281063893,-0.19607843137254904,0.450704980881786
estimated_male_40_60s_suicide_change_2026q1_minus_2025q4,godoksa_change_2020_2024,17,-0.3048690863320902,0.23410526013556088,-0.21459231501257542,0.40818397922635397
estimated_male_40_60s_suicide_change_2026q1_minus_2025q4,excess_2024_vs_expected,17,-0.35788883526488036,0.15840700152879128,-0.18627450980392157,0.4740951399440112
estimated_male_40_60s_suicide_change_2026q1_minus_2025q4,godoksa_per_100k_male_40_64_pop_proxy_2024,17,-0.4685307728332111,0.05783274113429693,-0.5416666666666667,0.024714801734628367
estimated_male_40_60s_suicide_change_2026q1_minus_2025q4,basic_livelihood_male_40_64_rate_per_1000_2024,17,-0.1642404256540281,0.5287596181507186,-0.27696078431372556,0.2818431625139153
estimated_male_40_60s_suicide_change_2026q1_minus_2025q4,business_closure_male_40_64_approx_rate_per_1000_2024,17,-0.28641236136724757,0.2650598106016764,-0.28186274509803927,0.27305989737980285
