rank,region,acute_middle_male_suicide_pressure_score,middle_male_suicide_pressure_index_2026q1_p,middle_male_suicide_pressure_index_change,estimated_male_40_60s_suicide_rate_per_100k_male_40_64_pop_2026q1_p,estimated_male_40_60s_suicide_change_2026q1_minus_2025q4
1,충북,1.8366155057245468,1.3173464413452685,0.21701387527138039,16.966873286380217,8.378002469890298
2,전북,1.2809477101436226,1.1611406817355976,0.3162045729246218,14.955008186419455,13.797492002247942
3,강원,0.9667132955412846,1.230255254989146,-0.006488305835640862,15.845175093036428,-1.1107542590911876
4,충남,0.8809578616366478,1.2462288112249218,-0.08760426480150318,16.050907841901267,-6.372665094734032
5,전남,0.36265009441421325,1.0751638623963913,0.06593112145301672,13.847662575947663,2.3591984663775207
6,경북,0.3215079924359563,1.0910802816275846,0.007160349998239557,14.052659423999863,-0.7891820426712286
7,경남,0.300222141327557,0.9995477693171247,0.21676915937013896,12.873758802862062,18.2387909598164
8,광주,0.09194771658746116,0.9895700815343587,0.13709766588764927,12.745250341467216,4.416069185306132
9,세종,0.0886034771323399,0.9586119037783852,0.20991066260030578,12.346521910830216,1.9683517561609163
10,경기,-0.21062508617102135,0.965256491943331,0.04497472784416534,12.432101437898044,10.615534059300671
