indicator_1,indicator_2,n,spearman_rho,p
godoksa_per_100k_total_pop_2024,godoksa_per_100k_male_40_64_pop_proxy_2024,17,0.982843137254902,2.000914024116423e-12
godoksa_per_100k_total_pop_2024,godoksa_pct_change_2020_2024,17,0.46323529411764713,0.06111337130203475
godoksa_per_100k_total_pop_2024,godoksa_excess_pct_vs_expected_2024,17,0.46323529411764713,0.06111337130203475
godoksa_per_100k_total_pop_2024,godoksa_excess_per_100k_total_pop_2024,17,0.34803921568627455,0.17101314886910302
godoksa_per_100k_total_pop_2024,godoksa_excess_per_100k_male_40_64_pop_proxy_2024,17,0.34803921568627455,0.17101314886910302
godoksa_per_100k_male_40_64_pop_proxy_2024,godoksa_pct_change_2020_2024,17,0.5049019607843138,0.03872104887870593
godoksa_per_100k_male_40_64_pop_proxy_2024,godoksa_excess_pct_vs_expected_2024,17,0.5049019607843138,0.03872104887870593
godoksa_per_100k_male_40_64_pop_proxy_2024,godoksa_excess_per_100k_total_pop_2024,17,0.38970588235294124,0.1220343985878291
godoksa_per_100k_male_40_64_pop_proxy_2024,godoksa_excess_per_100k_male_40_64_pop_proxy_2024,17,0.38970588235294124,0.1220343985878291
godoksa_pct_change_2020_2024,godoksa_excess_pct_vs_expected_2024,17,1.0,1.159808800428672e-66
godoksa_pct_change_2020_2024,godoksa_excess_per_100k_total_pop_2024,17,0.9754901960784315,2.8428732666901183e-11
godoksa_pct_change_2020_2024,godoksa_excess_per_100k_male_40_64_pop_proxy_2024,17,0.9754901960784315,2.8428732666901183e-11
godoksa_excess_pct_vs_expected_2024,godoksa_excess_per_100k_total_pop_2024,17,0.9754901960784315,2.8428732666901183e-11
godoksa_excess_pct_vs_expected_2024,godoksa_excess_per_100k_male_40_64_pop_proxy_2024,17,0.9754901960784315,2.8428732666901183e-11
godoksa_excess_per_100k_total_pop_2024,godoksa_excess_per_100k_male_40_64_pop_proxy_2024,17,1.0,1.159808800428672e-66
