region,year,count,share_pct,source_id
서울,2020,571,17.4,src_mohw_2025_godoksa
서울,2021,619,18.3,src_mohw_2025_godoksa
서울,2022,678,19.1,src_mohw_2025_godoksa
서울,2023,559,15.3,src_mohw_2025_godoksa
서울,2024,784,20.0,src_mohw_2025_godoksa
부산,2020,315,9.6,src_mohw_2025_godoksa
부산,2021,329,9.7,src_mohw_2025_godoksa
부산,2022,317,8.9,src_mohw_2025_godoksa
부산,2023,287,7.8,src_mohw_2025_godoksa
부산,2024,367,9.4,src_mohw_2025_godoksa
대구,2020,125,3.8,src_mohw_2025_godoksa
대구,2021,124,3.7,src_mohw_2025_godoksa
대구,2022,146,4.1,src_mohw_2025_godoksa
대구,2023,183,5.0,src_mohw_2025_godoksa
대구,2024,229,5.9,src_mohw_2025_godoksa
인천,2020,248,7.6,src_mohw_2025_godoksa
인천,2021,248,7.3,src_mohw_2025_godoksa
인천,2022,215,6.0,src_mohw_2025_godoksa
인천,2023,208,5.7,src_mohw_2025_godoksa
인천,2024,260,6.6,src_mohw_2025_godoksa
광주,2020,118,3.6,src_mohw_2025_godoksa
광주,2021,111,3.3,src_mohw_2025_godoksa
광주,2022,117,3.3,src_mohw_2025_godoksa
광주,2023,94,2.6,src_mohw_2025_godoksa
광주,2024,119,3.0,src_mohw_2025_godoksa
대전,2020,120,3.6,src_mohw_2025_godoksa
대전,2021,128,3.8,src_mohw_2025_godoksa
대전,2022,141,4.0,src_mohw_2025_godoksa
대전,2023,104,2.8,src_mohw_2025_godoksa
대전,2024,107,2.7,src_mohw_2025_godoksa
울산,2020,59,1.8,src_mohw_2025_godoksa
울산,2021,58,1.7,src_mohw_2025_godoksa
울산,2022,59,1.7,src_mohw_2025_godoksa
울산,2023,72,2.0,src_mohw_2025_godoksa
울산,2024,68,1.7,src_mohw_2025_godoksa
세종,2020,12,0.4,src_mohw_2025_godoksa
세종,2021,13,0.4,src_mohw_2025_godoksa
세종,2022,11,0.3,src_mohw_2025_godoksa
세종,2023,8,0.2,src_mohw_2025_godoksa
세종,2024,9,0.2,src_mohw_2025_godoksa
경기,2020,678,20.7,src_mohw_2025_godoksa
경기,2021,713,21.1,src_mohw_2025_godoksa
경기,2022,749,21.0,src_mohw_2025_godoksa
경기,2023,922,25.2,src_mohw_2025_godoksa
경기,2024,894,22.8,src_mohw_2025_godoksa
강원,2020,98,3.0,src_mohw_2025_godoksa
강원,2021,110,3.3,src_mohw_2025_godoksa
강원,2022,146,4.1,src_mohw_2025_godoksa
강원,2023,156,4.3,src_mohw_2025_godoksa
강원,2024,133,3.4,src_mohw_2025_godoksa
충북,2020,98,3.0,src_mohw_2025_godoksa
충북,2021,93,2.8,src_mohw_2025_godoksa
충북,2022,121,3.4,src_mohw_2025_godoksa
충북,2023,167,4.6,src_mohw_2025_godoksa
충북,2024,128,3.3,src_mohw_2025_godoksa
충남,2020,193,5.9,src_mohw_2025_godoksa
충남,2021,175,5.2,src_mohw_2025_godoksa
충남,2022,172,4.8,src_mohw_2025_godoksa
충남,2023,183,5.0,src_mohw_2025_godoksa
충남,2024,171,4.4,src_mohw_2025_godoksa
전북,2020,143,4.3,src_mohw_2025_godoksa
전북,2021,106,3.1,src_mohw_2025_godoksa
전북,2022,102,2.9,src_mohw_2025_godoksa
전북,2023,126,3.4,src_mohw_2025_godoksa
전북,2024,96,2.5,src_mohw_2025_godoksa
전남,2020,114,3.5,src_mohw_2025_godoksa
전남,2021,124,3.7,src_mohw_2025_godoksa
전남,2022,100,2.8,src_mohw_2025_godoksa
전남,2023,120,3.3,src_mohw_2025_godoksa
전남,2024,112,2.8,src_mohw_2025_godoksa
경북,2020,135,4.1,src_mohw_2025_godoksa
경북,2021,180,5.3,src_mohw_2025_godoksa
경북,2022,175,4.9,src_mohw_2025_godoksa
경북,2023,186,5.1,src_mohw_2025_godoksa
경북,2024,162,4.1,src_mohw_2025_godoksa
경남,2020,225,6.9,src_mohw_2025_godoksa
경남,2021,203,6.0,src_mohw_2025_godoksa
경남,2022,257,7.2,src_mohw_2025_godoksa
경남,2023,235,6.4,src_mohw_2025_godoksa
경남,2024,237,6.0,src_mohw_2025_godoksa
제주,2020,27,0.8,src_mohw_2025_godoksa
제주,2021,44,1.3,src_mohw_2025_godoksa
제주,2022,53,1.5,src_mohw_2025_godoksa
제주,2023,51,1.4,src_mohw_2025_godoksa
제주,2024,48,1.2,src_mohw_2025_godoksa
