region,2020,2021,2022,2023,2024,change_2020_2024,pct_change_2020_2024,share_of_national_increase_pct,share_2024_pct,cumulative_increase_share_pct,core_growth_region,growth_type
경기,678,713,749,922,894,216,31.858407079646017,33.48837209302326,22.782874617737004,33.48837209302326,True,large_and_fast
서울,571,619,678,559,784,213,37.3029772329247,33.02325581395349,19.9796126401631,66.51162790697674,True,large_and_fast
대구,125,124,146,183,229,104,83.2,16.124031007751938,5.835881753312946,82.63565891472868,True,large_and_fast
부산,315,329,317,287,367,52,16.507936507936506,8.062015503875969,9.352701325178389,90.69767441860465,False,moderate
강원,98,110,146,156,133,35,35.714285714285715,5.426356589147287,3.3893985728848115,96.12403100775194,False,moderate
충북,98,93,121,167,128,30,30.612244897959183,4.651162790697675,3.2619775739041796,100.7751937984496,False,moderate
경북,135,180,175,186,162,27,20.0,4.186046511627907,4.128440366972478,104.96124031007751,False,moderate
제주,27,44,53,51,48,21,77.77777777777779,3.255813953488372,1.2232415902140672,108.21705426356588,False,small_base_fast_growth
경남,225,203,257,235,237,12,5.333333333333334,1.8604651162790697,6.039755351681957,110.07751937984496,False,moderate
인천,248,248,215,208,260,12,4.838709677419355,1.8604651162790697,6.625891946992865,111.93798449612403,False,moderate
울산,59,58,59,72,68,9,15.254237288135593,1.3953488372093024,1.7329255861365953,113.33333333333333,False,moderate
광주,118,111,117,94,119,1,0.847457627118644,0.15503875968992248,3.032619775739042,113.48837209302324,False,moderate
전남,114,124,100,120,112,-2,-1.7543859649122806,-0.31007751937984496,2.854230377166157,113.1782945736434,False,declining
세종,12,13,11,8,9,-3,-25.0,-0.46511627906976744,0.22935779816513763,112.71317829457364,False,declining
대전,120,128,141,104,107,-13,-10.833333333333334,-2.0155038759689923,2.726809378185525,110.69767441860465,False,declining
충남,193,175,172,183,171,-22,-11.398963730569948,-3.4108527131782944,4.3577981651376145,107.28682170542635,False,declining
전북,143,106,102,126,96,-47,-32.86713286713287,-7.286821705426356,2.4464831804281344,99.99999999999999,False,declining
