godoksa_indicator,comparison_variable,n,pearson_r,p
godoksa_per_100k_total_pop_2024,male_40_64_suicide_rate,17,0.2063971521706729,0.42673504442529975
godoksa_per_100k_total_pop_2024,male_40_64_suicide_rate_change_2020_2024,17,-0.12360104412089072,0.6364829874199718
godoksa_per_100k_total_pop_2024,male_40_64_single_household_rate_pct_2024,17,0.28296333001732266,0.2711112092336807
godoksa_per_100k_total_pop_2024,basic_livelihood_male_40_64_rate_per_1000_2024,17,0.6544622797156255,0.004363925073418587
godoksa_per_100k_total_pop_2024,business_closure_male_40_64_approx_rate_per_1000_2024,17,0.2218544342426493,0.39211187435283357
godoksa_per_100k_total_pop_2024,depression_std_rate_2025,17,0.08500344683976396,0.7456579462446913
godoksa_per_100k_male_40_64_pop_proxy_2024,male_40_64_suicide_rate,17,0.11549379080707264,0.6589206885335003
godoksa_per_100k_male_40_64_pop_proxy_2024,male_40_64_suicide_rate_change_2020_2024,17,-0.13390495128513374,0.6083933960846661
godoksa_per_100k_male_40_64_pop_proxy_2024,male_40_64_single_household_rate_pct_2024,17,0.21441114235796102,0.408589373246409
godoksa_per_100k_male_40_64_pop_proxy_2024,basic_livelihood_male_40_64_rate_per_1000_2024,17,0.6761131155104545,0.0028854938187395244
godoksa_per_100k_male_40_64_pop_proxy_2024,business_closure_male_40_64_approx_rate_per_1000_2024,17,0.2539691310433199,0.32529497953931397
godoksa_per_100k_male_40_64_pop_proxy_2024,depression_std_rate_2025,17,0.09797470867817482,0.7083354350310053
godoksa_pct_change_2020_2024,male_40_64_suicide_rate,17,0.24183966923030828,0.3497032701209576
godoksa_pct_change_2020_2024,male_40_64_suicide_rate_change_2020_2024,17,0.2825049057831768,0.271921852306932
godoksa_pct_change_2020_2024,male_40_64_single_household_rate_pct_2024,17,0.022912970538734756,0.9304430848417247
godoksa_pct_change_2020_2024,basic_livelihood_male_40_64_rate_per_1000_2024,17,0.16475615899197282,0.5274482089371052
godoksa_pct_change_2020_2024,business_closure_male_40_64_approx_rate_per_1000_2024,17,0.4064014369947529,0.10549698498980918
godoksa_pct_change_2020_2024,depression_std_rate_2025,17,-0.09019175313171303,0.7306601365584651
godoksa_excess_pct_vs_expected_2024,male_40_64_suicide_rate,17,0.24183966923030806,0.3497032701209585
godoksa_excess_pct_vs_expected_2024,male_40_64_suicide_rate_change_2020_2024,17,0.28250490578317683,0.271921852306932
godoksa_excess_pct_vs_expected_2024,male_40_64_single_household_rate_pct_2024,17,0.022912970538734725,0.9304430848417247
godoksa_excess_pct_vs_expected_2024,basic_livelihood_male_40_64_rate_per_1000_2024,17,0.1647561589919728,0.5274482089371052
godoksa_excess_pct_vs_expected_2024,business_closure_male_40_64_approx_rate_per_1000_2024,17,0.4064014369947529,0.10549698498980918
godoksa_excess_pct_vs_expected_2024,depression_std_rate_2025,17,-0.09019175313171303,0.7306601365584651
godoksa_excess_per_100k_total_pop_2024,male_40_64_suicide_rate,17,0.027004266127206255,0.9180593770907034
godoksa_excess_per_100k_total_pop_2024,male_40_64_suicide_rate_change_2020_2024,17,0.20527543874260487,0.4293079512354203
godoksa_excess_per_100k_total_pop_2024,male_40_64_single_household_rate_pct_2024,17,-0.13079261479182724,0.6168258223093076
godoksa_excess_per_100k_total_pop_2024,basic_livelihood_male_40_64_rate_per_1000_2024,17,0.011755045062409208,0.9642852950088867
godoksa_excess_per_100k_total_pop_2024,business_closure_male_40_64_approx_rate_per_1000_2024,17,0.2848295345770161,0.2678264776299776
godoksa_excess_per_100k_total_pop_2024,depression_std_rate_2025,17,-0.06389533382567096,0.807518405844508
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,male_40_64_suicide_rate,17,0.021072201532785873,0.936019891433781
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,male_40_64_suicide_rate_change_2020_2024,17,0.1917995101025211,0.46084082377910285
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,male_40_64_single_household_rate_pct_2024,17,-0.1286510310835685,0.6226546259009939
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,basic_livelihood_male_40_64_rate_per_1000_2024,17,0.01105336593040621,0.9664160036524279
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,business_closure_male_40_64_approx_rate_per_1000_2024,17,0.2785663070817732,0.27894772936501544
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,depression_std_rate_2025,17,-0.052706851300573725,0.8407754810961551
