indicator,region,godoksa_per_100k_total_pop_2024,male_40_64_suicide_rate,basic_livelihood_male_40_64_rate_per_1000_2024,male_40_64_single_household_rate_pct_2024,rank,godoksa_per_100k_male_40_64_pop_proxy_2024,godoksa_pct_change_2020_2024,godoksa_excess_pct_vs_expected_2024,godoksa_excess_per_100k_total_pop_2024,godoksa_excess_per_100k_male_40_64_pop_proxy_2024
godoksa_per_100k_total_pop_2024,부산,11.237458979713605,50.00187198404717,61.91789183611225,15.737993448078615,1,,,,,
godoksa_per_100k_total_pop_2024,대구,9.699225037257824,53.03220448270113,57.82307523016724,15.572726226315137,2,,,,,
godoksa_per_100k_total_pop_2024,강원,8.765468674113647,59.60477708831651,42.274185730723055,19.536510505593448,3,,,,,
godoksa_per_100k_total_pop_2024,인천,8.68507993838636,58.7200010803582,46.06984550138255,15.710653082868143,4,,,,,
godoksa_per_100k_total_pop_2024,광주,8.44436295971979,57.8428193127665,59.99454660121862,17.862686257884704,5,,,,,
godoksa_per_100k_total_pop_2024,서울,8.441475580844003,40.59211632094649,45.15682484588033,15.369936595269875,6,,,,,
godoksa_per_100k_total_pop_2024,충북,8.062035732819334,56.33535877033236,36.98414250629983,19.011542248668995,7,,,,,
godoksa_per_100k_total_pop_2024,충남,8.041390675668492,64.81027340049415,31.736249049211697,19.222307725765315,8,,,,,
godoksa_per_100k_male_40_64_pop_proxy_2024,부산,,50.00187198404717,61.91789183611225,15.737993448078615,1,57.55354533306282,,,,
godoksa_per_100k_male_40_64_pop_proxy_2024,대구,,53.03220448270113,57.82307523016724,15.572726226315137,2,48.402544970970126,,,,
godoksa_per_100k_male_40_64_pop_proxy_2024,서울,,40.59211632094649,45.15682484588033,15.369936595269875,3,45.0763313969572,,,,
godoksa_per_100k_male_40_64_pop_proxy_2024,강원,,59.60477708831651,42.274185730723055,19.536510505593448,4,42.841105624704106,,,,
godoksa_per_100k_male_40_64_pop_proxy_2024,광주,,57.8428193127665,59.99454660121862,17.862686257884704,5,42.48854993480341,,,,
godoksa_per_100k_male_40_64_pop_proxy_2024,인천,,58.7200010803582,46.06984550138255,15.710653082868143,6,41.70813687927666,,,,
godoksa_per_100k_male_40_64_pop_proxy_2024,충북,,56.33535877033236,36.98414250629983,19.011542248668995,7,38.97554948794976,,,,
godoksa_per_100k_male_40_64_pop_proxy_2024,충남,,64.81027340049415,31.736249049211697,19.222307725765315,8,38.2122136840952,,,,
godoksa_pct_change_2020_2024,대구,,53.03220448270113,57.82307523016724,15.572726226315137,1,,83.2,,,
godoksa_pct_change_2020_2024,제주,,72.8643794478416,42.77991899330198,17.59586811975206,2,,77.77777777777779,,,
godoksa_pct_change_2020_2024,서울,,40.59211632094649,45.15682484588033,15.369936595269875,3,,37.3029772329247,,,
godoksa_pct_change_2020_2024,강원,,59.60477708831651,42.274185730723055,19.536510505593448,4,,35.714285714285715,,,
godoksa_pct_change_2020_2024,경기,,53.02506825082213,27.16695389618163,15.086507944064332,5,,31.858407079646017,,,
godoksa_pct_change_2020_2024,충북,,56.33535877033236,36.98414250629983,19.011542248668995,6,,30.612244897959183,,,
godoksa_pct_change_2020_2024,경북,,60.98436226001049,46.75698858455486,18.77561569461273,7,,20.0,,,
godoksa_pct_change_2020_2024,부산,,50.00187198404717,61.91789183611225,15.737993448078615,8,,16.507936507936506,,,
godoksa_excess_pct_vs_expected_2024,대구,,53.03220448270113,57.82307523016724,15.572726226315137,1,,,53.0868501529052,,
godoksa_excess_pct_vs_expected_2024,제주,,72.8643794478416,42.77991899330198,17.59586811975206,2,,,48.55589534488617,,
godoksa_excess_pct_vs_expected_2024,서울,,40.59211632094649,45.15682484588033,15.369936595269875,3,,,14.734062779500528,,
godoksa_excess_pct_vs_expected_2024,강원,,59.60477708831651,42.274185730723055,19.536510505593448,4,,,13.406509392747932,,
godoksa_excess_pct_vs_expected_2024,경기,,53.02506825082213,27.16695389618163,15.086507944064332,5,,,10.184433438878521,,
godoksa_excess_pct_vs_expected_2024,충북,,56.33535877033236,36.98414250629983,19.011542248668995,6,,,9.14310678399801,,
godoksa_excess_pct_vs_expected_2024,경북,,60.98436226001049,46.75698858455486,18.77561569461273,7,,,0.27522935779817587,,
godoksa_excess_pct_vs_expected_2024,부산,,50.00187198404717,61.91789183611225,15.737993448078615,8,,,-2.6428328721906604,,
godoksa_excess_per_100k_total_pop_2024,대구,,53.03220448270113,57.82307523016724,15.572726226315137,1,,,,3.3634587532366242,
godoksa_excess_per_100k_total_pop_2024,제주,,72.8643794478416,42.77991899330198,17.59586811975206,2,,,,2.3450180910904037,
godoksa_excess_per_100k_total_pop_2024,서울,,40.59211632094649,45.15682484588033,15.369936595269875,3,,,,1.084047998882496,
godoksa_excess_per_100k_total_pop_2024,강원,,59.60477708831651,42.274185730723055,19.536510505593448,4,,,,1.0362221599147212,
godoksa_excess_per_100k_total_pop_2024,충북,,56.33535877033236,36.98414250629983,19.011542248668995,5,,,,0.6753706740953986,
godoksa_excess_per_100k_total_pop_2024,경기,,53.02506825082213,27.16695389618163,15.086507944064332,6,,,,0.6076552596879207,
godoksa_excess_per_100k_total_pop_2024,경북,,60.98436226001049,46.75698858455486,18.77561569461273,7,,,,0.01753773157539508,
godoksa_excess_per_100k_total_pop_2024,울산,,57.25850698264619,30.45883961614476,15.856855305342282,8,,,,-0.23739841010232432,
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,대구,,53.03220448270113,57.82307523016724,15.572726226315137,1,,,,,16.784842390621115
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,제주,,72.8643794478416,42.77991899330198,17.59586811975206,2,,,,,11.09924152989963
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,서울,,40.59211632094649,45.15682484588033,15.369936595269875,3,,,,,5.788668862434832
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,강원,,59.60477708831651,42.274185730723055,19.536510505593448,4,,,,,5.064521322706632
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,충북,,56.33535877033236,36.98414250629983,19.011542248668995,5,,,,,3.265049176569444
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,경기,,53.02506825082213,27.16695389618163,15.086507944064332,6,,,,,2.920638223021196
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,경북,,60.98436226001049,46.75698858455486,18.77561569461273,7,,,,,0.0834519735343021
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,울산,,57.25850698264619,30.45883961614476,15.856855305342282,8,,,,,-1.0812773785469083
