region,year,godoksa_count,godoksa_share_pct,source_id,male_40_64_suicide_deaths,male_40_64_population_est_from_suicide,male_40_64_suicide_rate,region_raw
서울,2020,571,17.4,src_mohw_2025_godoksa,624.0,1808713.9321674595,34.499651321435564,서울특별시
서울,2021,619,18.3,src_mohw_2025_godoksa,585.0,1794536.1364901597,32.59895346237893,서울특별시
서울,2022,678,19.1,src_mohw_2025_godoksa,597.0,1780069.3477059212,33.538019222081914,서울특별시
서울,2023,559,15.3,src_mohw_2025_godoksa,626.0,1762508.1675355998,35.5175659058247,서울특별시
서울,2024,784,20.0,src_mohw_2025_godoksa,706.0,1739253.9832560725,40.59211632094649,서울특별시
부산,2020,315,9.6,src_mohw_2025_godoksa,323.0,669146.3956471997,48.27045353619424,부산광역시
부산,2021,329,9.7,src_mohw_2025_godoksa,281.0,663707.4414428547,42.337931210945165,부산광역시
부산,2022,317,8.9,src_mohw_2025_godoksa,290.0,657294.3566535767,44.120263176524254,부산광역시
부산,2023,287,7.8,src_mohw_2025_godoksa,351.0,648376.9199171818,54.135178045022606,부산광역시
부산,2024,367,9.4,src_mohw_2025_godoksa,319.0,637976.1143778282,50.00187198404717,부산광역시
대구,2020,125,3.8,src_mohw_2025_godoksa,202.0,484694.34453783307,41.67574932045298,대구광역시
대구,2021,124,3.7,src_mohw_2025_godoksa,229.0,481518.8104239176,47.55785133261854,대구광역시
대구,2022,146,4.1,src_mohw_2025_godoksa,223.0,477234.0049227767,46.72760065286727,대구광역시
대구,2023,183,5.0,src_mohw_2025_godoksa,230.0,478736.17655283306,48.04316265717122,대구광역시
대구,2024,229,5.9,src_mohw_2025_godoksa,251.0,473297.3151849177,53.03220448270113,대구광역시
인천,2020,248,7.6,src_mohw_2025_godoksa,284.0,605803.241685588,46.87990760990283,인천광역시
인천,2021,248,7.3,src_mohw_2025_godoksa,240.0,610682.9147344448,39.30026437768672,인천광역시
인천,2022,215,6.0,src_mohw_2025_godoksa,260.0,617050.9120317465,42.13590725340721,인천광역시
인천,2023,208,5.7,src_mohw_2025_godoksa,325.0,621872.5518112456,52.261512275049874,인천광역시
인천,2024,260,6.6,src_mohw_2025_godoksa,366.0,623296.9912570843,58.7200010803582,인천광역시
광주,2020,118,3.6,src_mohw_2025_godoksa,111.0,279101.5391985339,39.77047217967584,광주광역시
광주,2021,111,3.3,src_mohw_2025_godoksa,138.0,280668.7573937241,49.16827981905112,광주광역시
광주,2022,117,3.3,src_mohw_2025_godoksa,113.0,281451.2916120863,40.14904296681773,광주광역시
광주,2023,94,2.6,src_mohw_2025_godoksa,142.0,281575.7543714794,50.43047840428092,광주광역시
광주,2024,119,3.0,src_mohw_2025_godoksa,162.0,280069.3360467735,57.8428193127665,광주광역시
대전,2020,120,3.6,src_mohw_2025_godoksa,125.0,288020.37809344346,43.399706933044094,대전광역시
대전,2021,128,3.8,src_mohw_2025_godoksa,140.0,287192.9851513046,48.74770876671744,대전광역시
대전,2022,141,4.0,src_mohw_2025_godoksa,110.0,286069.77174066857,38.452157783283205,대전광역시
대전,2023,104,2.8,src_mohw_2025_godoksa,118.0,284693.19652587146,41.44812782320099,대전광역시
대전,2024,107,2.7,src_mohw_2025_godoksa,149.0,282112.02656525606,52.8158979303686,대전광역시
울산,2020,59,1.8,src_mohw_2025_godoksa,119.0,244875.47071717677,48.596129147390656,울산광역시
울산,2021,58,1.7,src_mohw_2025_godoksa,134.0,244927.4532195354,54.71007771427404,울산광역시
울산,2022,59,1.7,src_mohw_2025_godoksa,104.0,244416.319625389,42.55035022186664,울산광역시
울산,2023,72,2.0,src_mohw_2025_godoksa,153.0,243256.16824910016,62.89665791468208,울산광역시
울산,2024,68,1.7,src_mohw_2025_godoksa,138.0,241012.2220647926,57.25850698264619,울산광역시
세종,2020,12,0.4,src_mohw_2025_godoksa,19.0,65278.9118950285,29.105877301620588,세종특별자치시
세종,2021,13,0.4,src_mohw_2025_godoksa,23.0,59090.91718404752,38.92307159214174,세종특별자치시
세종,2022,11,0.3,src_mohw_2025_godoksa,27.0,73731.58048354115,36.6193153909499,세종특별자치시
세종,2023,8,0.2,src_mohw_2025_godoksa,19.0,76178.44708134998,24.94143780551229,세종특별자치시
세종,2024,9,0.2,src_mohw_2025_godoksa,28.0,77650.08084738652,36.05920263628728,세종특별자치시
