age_band,profile,weighted_share,n
40 - 44세,lower_observed_risk,0.4677086050372645,1078
40 - 44세,alcohol_only,0.2804567745158592,705
40 - 44세,psych_only,0.0690310610655748,163
40 - 44세,low_income_only,0.06005211963744166,161
40 - 44세,depression_alcohol,0.052732555396990004,125
40 - 44세,psych_low_income,0.0319217245266359,85
40 - 44세,low_self_esteem_alcohol,0.02079778737563175,41
40 - 44세,compound_psych_alcohol_low_income,0.01729937244460222,42
45 - 49세,lower_observed_risk,0.42301856637916246,1183
45 - 49세,alcohol_only,0.2759644320182639,775
45 - 49세,psych_only,0.09837979114353217,260
45 - 49세,low_income_only,0.07519620881435173,246
45 - 49세,depression_alcohol,0.05273395393412469,144
45 - 49세,psych_low_income,0.03771279537383292,109
45 - 49세,low_self_esteem_alcohol,0.021999544771126017,65
45 - 49세,compound_psych_alcohol_low_income,0.014994707565606002,52
50 - 54세,lower_observed_risk,0.4348660021159723,1266
50 - 54세,alcohol_only,0.26173729957318187,777
50 - 54세,psych_only,0.09060602207407631,272
50 - 54세,low_income_only,0.06960403956812483,255
50 - 54세,psych_low_income,0.054320641392261566,174
50 - 54세,depression_alcohol,0.04509710009487105,127
50 - 54세,compound_psych_alcohol_low_income,0.02444998466868765,83
50 - 54세,low_self_esteem_alcohol,0.019318910512824288,64
55 - 59세,lower_observed_risk,0.4080929465237385,1032
55 - 59세,alcohol_only,0.228899733936577,603
55 - 59세,psych_only,0.10182363183442635,238
55 - 59세,low_income_only,0.09145042692639861,274
55 - 59세,psych_low_income,0.05931193054653981,201
55 - 59세,depression_alcohol,0.05014051000805717,121
55 - 59세,compound_psych_alcohol_low_income,0.030282803852906038,101
55 - 59세,low_self_esteem_alcohol,0.029998016371356472,69
60 - 64세,lower_observed_risk,0.369032476432265,1051
60 - 64세,alcohol_only,0.20729615267526016,595
60 - 64세,psych_only,0.10899296804553837,297
60 - 64세,low_income_only,0.10579550824538195,376
60 - 64세,psych_low_income,0.09857756214030533,312
60 - 64세,compound_psych_alcohol_low_income,0.049344803104600383,137
60 - 64세,depression_alcohol,0.041085633853267765,111
60 - 64세,low_self_esteem_alcohol,0.019874895503381063,57
