survey_year,age_band,profile,n,weighted_share
2019,40 - 44세,alcohol_only,122,0.30651193173643404
2019,40 - 44세,compound_psych_alcohol_low_income,6,0.016996158764943797
2019,40 - 44세,depression_alcohol,18,0.050538411576786464
2019,40 - 44세,low_income_only,36,0.07558880013313933
2019,40 - 44세,low_self_esteem_alcohol,7,0.02821711799857171
2019,40 - 44세,lower_observed_risk,179,0.4428335208886945
2019,40 - 44세,psych_low_income,13,0.025666192780997066
2019,40 - 44세,psych_only,24,0.053647866120433194
2019,45 - 49세,alcohol_only,135,0.2803507520760313
2019,45 - 49세,compound_psych_alcohol_low_income,11,0.020763118183780266
2019,45 - 49세,depression_alcohol,24,0.05683824096960767
2019,45 - 49세,low_income_only,51,0.07684322952084605
2019,45 - 49세,low_self_esteem_alcohol,15,0.02459851210547337
2019,45 - 49세,lower_observed_risk,195,0.4077241940289602
2019,45 - 49세,psych_low_income,28,0.0517350584729853
2019,45 - 49세,psych_only,37,0.08114689464231598
2019,50 - 54세,alcohol_only,121,0.294703757385149
2019,50 - 54세,compound_psych_alcohol_low_income,16,0.03288163903280847
2019,50 - 54세,depression_alcohol,18,0.04455995332746673
2019,50 - 54세,low_income_only,43,0.05467625878024604
2019,50 - 54세,low_self_esteem_alcohol,5,0.0072589489083125965
2019,50 - 54세,lower_observed_risk,170,0.4489120386133945
2019,50 - 54세,psych_low_income,33,0.04761122841100237
2019,50 - 54세,psych_only,30,0.06939617554162039
2019,55 - 59세,alcohol_only,84,0.22481128503286002
2019,55 - 59세,compound_psych_alcohol_low_income,19,0.03206448583821611
2019,55 - 59세,depression_alcohol,23,0.06720147784871423
2019,55 - 59세,low_income_only,42,0.08368571053752476
2019,55 - 59세,low_self_esteem_alcohol,12,0.032348867050459175
2019,55 - 59세,lower_observed_risk,148,0.386143422618076
2019,55 - 59세,psych_low_income,44,0.07000462847173966
2019,55 - 59세,psych_only,37,0.10374012260241
2019,60 - 64세,alcohol_only,85,0.21153257944292475
2019,60 - 64세,compound_psych_alcohol_low_income,26,0.0642825912781097
2019,60 - 64세,depression_alcohol,11,0.03075706607054902
2019,60 - 64세,low_income_only,64,0.11616065371881452
2019,60 - 64세,low_self_esteem_alcohol,8,0.02004819184121047
2019,60 - 64세,lower_observed_risk,142,0.3729424292119158
2019,60 - 64세,psych_low_income,43,0.0976783500985593
2019,60 - 64세,psych_only,32,0.08659813833791645
2020,40 - 44세,alcohol_only,121,0.3315699260032582
2020,40 - 44세,compound_psych_alcohol_low_income,9,0.026134624300551915
2020,40 - 44세,depression_alcohol,17,0.03918160102851365
2020,40 - 44세,low_income_only,24,0.04819683868847946
2020,40 - 44세,low_self_esteem_alcohol,5,0.014838358728638503
2020,40 - 44세,lower_observed_risk,148,0.4138980284446993
2020,40 - 44세,psych_low_income,16,0.04466051690815636
2020,40 - 44세,psych_only,29,0.08152010589770262
2020,45 - 49세,alcohol_only,120,0.26339661624707267
2020,45 - 49세,compound_psych_alcohol_low_income,13,0.019916690180403332
2020,45 - 49세,depression_alcohol,19,0.041687301339156484
2020,45 - 49세,low_income_only,51,0.09434244569305937
2020,45 - 49세,low_self_esteem_alcohol,16,0.027377048343719304
2020,45 - 49세,lower_observed_risk,190,0.41607342548392307
2020,45 - 49세,psych_low_income,18,0.038535356705121405
2020,45 - 49세,psych_only,43,0.09867111600754434
2020,50 - 54세,alcohol_only,119,0.2696390970264733
2020,50 - 54세,compound_psych_alcohol_low_income,18,0.037829546651561616
2020,50 - 54세,depression_alcohol,23,0.05348230497646358
2020,50 - 54세,low_income_only,26,0.030650105642271535
2020,50 - 54세,low_self_esteem_alcohol,14,0.030285977285697502
2020,50 - 54세,lower_observed_risk,194,0.4444283791174669
2020,50 - 54세,psych_low_income,37,0.05751497676265995
2020,50 - 54세,psych_only,34,0.07616961253740548
2020,55 - 59세,alcohol_only,92,0.23338377891609957
2020,55 - 59세,compound_psych_alcohol_low_income,20,0.03887607306313851
2020,55 - 59세,depression_alcohol,12,0.044015250847536554
2020,55 - 59세,low_income_only,35,0.06613208889995405
2020,55 - 59세,low_self_esteem_alcohol,12,0.030152465887358586
2020,55 - 59세,lower_observed_risk,144,0.42905103698538694
2020,55 - 59세,psych_low_income,23,0.04042741728011031
2020,55 - 59세,psych_only,40,0.11796188812041547
2020,60 - 64세,alcohol_only,85,0.21340307286007829
2020,60 - 64세,compound_psych_alcohol_low_income,25,0.057936283671101006
2020,60 - 64세,depression_alcohol,17,0.04187398290065636
2020,60 - 64세,low_income_only,51,0.10579563658401524
2020,60 - 64세,low_self_esteem_alcohol,13,0.026078865364208968
2020,60 - 64세,lower_observed_risk,142,0.3583336532253968
2020,60 - 64세,psych_low_income,54,0.10785871803864619
2020,60 - 64세,psych_only,33,0.08871978735589715
2021,40 - 44세,alcohol_only,124,0.27249391824057656
2021,40 - 44세,compound_psych_alcohol_low_income,5,0.013735422673630726
2021,40 - 44세,depression_alcohol,22,0.0443769116338184
2021,40 - 44세,low_income_only,33,0.06824046619231282
2021,40 - 44세,low_self_esteem_alcohol,5,0.0217375571213978
2021,40 - 44세,lower_observed_risk,215,0.4707402081612207
2021,40 - 44세,psych_low_income,17,0.04008318044614461
2021,40 - 44세,psych_only,34,0.06859233553089845
2021,45 - 49세,alcohol_only,141,0.27331914770950366
2021,45 - 49세,compound_psych_alcohol_low_income,9,0.01681841631808994
2021,45 - 49세,depression_alcohol,26,0.04976750835573686
2021,45 - 49세,low_income_only,49,0.08066175476991883
2021,45 - 49세,low_self_esteem_alcohol,9,0.014341419445543362
