type,variable,pearson_r,spearman_r,permutation_p,n_cells
profile_share,psych_only,0.38160401955943607,0.41045606229143494,0.03779244151169766,30
flag_or_mean,psych_any_share,0.3701986065725507,0.40778642936596216,0.049590081983603276,30
flag_or_mean,depression_high_share,0.3697406110901071,0.46607341490545046,0.04899020195960808,30
flag_or_mean,SELF_ESTEEM_mean,-0.3689241398391082,-0.4197997775305895,0.04479104179164167,30
profile_share,low_income_only,0.3529090344032448,0.3886540600667408,0.05538892221555689,30
profile_share,alcohol_only,-0.34236635855342146,-0.3539488320355951,0.07018596280743851,30
profile_share,lower_observed_risk,-0.3264159971594061,-0.28097886540600664,0.07918416316736653,30
flag_or_mean,self_esteem_low_share,0.323427532531498,0.4122358175750834,0.08018396320735853,30
flag_or_mean,low_income_share,0.28608871333327285,0.3797552836484983,0.1231753649270146,30
flag_or_mean,CES_D_mean,0.2670901210231146,0.38242491657397104,0.15656868626274745,30
flag_or_mean,income_mean,0.2552541877272911,0.31123470522803115,0.16736652669466107,30
flag_or_mean,compound_psych_low_income_share,0.24397353135837294,0.2827586206896551,0.19356128774245152,30
profile_share,compound_psych_alcohol_low_income,0.2403975052038466,0.2342602892102336,0.19376124775044992,30
flag_or_mean,triple_psych_alcohol_low_income_share,0.24039750520384653,0.2342602892102336,0.19376124775044992,30
profile_share,psych_low_income,0.22850096273793766,0.3125695216907675,0.21735652869426114,30
flag_or_mean,compound_psych_alcohol_share,0.18500278037451728,0.2649610678531702,0.3245350929814037,30
flag_or_mean,AUDIT_mean,0.16072309298844867,0.071412680756396,0.3987202559488102,30
flag_or_mean,high_risk_drinking_share,-0.025994337666838535,-0.09588431590656285,0.8930213957208558,30
profile_share,depression_alcohol,-0.01746399574642918,-0.04382647385984427,0.9336132773445311,30
flag_or_mean,problem_drinking_share,0.015544600138069818,0.018909899888765295,0.9352129574085183,30
profile_share,low_self_esteem_alcohol,-0.003917143123816661,-0.010011123470522802,0.9824035192961408,30
