keyword,rank,org_id,tbl_id,table_name,stat_name,org_name,start_period,end_period,vw_cd,list_id,official_url
1인가구,1,101,DT_1PL1509,"성, 연령 및 거처의 종류별 1인가구 - 시군구",인구총조사,국가데이터처,2015,2024,MT_ZTITLE,A12_2015_1_10_30,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1PL1509&conn_path=I2
1인가구,2,101,DT_1PL1501,성 및 거처의 종류별 1인가구 - 시군구,인구총조사,국가데이터처,2015,2024,MT_ZTITLE,A12_2015_1_10_30,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1PL1501&conn_path=I2
1인가구,3,101,DT_1PL1502,성 및 연령별 1인가구 - 시군구,인구총조사,국가데이터처,2015,2024,MT_ZTITLE,A12_2015_1_10_30,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1PL1502&conn_path=I2
1인가구,4,101,DT_1ES4I001S,1인 취업가구 현황,지역별고용조사,국가데이터처,2015,2025,MT_ZTITLE,B19_B19_EQ3,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1ES4I001S&conn_path=I2
1인가구,5,101,DT_1ES4I007S,시도별 1인 취업가구,지역별고용조사,국가데이터처,2015,2025,MT_ZTITLE,B19_B19_EQ3,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1ES4I007S&conn_path=I2
1인가구,6,101,DT_1OH0427,(1인가구)거주지역/가구주의 성/연령대별 주택소유 가구수,주택소유통계,국가데이터처,2015,2024,MT_ZTITLE,H2_OH_200_001,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1OH0427&conn_path=I2
1인가구,7,101,DT_1ES4I013S,성별 1인가구 평균취업시간,지역별고용조사,국가데이터처,2015,2025,MT_ZTITLE,B19_B19_EQ3,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1ES4I013S&conn_path=I2
1인가구,8,101,DT_1PL2011,"현 거주지, 성, 연령 및 1년 전 거주지별 1인가구(1세이상) - 시군구",인구총조사,국가데이터처,2020,2024,MT_ZTITLE,A12_2015_1_10_30,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1PL2011&conn_path=I2
1인가구,9,154,DT_154001_24AA011000,1인가구 생활 만족도,가족실태조사,성평등가족부,2023,2023,MT_ZTITLE,B_1_002_009,https://kosis.kr/statHtml/statHtml.do?orgId=154&tblId=DT_154001_24AA011000&conn_path=I2
1인가구,10,154,DT_154001_24AA011400,1인 가구 지원 정책,가족실태조사,성평등가족부,2023,2023,MT_ZTITLE,B_1_002_009,https://kosis.kr/statHtml/statHtml.do?orgId=154&tblId=DT_154001_24AA011400&conn_path=I2
1인가구,11,405,DT_405001_H159,단독가입상품 약정기간,한국미디어패널조사,정보통신정책연구원,2021,2025,MT_ZTITLE,N1_34_001_001_003_001,https://kosis.kr/statHtml/statHtml.do?orgId=405&tblId=DT_405001_H159&conn_path=I2
1인가구,12,405,DT_405001_H157,단독가입상품 약정상태,한국미디어패널조사,정보통신정책연구원,2021,2025,MT_ZTITLE,N1_34_001_001_003_001,https://kosis.kr/statHtml/statHtml.do?orgId=405&tblId=DT_405001_H157&conn_path=I2
1인가구,13,405,DT_405001_H160,단독가입상품 월평균 이용금액,한국미디어패널조사,정보통신정책연구원,2021,2025,MT_ZTITLE,N1_34_001_001_003_001,https://kosis.kr/statHtml/statHtml.do?orgId=405&tblId=DT_405001_H160&conn_path=I2
