region,year,age,deaths,rate,age_population_est
강원도,1996,40 - 44세,27.0,50.6,53359.68379446641
강원도,1996,45 - 49세,21.0,57.7,36395.14731369151
강원도,1996,50 - 54세,17.0,42.7,39812.646370023416
강원도,1996,55 - 59세,22.0,54.5,40366.97247706422
강원도,1996,60 - 64세,13.0,48.5,26804.123711340206
강원도,1997,40 - 44세,25.0,43.2,57870.37037037037
강원도,1997,45 - 49세,19.0,51.4,36964.980544747086
강원도,1997,50 - 54세,21.0,54.7,38391.22486288848
강원도,1997,55 - 59세,14.0,34.2,40935.67251461988
강원도,1997,60 - 64세,12.0,40.3,29776.674937965265
강원도,1998,40 - 44세,35.0,56.6,61837.45583038869
강원도,1998,45 - 49세,30.0,76.8,39062.5
강원도,1998,50 - 54세,35.0,93.0,37634.408602150535
강원도,1998,55 - 59세,29.0,70.5,41134.75177304964
강원도,1998,60 - 64세,27.0,83.0,32530.12048192771
강원도,1999,40 - 44세,39.0,59.4,65656.56565656565
강원도,1999,45 - 49세,28.0,67.0,41791.0447761194
강원도,1999,50 - 54세,14.0,37.6,37234.04255319149
강원도,1999,55 - 59세,18.0,44.7,40268.45637583893
강원도,1999,60 - 64세,21.0,60.0,35000.0
강원도,2000,40 - 44세,24.0,35.1,68376.06837606838
강원도,2000,45 - 49세,16.0,34.3,46647.23032069971
강원도,2000,50 - 54세,17.0,46.4,36637.93103448276
강원도,2000,55 - 59세,25.0,63.9,39123.63067292645
강원도,2000,60 - 64세,18.0,49.1,36659.87780040733
강원도,2001,40 - 44세,32.0,45.1,70953.43680709534
강원도,2001,45 - 49세,27.0,51.5,52427.18446601942
강원도,2001,50 - 54세,22.0,61.9,35541.19547657512
강원도,2001,55 - 59세,22.0,58.0,37931.034482758616
강원도,2001,60 - 64세,34.0,90.5,37569.06077348066
강원도,2002,40 - 44세,39.0,54.2,71955.71955719557
강원도,2002,45 - 49세,37.0,65.0,56923.07692307692
강원도,2002,50 - 54세,34.0,94.0,36170.21276595745
강원도,2002,55 - 59세,22.0,60.0,36666.666666666664
강원도,2002,60 - 64세,21.0,54.6,38461.53846153846
강원도,2003,40 - 44세,46.0,64.8,70987.65432098765
강원도,2003,45 - 49세,36.0,59.7,60301.507537688434
강원도,2003,50 - 54세,26.0,68.1,38179.148311306904
강원도,2003,55 - 59세,37.0,102.9,35957.24003887269
강원도,2003,60 - 64세,48.0,124.0,38709.67741935484
강원도,2004,40 - 44세,43.0,62.1,69243.15619967793
강원도,2004,45 - 49세,43.0,67.4,63798.21958456973
강원도,2004,50 - 54세,32.0,78.5,40764.331210191085
강원도,2004,55 - 59세,30.0,84.1,35671.8192627824
강원도,2004,60 - 64세,33.0,87.1,37887.48564867968
강원도,2005,40 - 44세,43.0,64.3,66874.02799377916
강원도,2005,45 - 49세,39.0,58.7,66439.52299829642
강원도,2005,50 - 54세,29.0,63.8,45454.545454545456
강원도,2005,55 - 59세,32.0,90.8,35242.29074889868
강원도,2005,60 - 64세,40.0,108.5,36866.35944700461
강원도,2006,40 - 44세,30.0,46.5,64516.12903225806
강원도,2006,45 - 49세,46.0,66.8,68862.2754491018
강원도,2006,50 - 54세,35.0,68.3,51244.50951683749
강원도,2006,55 - 59세,25.0,72.8,34340.65934065934
강원도,2006,60 - 64세,32.0,89.2,35874.439461883405
강원도,2007,40 - 44세,29.0,46.1,62906.72451193058
강원도,2007,45 - 49세,42.0,59.9,70116.86143572621
강원도,2007,50 - 54세,33.0,59.2,55743.24324324325
강원도,2007,55 - 59세,37.0,104.9,35271.68732125834
강원도,2007,60 - 64세,35.0,99.8,35070.14028056112
강원도,2008,40 - 44세,25.0,39.7,62972.292191435765
강원도,2008,45 - 49세,29.0,41.5,69879.51807228915
강원도,2008,50 - 54세,45.0,75.4,59681.69761273209
강원도,2008,55 - 59세,26.0,69.2,37572.25433526011
강원도,2008,60 - 64세,25.0,71.6,34916.201117318444
강원도,2009,40 - 44세,28.0,43.4,64516.12903225806
강원도,2009,45 - 49세,42.0,61.0,68852.45901639345
강원도,2009,50 - 54세,53.0,83.2,63701.92307692307
강원도,2009,55 - 59세,37.0,91.4,40481.40043763676
강원도,2009,60 - 64세,33.0,94.1,35069.075451647186
강원도,2010,40 - 44세,32.0,48.7,65708.41889117043
강원도,2010,45 - 49세,52.0,77.7,66924.06692406692
강원도,2010,50 - 54세,48.0,72.1,66574.2024965326
강원도,2010,55 - 59세,37.0,81.6,45343.137254901965
강원도,2010,60 - 64세,39.0,111.9,34852.546916890074
강원도,2011,40 - 44세,39.0,58.6,66552.9010238908
강원도,2011,45 - 49세,48.0,73.8,65040.650406504064
강원도,2011,50 - 54세,51.0,73.6,69293.47826086957
강원도,2011,55 - 59세,42.0,81.9,51282.051282051274
강원도,2011,60 - 64세,40.0,117.0,34188.03418803419
강원도,2012,40 - 44세,24.0,35.8,67039.1061452514
강원도,2012,45 - 49세,43.0,67.7,63515.509601181686
강원도,2012,50 - 54세,41.0,57.9,70811.74438687392
강원도,2012,55 - 59세,32.0,57.2,55944.05594405594
강원도,2012,60 - 64세,39.0,110.6,35262.2061482821
강원도,2013,40 - 44세,38.0,57.0,66666.66666666666
강원도,2013,45 - 49세,36.0,56.6,63604.24028268551
강원도,2013,50 - 54세,41.0,58.0,70689.6551724138
강원도,2013,55 - 59세,40.0,66.8,59880.239520958086
강원도,2013,60 - 64세,38.0,100.8,37698.4126984127
강원도,2014,40 - 44세,46.0,70.5,65248.22695035461
강원도,2014,45 - 49세,41.0,63.0,65079.36507936508
강원도,2014,50 - 54세,39.0,56.0,69642.85714285714
강원도,2014,55 - 59세,52.0,81.5,63803.68098159509
강원도,2014,60 - 64세,29.0,71.2,40730.33707865168
강원도,2015,40 - 44세,34.0,53.7,63314.7113594041
강원도,2015,45 - 49세,47.0,70.9,66290.55007052186
강원도,2015,50 - 54세,45.0,66.4,67771.0843373494
강원도,2015,55 - 59세,51.0,76.2,66929.13385826771
강원도,2015,60 - 64세,34.0,74.4,45698.92473118279
강원도,2016,40 - 44세,27.0,44.5,60674.15730337079
강원도,2016,45 - 49세,37.0,55.2,67028.98550724637
강원도,2016,50 - 54세,51.0,77.3,65976.71410090556
강원도,2016,55 - 59세,40.0,57.2,69930.06993006992
강원도,2016,60 - 64세,35.0,67.5,51851.85185185185
강원도,2017,40 - 44세,19.0,32.8,57926.82926829269
강원도,2017,45 - 49세,33.0,48.9,67484.66257668711
강원도,2017,50 - 54세,34.0,52.7,64516.12903225806
강원도,2017,55 - 59세,49.0,68.2,71847.50733137829
강원도,2017,60 - 64세,39.0,68.7,56768.55895196507
강원도,2018,40 - 44세,42.0,76.5,54901.96078431373
강원도,2018,45 - 49세,30.0,44.7,67114.09395973153
강원도,2018,50 - 54세,35.0,54.2,64575.645756457554
강원도,2018,55 - 59세,38.0,52.8,71969.69696969698
강원도,2018,60 - 64세,29.0,47.6,60924.36974789915
강원도,2019,40 - 44세,25.0,47.7,52410.90146750523
강원도,2019,45 - 49세,41.0,62.4,65705.1282051282
강원도,2019,50 - 54세,37.0,56.1,65953.6541889483
강원도,2019,55 - 59세,53.0,74.7,70950.46854082998
강원도,2019,60 - 64세,35.0,53.8,65055.762081784385
강원도,2020,40 - 44세,25.0,48.5,51546.391752577314
강원도,2020,45 - 49세,38.0,59.6,63758.38926174496
강원도,2020,50 - 54세,34.0,50.6,67193.67588932806
강원도,2020,55 - 59세,38.0,54.8,69343.06569343066
강원도,2020,60 - 64세,36.0,52.5,68571.42857142857
강원도,2021,40 - 44세,29.0,56.1,51693.40463458111
강원도,2021,45 - 49세,35.0,57.2,61188.81118881119
강원도,2021,50 - 54세,27.0,39.5,68354.43037974683
강원도,2021,55 - 59세,35.0,51.8,67567.56756756756
강원도,2021,60 - 64세,35.0,48.7,71868.58316221766
강원도,2022,40 - 44세,20.0,38.4,52083.333333333336
강원도,2022,45 - 49세,41.0,70.2,58404.558404558404
강원도,2022,50 - 54세,36.0,52.3,68833.65200764818
강원도,2022,55 - 59세,43.0,65.0,66153.84615384616
강원도,2022,60 - 64세,44.0,59.4,74074.07407407409
강원도,2023,40 - 44세,25.0,48.0,52083.333333333336
강원도,2023,45 - 49세,27.0,48.7,55441.47843942505
강원도,2023,50 - 54세,40.0,58.6,68259.385665529
강원도,2023,55 - 59세,39.0,58.9,66213.92190152801
강원도,2023,60 - 64세,40.0,54.0,74074.07407407407
강원도,2024,40 - 44세,26.0,51.4,50583.65758754864
강원도,2024,45 - 49세,32.0,60.5,52892.561983471074
