year,category,group,no_help_sick_housework_pct,no_help_money_pct,no_depressed_talk_pct,help_sick_avg_persons,help_money_avg_persons,depressed_talk_avg_persons
2025,전체,계,24.86,48.584,21.205,2.269,2.206,2.8
2025,성별,남자,26.548,49.332,24.629,2.36,2.317,2.831
2025,세대구분,1인가구,31.122,54.402,26.494,2.284,2.204,2.798
2025,가구원수,1인,31.122,54.402,26.494,2.284,2.204,2.798
2025,연령,40∼49세,22.666,40.456,17.967,2.207,2.037,2.603
2025,연령,50∼59세,29.12,51.439,22.158,2.153,1.938,2.521
2025,연령,60∼64세,29.227,59.045,25.117,2.089,1.998,2.454
2025,연령*성별,40∼49세*남자,24.703,41.522,21.523,2.258,2.103,2.627
2025,연령*성별,50∼59세*남자,30.83,51.85,25.983,2.212,1.985,2.451
2025,연령*성별,60세 이상*남자,28.949,63.439,31.305,2.047,1.935,2.278
