paper_role,org_id,tbl_id,title,org_name,stat_name,unit,period_start_y,period_end_y,period_start_m,period_end_m,period_start_q,period_end_q,renewal_date,class_axes,item_count,items_preview,downloadable,analyzable,why_use,parse_status,official_url,error
outcome_suicide,101,DT_1B34E01,"사망원인(104항목)/성/연령(5세)별 사망자수, 사망률",국가데이터처,"「사망원인통계」, 국가데이터처",,1983,2024,,,,,2025-09-25,사망원인별(104항목) | 성별 | 연령(5세)별,2,사망자수 | 사망률,True,True,national sex-age suicide deaths/rates,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1B34E01&conn_path=I2,
outcome_suicide_region,101,DT_1B34E11,"시도/사망원인(104항목)/성/연령(5세)별/ 사망자수, 사망률(1996~)",국가데이터처,"「사망원인통계」, 국가데이터처",,1996,2024,,,,,2025-09-25,사망원인별(104항목) | 시도별 | 연령 | 성별,2,사망자수 | 사망률,True,True,province sex-age suicide deaths/rates,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1B34E11&conn_path=I2,
outcome_suicide_city,101,DT_1B34E13,"시군구/사망원인(50항목)/성/ 사망자수, 사망률, 연령표준화 사망률(1998~)",국가데이터처,"「사망원인통계」, 국가데이터처",,1998,2024,,,,,2025-09-25,사망원인별(50항목) | 시군구별 | 성별,3,사망자수 | 사망률 | 연령표준화 사망률,True,True,city-county sex suicide rates without age,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1B34E13&conn_path=I2,
outcome_suicide_recent,101,DT_1B34E17,성/월별 특정 사망원인(고의적 자해) 사망자 수,국가데이터처,"「사망원인통계」, 국가데이터처",명,,,201901,202603,,,2026-05-27,성별,1,사망자 수,True,True,monthly suicide deaths by sex,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1B34E17&conn_path=I2,
outcome_suicide_recent,101,DT_1B34E18,성/연령별 특정 사망원인(고의적 자해) 사망자 수(분기별),국가데이터처,"「사망원인통계」, 국가데이터처",명,,,,,202201,202601,2026-05-27,성별 | 연령별,1,잠정 사망자 수(명),True,True,quarterly suicide deaths by sex-age,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1B34E18&conn_path=I2,
outcome_suicide_recent,101,DT_1B34E19,시도별 특정 사망원인(고의적 자해) 사망자 수(분기별),국가데이터처,"「사망원인통계」, 국가데이터처",명,,,,,202201,202601,2026-05-27,시도별,1,잠정 사망자 수(명),True,True,quarterly suicide deaths by province,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1B34E19&conn_path=I2,
exposure_single_household,101,DT_1PL1502,성 및 연령별 1인가구 - 시군구,국가데이터처,"「인구총조사」, 국가데이터처",가구,2015,2024,,,,,2025-07-29,행정구역별(시군구) | 연령별,3,1인가구 | 남자 | 여자,True,True,one-person households by sex-age-city,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1PL1502&conn_path=I2,
exposure_single_household,101,DT_1PL1509,"성, 연령 및 거처의 종류별 1인가구 - 시군구",국가데이터처,"「인구총조사」, 국가데이터처",,2015,2024,,,,,2025-07-29,행정구역별(시군구) | 성별 | 연령,8,1인가구 | 주택_계 | 주택_단독주택 | 주택_아파트 | 주택_연립주택 | 주택_다세대 주택 | 주택_비주거용 건물 내 주택 | 주택 이외의 거처_계,True,True,one-person households by sex-age-dwelling-city,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1PL1509&conn_path=I2,
exposure_single_household_labor,101,DT_1ES4I001S,1인 취업가구 현황,국가데이터처,"「지역별고용조사」, 국가데이터처",,2015,2025,,,,,2026-06-18,구분,2,가구수 | 비율,True,True,employed one-person households,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1ES4I001S&conn_path=I2,
exposure_single_household_labor,101,DT_1ES4I007S,시도별 1인 취업가구,국가데이터처,"「지역별고용조사」, 국가데이터처",,2015,2025,,,,,2026-06-18,시도별,3,1인가구 | 취업가구 | 비율,True,True,employed one-person households by province,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1ES4I007S&conn_path=I2,
exposure_assets,101,DT_1OH0427,(1인가구)거주지역/가구주의 성/연령대별 주택소유 가구수,국가데이터처,"「주택소유통계」, 국가데이터처",가구,2015,2024,,,,,2025-11-14,거주지역별 | 성별 | 연령대별,1,주택소유가구,True,True,one-person household home ownership by sex-age-region,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1OH0427&conn_path=I2,
mediator_social_network,101,DT_1SSSP041R,사회적 관계망 (13세 이상 인구) ,국가데이터처,"「사회조사」, 국가데이터처",%,,,,,,,2025-11-11,행정구역별 | 특성별,10,계 | 몸이 아파 집안일을 부탁할 경우 - 도움을 받을 수 있는 사람 있음 | 몸이 아파 집안일을 부탁할 경우 - 도움을 받을 수 있는 사람 없음 | 몸이 아파 집안일을 부탁할 경우 도움을 받을 수 있는 인원(평균) | 갑자기 많은 돈을 빌려야 할 경우 - 도움을 받을 수 있는 사람 있음 | 갑자기 많은 돈을 빌려야 할경우 - 도움을 받을 수 있는 사람 없음 | 갑자기 많은 돈을 빌려야 할 경우 도움을 받을 수 있는 인원(평균) | 낙심하거나 우울해서 이야기 상대가 필요한 경우 - 도움을 받을 수 있는 사람 있음 | 낙심하거나 우울해서 이야기 상대가 필요한 경우 - 도움을 받을 수 있는 사람 없음 | 낙심하거나 우울해서 이야기 상대가 필요한 경우 도움을 받을 수 있는 인원(평균),True,True,social network availability,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1SSSP041R&conn_path=I2,
mediator_social_network,101,DT_1SSSP045R,사회적 관계망-일 평균 교류현황 (13세 이상 인구),국가데이터처,"「사회조사」, 국가데이터처",%,,,,,,,2025-11-11,행정구역별 | 특성별,7,계 | 가족 또는 친척 - 교류하는 사람 있음 | 가족 또는 친척 - 교류하는 사람 없음 | 가족 또는 친척 - 인원(평균) | 가족 또는 친척 이외 - 교류하는 사람 있음 | 가족 또는 친척 이외 - 교류하는 사람 없음 | 가족 또는 친척 이외 - 인원(평균),True,True,daily social interaction,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1SSSP045R&conn_path=I2,
mediator_social_network_change,101,DT_1SSCV031R,"사회적 관계망 변화(가족, 13세 이상 인구)",국가데이터처,"「사회조사」, 국가데이터처",%,,,,,,,2021-11-17,행정구역별 | 특성별,6,계 | 소계 (가족) | - 관계가 가까워짐 | - 변화 없음 | - 관계가 멀어짐 | 해당 없음,True,True,change in family network,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1SSCV031R&conn_path=I2,
mediator_social_network_change,101,DT_1SSCV032R,"사회적 관계망 변화(가족 외 친인척, 13세 이상 인구)",국가데이터처,"「사회조사」, 국가데이터처",%,,,,,,,2021-11-17,행정구역별 | 특성별,6,계 | 소계 (가족 외 친인척) | - 관계가 가까워짐 | - 변화 없음 | - 관계가 멀어짐 | 해당 없음,True,True,change in non-family relatives network,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1SSCV032R&conn_path=I2,
mediator_social_network_change,101,DT_1SSCV033R,"사회적 관계망 변화(이웃, 13세 이상 인구)",국가데이터처,"「사회조사」, 국가데이터처",%,,,,,,,2021-11-17,행정구역별 | 특성별,6,계 | 소계 (이웃) | - 관계가 가까워짐 | - 변화 없음 | - 관계가 멀어짐 | 해당 없음,True,True,change in neighbor network,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1SSCV033R&conn_path=I2,
mediator_social_network_change,101,DT_1SSCV034R,"사회적 관계망 변화(절친한 친구, 13세 이상 인구)",국가데이터처,"「사회조사」, 국가데이터처",%,,,,,,,2021-11-17,행정구역별 | 특성별,6,계 | 소계 (절친한 친구) | - 관계가 가까워짐 | - 변화 없음 | - 관계가 멀어짐 | 해당 없음,True,True,change in close friends network,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1SSCV034R&conn_path=I2,
mediator_social_network_change,101,DT_1SSCV035R,"사회적 관계망 변화(동료(직장이나 학교), 13세 이상 인구)",국가데이터처,"「사회조사」, 국가데이터처",%,,,,,,,2021-11-17,행정구역별 | 특성별,6,계 | 소계 (동료) | - 관계가 가까워짐 | - 변화 없음 | - 관계가 멀어짐 | 해당 없음,True,True,change in coworker/schoolmate network,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1SSCV035R&conn_path=I2,
mediator_social_network_change,101,DT_1SSCV038R,"사회적 관계망 변화(그 밖의 알고 지내는 사람, 13세 이상 인구)",국가데이터처,"「사회조사」, 국가데이터처",%,,,,,,,2021-11-17,행정구역별 | 특성별,6,계 | 소계 (그 밖의 알고 지내는 사람) | - 관계가 가까워짐 | - 변화 없음 | - 관계가 멀어짐 | 해당 없음,True,True,change in other acquaintances network,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=101&tblId=DT_1SSCV038R&conn_path=I2,
mediator_depression,177,DT_H_MENTAL_DEPRESS,시·군·구별 연간 우울감 경험률,질병관리청,"「지역사회건강조사」, 질병관리청",,2008,2025,,,,,2026-01-14,시군구별,5,응답자수 | 조율 | 조율표준오차 | 표준화율 | 표준화율표준오차,True,True,annual depression experience rate by city-county,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=177&tblId=DT_H_MENTAL_DEPRESS&conn_path=I2,
welfare_need,117,DT_11714_N002,"국민기초일반수급자수-시도별, 성별, 연령별",보건복지부,"「국민기초생활보장수급자현황」, 보건복지부",명,2001,2024,,,,,2025-08-29,행정구역별(시도) | 성별 | 연령별,1,수급자수,True,True,basic livelihood recipients by province-sex-age,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=117&tblId=DT_11714_N002&conn_path=I2,
welfare_need,117,DT_11714_N001,"국민기초생활수급자총괄(일반,시설)-시도별",보건복지부,"「국민기초생활보장수급자현황」, 보건복지부",명,2001,2024,,,,,2025-08-29,행정구역별,3,계 | 일반수급자 | 시설수급자,True,True,basic livelihood recipients total by province,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=117&tblId=DT_11714_N001&conn_path=I2,
welfare_capacity,110,DT_110001_A043,사회복지시설 수,행정안전부,"「한국도시통계」, 행정안전부",,2023,2023,,,,,2026-03-31,행정구역별 | 사회복지시설별,1,사회복지시설 수,True,True,number of social welfare facilities,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=110&tblId=DT_110001_A043&conn_path=I2,
survey_suicide,117,DT_117094N_604N,과거 자살(자해) 시도 경험,보건복지부,"「자살실태조사」, 보건복지부",%,,,,,,,2024-05-10,응답자구분별 | 과거 자살(자해) 시도 경험,1,대상자 비율,True,True,suicide/self-harm attempt experience survey,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=117&tblId=DT_117094N_604N&conn_path=I2,
survey_suicide,117,DT_117094N_016N,거의 모든 사람들은 자살에 대하여 한 두 번 생각을 한 적이 있다,보건복지부,"「자살실태조사」, 보건복지부",%,,,,,,,2024-05-10,인식별 | 특성별,1,거의 모든 사람들은 자살에 대하여 한 두 번 생각을 한 적이 있다,True,True,suicide attitude item,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=117&tblId=DT_117094N_016N&conn_path=I2,
survey_suicide,117,DT_117094N_018N,나는 실제로 자살할 생각이 없더라도 자살할 것이라고 말할 수 있다,보건복지부,"「자살실태조사」, 보건복지부",%,,,,,,,2024-05-10,인식별 | 특성별,1,나는 실제로 자살할 생각이 없더라도 자살할 것이라고 말할 수 있다,True,True,suicide attitude item,ok,https://kosis.kr/statHtml/statHtmlContent.do?orgId=117&tblId=DT_117094N_018N&conn_path=I2,
