age_band_2024,profile_2022,profile_2024,n,weighted_share
40 - 44세,lower_observed_risk,lower_observed_risk,70,0.33377718976409404
40 - 44세,alcohol_only,alcohol_only,37,0.13714734204753906
40 - 44세,lower_observed_risk,alcohol_only,25,0.11140790622751652
40 - 44세,alcohol_only,lower_observed_risk,17,0.06665297826510411
40 - 44세,lower_observed_risk,psych_only,7,0.03736551809565272
40 - 44세,lower_observed_risk,depression_alcohol,5,0.027621140848598045
40 - 44세,low_income_only,lower_observed_risk,6,0.023941166470632352
40 - 44세,low_income_only,low_income_only,4,0.02145083539592119
40 - 44세,psych_low_income,low_income_only,3,0.02032846886056676
40 - 44세,depression_alcohol,alcohol_only,5,0.019679357409336157
40 - 44세,psych_only,lower_observed_risk,5,0.016000561396634357
40 - 44세,lower_observed_risk,low_income_only,4,0.01543064389171492
40 - 44세,psych_only,psych_only,3,0.015063448231273655
40 - 44세,alcohol_only,depression_alcohol,4,0.01432775471813871
40 - 44세,depression_alcohol,low_income_only,2,0.011976759081032937
40 - 44세,depression_alcohol,psych_only,3,0.011821010270654164
40 - 44세,depression_alcohol,low_self_esteem_alcohol,2,0.010833623618700888
40 - 44세,low_income_only,depression_alcohol,1,0.009671354345771908
40 - 44세,compound_psych_alcohol_low_income,alcohol_only,2,0.007833469809519105
40 - 44세,alcohol_only,compound_psych_alcohol_low_income,2,0.007611401319677247
40 - 44세,low_income_only,psych_only,1,0.007473628293026377
40 - 44세,psych_low_income,low_self_esteem_alcohol,1,0.006944471970568279
40 - 44세,psych_low_income,psych_low_income,3,0.006832498174036434
40 - 44세,lower_observed_risk,psych_low_income,1,0.006731674312097246
40 - 44세,alcohol_only,psych_only,2,0.006139576133886861
40 - 44세,low_self_esteem_alcohol,lower_observed_risk,2,0.006025600738969749
40 - 44세,low_income_only,low_self_esteem_alcohol,2,0.005928638331305287
40 - 44세,compound_psych_alcohol_low_income,psych_low_income,1,0.005490192036600225
40 - 44세,depression_alcohol,depression_alcohol,1,0.005333567580669673
40 - 44세,depression_alcohol,lower_observed_risk,1,0.005303639334968412
40 - 44세,compound_psych_alcohol_low_income,lower_observed_risk,1,0.003187522218975361
40 - 44세,compound_psych_alcohol_low_income,compound_psych_alcohol_low_income,1,0.0029666977951480415
40 - 44세,low_self_esteem_alcohol,alcohol_only,1,0.002495105338260053
40 - 44세,psych_low_income,psych_only,1,0.0022213826172590217
40 - 44세,psych_only,low_self_esteem_alcohol,1,0.001810381331677849
40 - 44세,psych_low_income,alcohol_only,1,0.0017657792629717744
40 - 44세,alcohol_only,low_self_esteem_alcohol,2,0.0017118292994366105
40 - 44세,lower_observed_risk,low_self_esteem_alcohol,1,0.001695885162064004
45 - 49세,lower_observed_risk,lower_observed_risk,124,0.286477615258774
45 - 49세,alcohol_only,alcohol_only,68,0.16837476553970782
45 - 49세,alcohol_only,lower_observed_risk,37,0.0837265553386352
45 - 49세,lower_observed_risk,alcohol_only,34,0.07418712986001641
45 - 49세,lower_observed_risk,psych_only,19,0.04881169892623471
45 - 49세,psych_only,lower_observed_risk,12,0.04268797086144903
45 - 49세,low_income_only,low_income_only,12,0.02891111777872618
45 - 49세,psych_only,psych_only,11,0.025068139989076206
45 - 49세,depression_alcohol,alcohol_only,8,0.023782218095518573
45 - 49세,alcohol_only,depression_alcohol,11,0.023703972431222624
45 - 49세,low_income_only,lower_observed_risk,7,0.017789354304568673
45 - 49세,psych_low_income,low_income_only,5,0.014821226127273397
45 - 49세,lower_observed_risk,depression_alcohol,8,0.014751627006481664
45 - 49세,depression_alcohol,lower_observed_risk,4,0.01251546677675638
45 - 49세,psych_low_income,psych_low_income,4,0.01186003879614809
45 - 49세,psych_only,alcohol_only,4,0.011853274305715542
45 - 49세,low_income_only,psych_low_income,6,0.011035299148718212
45 - 49세,low_self_esteem_alcohol,psych_only,2,0.009956886311988352
45 - 49세,alcohol_only,psych_only,7,0.008450911138851965
45 - 49세,low_self_esteem_alcohol,alcohol_only,2,0.00792020056142516
45 - 49세,depression_alcohol,depression_alcohol,3,0.007632888155423333
45 - 49세,psych_low_income,lower_observed_risk,1,0.005885624348037183
45 - 49세,low_self_esteem_alcohol,depression_alcohol,2,0.00565906968517336
45 - 49세,psych_only,depression_alcohol,1,0.0054882336057220996
45 - 49세,compound_psych_alcohol_low_income,lower_observed_risk,1,0.004651715136551051
45 - 49세,low_self_esteem_alcohol,lower_observed_risk,1,0.004544116365863301
45 - 49세,psych_low_income,psych_only,2,0.0043808364058941
45 - 49세,compound_psych_alcohol_low_income,alcohol_only,1,0.003374405200979679
45 - 49세,compound_psych_alcohol_low_income,compound_psych_alcohol_low_income,2,0.0031505727798051956
45 - 49세,low_income_only,alcohol_only,2,0.0029843057215126413
45 - 49세,psych_low_income,alcohol_only,1,0.0028467243455321746
45 - 49세,alcohol_only,compound_psych_alcohol_low_income,1,0.002805927948402796
45 - 49세,lower_observed_risk,psych_low_income,1,0.0022617482635395444
45 - 49세,low_income_only,compound_psych_alcohol_low_income,1,0.002250727842857411
45 - 49세,depression_alcohol,psych_only,1,0.0021881711422225554
45 - 49세,alcohol_only,low_self_esteem_alcohol,1,0.002083729456816891
45 - 49세,psych_low_income,compound_psych_alcohol_low_income,1,0.0016155922099812643
45 - 49세,low_income_only,psych_only,3,0.0014242992421989668
45 - 49세,depression_alcohol,low_income_only,1,0.0013881038662092698
45 - 49세,compound_psych_alcohol_low_income,psych_low_income,1,0.0012771507537572178
45 - 49세,compound_psych_alcohol_low_income,depression_alcohol,1,0.0012104505742287427
45 - 49세,lower_observed_risk,low_income_only,1,0.0012081291521886504
45 - 49세,depression_alcohol,low_self_esteem_alcohol,1,0.0009167511014076468
45 - 49세,low_income_only,low_self_esteem_alcohol,1,0.0009167511014076468
45 - 49세,lower_observed_risk,low_self_esteem_alcohol,1,0.0007984881345100652
