region,year,godoksa_count,godoksa_share_pct,source_id,godoksa_yoy_change,godoksa_yoy_pct,expected_2024_if_national_growth,excess_2024_vs_expected,trajectory_type,is_seoul_gyeonggi_daegu,is_positive_excess_region,godoksa_2024_excess_applies_to_year,male_40_64_single_person_households,male_40_64_single_person_household_rate,single_household_dwelling_non_apartment_share,social_network_no_help_sick_pct,social_network_no_money_help_pct,social_network_no_depressed_talk_pct,daily_no_family_relative_exchange_pct,daily_no_nonkin_exchange_pct,depression_experience_std_rate,basic_livelihood_male_40_64_count,social_welfare_facility_count,male_40_64_suicide_deaths,male_40_64_suicide_rate,business_closure_male_40_64_count,business_closure_total_count,divorce_male_40_64_rate,employment_loss_male_45_64_count,health_insurance_arrears_male_45_64_count,debt_arrears_male_45_64_count,emergency_self_harm_male_45_64_count,death_discovery_delay_days
강원,2020,98,3.0,src_mohw_2025_godoksa,,,117.2772186642269,15.722781335773108,moderate_or_stable,0,1,,,,,,,,,,,,,,,,,,,,,,
강원,2021,110,3.3,src_mohw_2025_godoksa,12.0,12.244897959183664,117.2772186642269,15.722781335773108,moderate_or_stable,0,1,,,,,,,,,,,,,,,,,,,,,,
강원,2022,146,4.1,src_mohw_2025_godoksa,36.0,32.72727272727274,117.2772186642269,15.722781335773108,moderate_or_stable,0,1,,,,,,,,,,,,,,,,,,,,,,
강원,2023,156,4.3,src_mohw_2025_godoksa,10.0,6.849315068493156,117.2772186642269,15.722781335773108,moderate_or_stable,0,1,,,,,,,,,,,,,,,,,,,,,,
강원,2024,133,3.4,src_mohw_2025_godoksa,-23.0,-14.743589743589746,117.2772186642269,15.722781335773108,moderate_or_stable,0,1,15.722781335773108,,,,,,,,,,,,,,,,,,,,,
경기,2020,678,20.7,src_mohw_2025_godoksa,,,811.366880146386,82.63311985361395,large_base_excess_growth,1,1,,,,,,,,,,,,,,,,,,,,,,
경기,2021,713,21.1,src_mohw_2025_godoksa,35.0,5.162241887905594,811.366880146386,82.63311985361395,large_base_excess_growth,1,1,,,,,,,,,,,,,,,,,,,,,,
경기,2022,749,21.0,src_mohw_2025_godoksa,36.0,5.049088359046294,811.366880146386,82.63311985361395,large_base_excess_growth,1,1,,,,,,,,,,,,,,,,,,,,,,
경기,2023,922,25.2,src_mohw_2025_godoksa,173.0,23.09746328437918,811.366880146386,82.63311985361395,large_base_excess_growth,1,1,,,,,,,,,,,,,,,,,,,,,,
경기,2024,894,22.8,src_mohw_2025_godoksa,-28.0,-3.0368763557483747,811.366880146386,82.63311985361395,large_base_excess_growth,1,1,82.63311985361395,,,,,,,,,,,,,,,,,,,,,
경남,2020,225,6.9,src_mohw_2025_godoksa,,,269.2589204025617,-32.25892040256173,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
경남,2021,203,6.0,src_mohw_2025_godoksa,-22.0,-9.777777777777775,269.2589204025617,-32.25892040256173,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
경남,2022,257,7.2,src_mohw_2025_godoksa,54.0,26.60098522167487,269.2589204025617,-32.25892040256173,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
경남,2023,235,6.4,src_mohw_2025_godoksa,-22.0,-8.560311284046696,269.2589204025617,-32.25892040256173,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
경남,2024,237,6.0,src_mohw_2025_godoksa,2.0,0.8510638297872353,269.2589204025617,-32.25892040256173,moderate_or_stable,0,0,-32.25892040256173,,,,,,,,,,,,,,,,,,,,,
경북,2020,135,4.1,src_mohw_2025_godoksa,,,161.55535224153704,0.4446477584629633,moderate_or_stable,0,1,,,,,,,,,,,,,,,,,,,,,,
경북,2021,180,5.3,src_mohw_2025_godoksa,45.0,33.33333333333333,161.55535224153704,0.4446477584629633,moderate_or_stable,0,1,,,,,,,,,,,,,,,,,,,,,,
경북,2022,175,4.9,src_mohw_2025_godoksa,-5.0,-2.777777777777779,161.55535224153704,0.4446477584629633,moderate_or_stable,0,1,,,,,,,,,,,,,,,,,,,,,,
경북,2023,186,5.1,src_mohw_2025_godoksa,11.0,6.2857142857142945,161.55535224153704,0.4446477584629633,moderate_or_stable,0,1,,,,,,,,,,,,,,,,,,,,,,
