region,year,godoksa_count,godoksa_share_pct,source_id,male_40_64_single_households,male_40_64_single_household_rate_pct,basic_livelihood_male_40_64_count,basic_livelihood_male_40_64_rate_per_1000,business_closure_male_40_64_approx_count,business_closure_male_40_64_approx_rate_per_1000,male_40_64_death_count,male_40_64_population_est,male_40_64_total_mortality_rate,depression_crude_rate,depression_std_rate,husband_divorce_rate_40_64_mean,husband_divorce_rate_40_64_max,national_male_social_no_help_sick_housework_pct,national_male_social_no_help_money_pct,national_male_social_no_depressed_talk_pct,national_one_person_social_no_help_sick_housework_pct,national_one_person_social_no_help_money_pct,national_one_person_social_no_depressed_talk_pct,panel_note
강원,2020,98.0,3.0,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
강원,2021,110.0,3.3,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
강원,2022,146.0,4.1,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
강원,2023,156.0,4.3,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
강원,2024,133.0,3.4,src_mohw_2025_godoksa,60651.0,19.536510505593448,13124.0,42.274185730723055,8304.5,26.74992192935002,1617.0,310449.5041867132,520.8576525950867,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
강원,2025,,,,,,,,,,,,,7.5,6.9,6.2,8.3,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
경기,2020,678.0,20.7,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
경기,2021,713.0,21.1,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
경기,2022,749.0,21.0,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
경기,2023,922.0,25.2,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
경기,2024,894.0,22.8,src_mohw_2025_godoksa,426840.0,15.086507944064333,76863.0,27.16695389618163,87809.0,31.035778653836218,9853.0,2829282.9698070507,348.2507796196839,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
경기,2025,,,,,,,,,,,,,6.8,6.6,5.94,6.9,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
경남,2020,225.0,6.9,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
경남,2021,203.0,6.0,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
경남,2022,257.0,7.2,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
경남,2023,235.0,6.4,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
경남,2024,237.0,6.0,src_mohw_2025_godoksa,123018.0,17.660265977994662,29503.0,42.35403169851375,17090.5,24.534846583176265,3066.0,696580.6752473883,440.15002266767164,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
경남,2025,,,,,,,,,,,,,5.1,5.0,6.4,8.1,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
경북,2020,135.0,4.1,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
경북,2021,180.0,5.3,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
경북,2022,175.0,4.9,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
경북,2023,186.0,5.1,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
경북,2024,162.0,4.1,src_mohw_2025_godoksa,100040.0,18.77561569461273,24913.0,46.75698858455486,12827.5,24.074791115818147,2462.0,532818.7454790332,462.0708300693376,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
경북,2025,,,,,,,,,,,,,5.9,5.4,6.4799999999999995,8.3,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
광주,2020,118.0,3.6,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
광주,2021,111.0,3.3,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
광주,2022,117.0,3.3,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
광주,2023,94.0,2.6,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
광주,2024,119.0,3.0,src_mohw_2025_godoksa,50029.0,17.862686257884704,16803.0,59.99454660121862,7715.5,27.547933363191234,1091.0,280075.45605251216,389.5378821753825,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
광주,2025,,,,,,,,,,,,,3.7,3.4,5.5200000000000005,7.1,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
대구,2020,125.0,3.8,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
대구,2021,124.0,3.7,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
대구,2022,146.0,4.1,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
대구,2023,183.0,5.0,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
대구,2024,229.0,5.9,src_mohw_2025_godoksa,73677.0,15.572726226315137,27357.0,57.82307523016724,11798.0,24.93682207718365,1898.0,473115.6184811044,401.17043823101005,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
대구,2025,,,,,,,,,,,,,6.3,6.0,5.4,6.6,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
대전,2020,120.0,3.6,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
대전,2021,128.0,3.8,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
대전,2022,141.0,4.0,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
대전,2023,104.0,2.8,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
대전,2024,107.0,2.7,src_mohw_2025_godoksa,46679.0,16.54178616533653,12875.0,45.62554829338842,7853.5,27.830698525990364,1022.0,282188.38965417346,362.1694008220813,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
대전,2025,,,,,,,,,,,,,6.3,6.4,5.8,7.5,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
부산,2020,315.0,9.6,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
부산,2021,329.0,9.7,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
부산,2022,317.0,8.9,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
부산,2023,287.0,7.8,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
부산,2024,367.0,9.4,src_mohw_2025_godoksa,100356.0,15.737993448078615,39483.0,61.91789183611225,16624.5,26.070815105981005,2879.0,637667.0592161927,451.48952864819574,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
부산,2025,,,,,,,,,,,,,5.9,5.5,5.5200000000000005,6.7,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
서울,2020,571.0,17.4,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
서울,2021,619.0,18.3,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
서울,2022,678.0,19.1,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
서울,2023,559.0,15.3,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
서울,2024,784.0,20.0,src_mohw_2025_godoksa,267325.0,15.369936595269875,78540.0,45.15682484588033,56654.5,32.57368644297081,6192.0,1739271.9764521979,356.01102552290683,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
서울,2025,,,,,,,,,,,,,7.1,7.0,4.58,5.0,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
세종,2020,12.0,0.4,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
세종,2021,13.0,0.4,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
세종,2022,11.0,0.3,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
세종,2023,8.0,0.2,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
세종,2024,9.0,0.2,src_mohw_2025_godoksa,9430.0,12.156934413075215,1288.0,16.604593344688098,1875.0,24.172059410939582,187.0,77568.8975491856,241.07600585843744,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
세종,2025,,,,,,,,,,,,,5.8,5.5,4.68,6.2,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
울산,2020,59.0,1.8,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
울산,2021,58.0,1.7,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
울산,2022,59.0,1.7,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
울산,2023,72.0,2.0,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
울산,2024,68.0,1.7,src_mohw_2025_godoksa,38212.0,15.856855305342282,7340.0,30.458839616144758,5288.5,21.94571843460239,831.0,240980.94650031975,344.8405411582602,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
울산,2025,,,,,,,,,,,,,7.1,6.6,5.8,7.2,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
인천,2020,248.0,7.6,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
인천,2021,248.0,7.3,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
인천,2022,215.0,6.0,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
인천,2023,208.0,5.7,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
인천,2024,260.0,6.6,src_mohw_2025_godoksa,97937.0,15.710653082868145,28719.0,46.06984550138255,18074.0,28.993571767540242,2550.0,623379.559611029,409.0605732390595,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
인천,2025,,,,,,,,,,,,,6.5,6.4,6.4,7.8,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
전남,2020,114.0,3.5,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
전남,2021,124.0,3.7,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
전남,2022,100.0,2.8,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
전남,2023,120.0,3.3,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
전남,2024,112.0,2.8,src_mohw_2025_godoksa,70664.0,18.731988145900097,16894.0,44.78351179339356,9202.5,24.394475392370317,1932.0,377237.0527335955,512.1448134535121,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
전남,2025,,,,,,,,,,,,,4.7,4.4,6.62,8.5,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
전북,2020,143.0,4.3,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
전북,2021,106.0,3.1,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
전북,2022,102.0,2.9,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
전북,2023,126.0,3.4,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
전북,2024,96.0,2.5,src_mohw_2025_godoksa,64266.0,18.09666406140657,20332.0,57.25288234782286,9370.0,26.384984635013783,1634.0,355126.225374628,460.11808851240676,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
전북,2025,,,,,,,,,,,,,6.6,6.2,6.2,7.4,26.548,49.332,24.629,31.122,54.402,26.494,raw_covariates_observed_for_this_year_where_available
제주,2020,27.0,0.8,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
제주,2021,44.0,1.3,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
제주,2022,53.0,1.5,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
제주,2023,51.0,1.4,src_mohw_2025_godoksa,,,,,,,,,,,,,,,,,,,,godoksa_only_until multi-year covariates are downloaded
제주,2024,48.0,1.2,src_mohw_2025_godoksa,24872.0,17.59586811975206,6047.0,42.77991899330198,4906.0,34.707835717072854,699.0,141351.3663021843,494.51237599335354,,,,,,,,,,,raw_covariates_observed_for_this_year_where_available
