region,2020,2021,2022,2023,2024,expected_2024_if_national_growth,excess_2024_vs_expected,excess_share_of_total_excess_positive_pct,change_2020_2024,pct_change_2020_2024,cagr_2020_2024_pct,linear_slope_cases_per_year,yoy_volatility,recent_change_2023_2024,share_of_national_increase_pct,trajectory_type
서울,571,619,678,559,784,683.3193046660567,100.68069533394328,32.97712302740801,213,37.3029772329247,8.248026813070553,36.59999999999998,0.20474615288767156,225.0,33.02325581395349,large_base_excess_growth
경기,678,713,749,922,894,811.366880146386,82.63311985361395,27.065790025711877,216,31.858407079646017,7.158581545323206,64.09999999999995,0.09562429350964073,-28.0,33.48837209302326,large_base_excess_growth
대구,125,124,146,183,229,149.5882891125343,79.41171088746569,26.01064435507554,104,83.2,16.340618240367387,26.69999999999999,0.10643165082483852,46.0,16.124031007751938,small_base_excess_growth
강원,98,110,146,156,133,117.2772186642269,15.722781335773107,5.14986604654508,35,35.714285714285715,7.933532556913714,11.599999999999993,0.16893829261549753,-23.0,5.426356589147287,moderate_or_stable
제주,27,44,53,51,48,32.31107044830741,15.688929551692588,5.138778176674717,21,77.77777777777779,15.470053837925146,4.899999999999996,0.2770998389899057,-3.0,3.255813953488372,fast_growth_from_small_base
충북,98,93,121,167,128,117.2772186642269,10.722781335773107,3.5121576994767736,30,30.612244897959183,6.904496764969759,13.4,0.25148185383413857,-39.0,4.651162790697675,moderate_or_stable
경북,135,180,175,186,162,161.55535224153704,0.44464775846296334,0.1456406691080015,27,20.0,4.663513939210562,5.999999999999981,0.17187008994692143,-24.0,4.186046511627907,moderate_or_stable
울산,59,58,59,72,68,70.60567246111619,-2.6056724611161854,0.0,9,15.254237288135593,3.612994480236087,3.199999999999994,0.10654545183838762,-4.0,1.3953488372093024,moderate_or_stable
세종,12,13,11,8,9,14.360475754803293,-5.360475754803293,0.0,-3,-25.0,-6.939514089790045,-1.100000000000001,0.1648568046916732,1.0,-0.46511627906976744,declining_or_reduced
부산,315,329,317,287,367,376.9624885635864,-9.962488563586419,0.0,52,16.507936507936506,3.893619716663954,6.199999999999973,0.14207168524878372,80.0,8.062015503875969,moderate_or_stable
광주,118,111,117,94,119,141.21134492223237,-22.21134492223237,0.0,1,0.847457627118644,0.21119441805683703,-1.5000000000000169,0.16940410801160496,25.0,0.15503875968992248,moderate_or_stable
전남,114,124,100,120,112,136.42451967063127,-24.42451967063127,0.0,-2,-1.7543859649122806,-0.4415118853894895,-0.8000000000000006,0.14950834174952948,-8.0,-0.31007751937984496,declining_or_reduced
경남,225,203,257,235,237,269.2589204025617,-32.25892040256173,0.0,12,5.333333333333334,1.3074670441116432,5.599999999999998,0.1463262216149536,2.0,1.8604651162790697,moderate_or_stable
대전,120,128,141,104,107,143.60475754803292,-36.60475754803292,0.0,-13,-10.833333333333334,-2.825876303701458,-5.000000000000004,0.14438144153793186,3.0,-2.0155038759689923,declining_or_reduced
인천,248,248,215,208,260,296.78316559926805,-36.783165599268045,0.0,12,4.838709677419355,1.1883272883876472,-1.6000000000000254,0.14096658632750875,52.0,1.8604651162790697,moderate_or_stable
충남,193,175,172,183,171,230.96431838975295,-59.96431838975295,0.0,-22,-11.398963730569948,-2.9803507198296275,-3.6000000000000276,0.05967522889618168,-12.0,-3.4108527131782944,declining_or_reduced
전북,143,106,102,126,96,171.12900274473924,-75.12900274473924,0.0,-47,-32.86713286713287,-9.482239842188832,-7.400000000000014,0.19876608928992853,-30.0,-7.286821705426356,declining_or_reduced
