raw_region,suicide_deaths_2025q4_p,suicide_deaths_2026q1_p,region,change_2026q1_minus_2025q4,pct_change_2026q1_vs_2025q4
전국,3215.0,3069.0,전국,-146.0,-4.541213063763608
서울특별시,536.0,465.0,서울특별시,-71.0,-13.246268656716417
부산광역시,215.0,191.0,부산광역시,-24.0,-11.162790697674419
대구광역시,168.0,134.0,대구광역시,-34.0,-20.238095238095237
인천광역시,204.0,172.0,인천광역시,-32.0,-15.686274509803921
광주광역시,74.0,82.0,광주광역시,8.0,10.81081081081081
대전광역시,105.0,74.0,대전광역시,-31.0,-29.523809523809526
울산광역시,66.0,57.0,울산광역시,-9.0,-13.636363636363635
세종특별자치시,18.0,22.0,세종특별자치시,4.0,22.22222222222222
경기도,807.0,808.0,경기도,1.0,0.12391573729863693
강원특별자치도,119.0,113.0,강원특별자치도,-6.0,-5.042016806722689
충청북도,112.0,128.0,충청북도,16.0,14.285714285714285
충청남도,185.0,165.0,충청남도,-20.0,-10.81081081081081
전라북도,93.0,122.0,전라북도,29.0,31.182795698924732
전라남도,118.0,120.0,전라남도,2.0,1.694915254237288
경상북도,179.0,172.0,경상북도,-7.0,-3.910614525139665
경상남도,169.0,206.0,경상남도,37.0,21.893491124260358
제주특별자치도,47.0,38.0,제주특별자치도,-9.0,-19.148936170212767
