sex,age,suicide_deaths_2025q4_p,suicide_deaths_2026q1_p
계,계,3215.0,3069.0
계,19세이하,96.0,86.0
계,20대,261.0,209.0
계,30대,405.0,387.0
계,40대,561.0,580.0
계,50대,696.0,703.0
계,60대,541.0,504.0
계,70대,346.0,332.0
계,80세이상,309.0,268.0
남자,계,2301.0,2213.0
남자,19세이하,42.0,46.0
남자,20대,148.0,118.0
남자,30대,272.0,274.0
남자,40대,414.0,428.0
남자,50대,527.0,531.0
남자,60대,418.0,377.0
남자,70대,264.0,254.0
남자,80세이상,216.0,185.0
여자,계,914.0,856.0
여자,19세이하,54.0,40.0
여자,20대,113.0,91.0
여자,30대,133.0,113.0
여자,40대,147.0,152.0
여자,50대,169.0,172.0
여자,60대,123.0,127.0
여자,70대,82.0,78.0
여자,80세이상,93.0,83.0
