region,all_cause_deaths_2024,all_cause_mortality_rate_2024,total_population_est_2024
서울,52725.0,567.7,9287475.779460981
부산,26816.0,821.1,3265862.8668858847
대구,16775.0,710.5,2361013.3708655876
인천,18827.0,628.9,2993639.688344729
광주,9136.0,648.3,1409224.1246336573
대전,8842.0,616.0,1435389.6103896103
울산,6343.0,577.9,1097594.7395743208
세종,1646.0,424.5,387750.29446407536
경기,76479.0,562.4,13598684.210526315
강원,14413.0,949.9,1517317.6123802506
충북,13489.0,849.6,1587688.3239171375
충남,18811.0,884.6,2126497.852136559
전북,17110.0,982.4,1741653.0944625407
전남,20108.0,1121.9,1792316.6057580889
경북,25298.0,997.8,2535377.8312287033
경남,26849.0,831.3,3229760.615902803
제주,4902.0,732.7,669032.3461171011
