cause,region,age,sex,item,unit,2020,2024
고의적 자해(자살) (X60-X84),서울특별시,40 - 44세,남자,사망자수[명],명,96,138
고의적 자해(자살) (X60-X84),서울특별시,40 - 44세,남자,사망률[십만명당],십만명당,27.1,38.8
고의적 자해(자살) (X60-X84),서울특별시,45 - 49세,남자,사망자수[명],명,117,108
고의적 자해(자살) (X60-X84),서울특별시,45 - 49세,남자,사망률[십만명당],십만명당,29.5,32.7
고의적 자해(자살) (X60-X84),서울특별시,50 - 54세,남자,사망자수[명],명,136,176
고의적 자해(자살) (X60-X84),서울특별시,50 - 54세,남자,사망률[십만명당],십만명당,36.3,46.1
고의적 자해(자살) (X60-X84),서울특별시,55 - 59세,남자,사망자수[명],명,163,142
고의적 자해(자살) (X60-X84),서울특별시,55 - 59세,남자,사망률[십만명당],십만명당,45.7,41.7
고의적 자해(자살) (X60-X84),서울특별시,60 - 64세,남자,사망자수[명],명,112,142
고의적 자해(자살) (X60-X84),서울특별시,60 - 64세,남자,사망률[십만명당],십만명당,34.3,42.9
고의적 자해(자살) (X60-X84),부산광역시,40 - 44세,남자,사망자수[명],명,52,54
고의적 자해(자살) (X60-X84),부산광역시,40 - 44세,남자,사망률[십만명당],십만명당,43,43.9
고의적 자해(자살) (X60-X84),부산광역시,45 - 49세,남자,사망자수[명],명,65,60
고의적 자해(자살) (X60-X84),부산광역시,45 - 49세,남자,사망률[십만명당],십만명당,48.3,51.4
고의적 자해(자살) (X60-X84),부산광역시,50 - 54세,남자,사망자수[명],명,67,57
고의적 자해(자살) (X60-X84),부산광역시,50 - 54세,남자,사망률[십만명당],십만명당,49.6,42.6
고의적 자해(자살) (X60-X84),부산광역시,55 - 59세,남자,사망자수[명],명,68,75
고의적 자해(자살) (X60-X84),부산광역시,55 - 59세,남자,사망률[십만명당],십만명당,48.8,58.6
고의적 자해(자살) (X60-X84),부산광역시,60 - 64세,남자,사망자수[명],명,71,73
고의적 자해(자살) (X60-X84),부산광역시,60 - 64세,남자,사망률[십만명당],십만명당,51,53.5
고의적 자해(자살) (X60-X84),대구광역시,40 - 44세,남자,사망자수[명],명,38,42
고의적 자해(자살) (X60-X84),대구광역시,40 - 44세,남자,사망률[십만명당],십만명당,43.6,48.9
고의적 자해(자살) (X60-X84),대구광역시,45 - 49세,남자,사망자수[명],명,41,50
고의적 자해(자살) (X60-X84),대구광역시,45 - 49세,남자,사망률[십만명당],십만명당,40,57.7
고의적 자해(자살) (X60-X84),대구광역시,50 - 54세,남자,사망자수[명],명,51,63
고의적 자해(자살) (X60-X84),대구광역시,50 - 54세,남자,사망률[십만명당],십만명당,48.6,61.3
고의적 자해(자살) (X60-X84),대구광역시,55 - 59세,남자,사망자수[명],명,43,48
고의적 자해(자살) (X60-X84),대구광역시,55 - 59세,남자,사망률[십만명당],십만명당,42.4,47.8
고의적 자해(자살) (X60-X84),대구광역시,60 - 64세,남자,사망자수[명],명,29,48
고의적 자해(자살) (X60-X84),대구광역시,60 - 64세,남자,사망률[십만명당],십만명당,32.7,49.2
