,domain,domain_label,iat_score,year,age,sex,sex_male,political_raw,explicit_pref,explicit_thermo_diff,pct_300,pct_error,n_trials,valid_iat,quality_flag,iat_z_within_domain,year_centered,age_centered,political_centered,domain_age,year_x_age,age_x_age,male_x_age,politics_x_age,domain_weight,year_x_weight,age_x_weight,male_x_weight,politics_x_weight,domain_korea_usa,year_x_korea_usa,age_x_korea_usa,male_x_korea_usa,politics_x_korea_usa
0,age,Age IAT: Young-Good over Old-Good,1.1626553826707307,2006.0,39.0,m,1.0,,,4.0,0.0,3.3333333333333335,120.0,True,True,1.7284756570830027,-6.386165634512508,14.326186159904982,,1.0,-6.386165634512508,14.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
1,age,Age IAT: Young-Good over Old-Good,-0.23750444963026124,2006.0,38.0,m,1.0,,,4.0,0.0,1.6666666666666667,120.0,True,True,-1.9196070582840912,-6.386165634512508,13.326186159904982,,1.0,-6.386165634512508,13.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
2,age,Age IAT: Young-Good over Old-Good,-0.1943996395531654,2006.0,46.0,m,1.0,,,1.0,0.0,5.0,120.0,True,True,-1.8072985139566813,-6.386165634512508,21.32618615990498,,1.0,-6.386165634512508,21.32618615990498,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
3,age,Age IAT: Young-Good over Old-Good,0.47956182718542695,2006.0,32.0,m,1.0,,,2.0,0.0,3.3333333333333335,120.0,True,True,-0.051308147062643555,-6.386165634512508,7.326186159904982,,1.0,-6.386165634512508,7.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
4,age,Age IAT: Young-Good over Old-Good,0.4839578832434866,2006.0,30.0,m,1.0,,,7.0,0.0,14.166666666666666,120.0,True,True,-0.0398543288975866,-6.386165634512508,5.326186159904982,,1.0,-6.386165634512508,5.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
5,age,Age IAT: Young-Good over Old-Good,0.9687604093049917,2006.0,,n,,,,,0.0,12.5,120.0,True,True,1.2232869746097452,-6.386165634512508,,,1.0,-6.386165634512508,,,,0.0,-0.0,,,,0.0,-0.0,,,
6,age,Age IAT: Young-Good over Old-Good,0.35174994573810947,2006.0,25.0,f,0.0,,,1.0,0.0,5.833333333333333,120.0,True,True,-0.3843189253823243,-6.386165634512508,0.32618615990498157,,1.0,-6.386165634512508,0.32618615990498157,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
7,age,Age IAT: Young-Good over Old-Good,0.45284598785990965,2006.0,36.0,m,1.0,,,2.0,0.0,3.3333333333333335,120.0,True,True,-0.1209156228818705,-6.386165634512508,11.326186159904982,,1.0,-6.386165634512508,11.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
8,age,Age IAT: Young-Good over Old-Good,0.04987002434793765,2006.0,36.0,m,1.0,,,2.0,0.0,4.166666666666667,120.0,True,True,-1.1708597887422156,-6.386165634512508,11.326186159904982,,1.0,-6.386165634512508,11.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
9,age,Age IAT: Young-Good over Old-Good,1.1006114604684487,2006.0,31.0,m,1.0,,,0.0,0.0,2.5,120.0,True,True,1.5668217123274522,-6.386165634512508,6.326186159904982,,1.0,-6.386165634512508,6.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
