domain,year,n,iat_mean,iat_sd,iat_z_mean,explicit_thermo_mean,age_mean,political_mean,iat_se
age,2006.0,605,0.6500648741149183,0.37288246957304194,0.39293343455643887,1.5855855855855856,30.107861060329068,,0.015159828174242159
age,2007.0,212,0.4863885563654685,0.43576901122662065,-0.0335212686294332,1.7102272727272727,23.934131736526947,,0.029928738566725607
age,2008.0,236,0.4821285509289403,0.3851312309517243,-0.04462061017733993,-0.08866995073891626,25.658163265306122,4.20979020979021,0.025069907771154577
age,2009.0,379,0.48915790928305475,0.40952385809061465,-0.026305786312107417,-0.9487179487179487,25.63450292397661,4.18429003021148,0.02103582760738836
age,2010.0,344,0.5420974047317592,0.3586303967412448,0.11162679384861,-0.7009646302250804,25.275316455696203,4.309446254071661,0.019336055117828894
age,2011.0,1138,0.47483854290765903,0.3782838924684643,-0.06361455047172669,-1.2430086788813886,22.658976930792377,4.392218717139853,0.011213642805734367
age,2012.0,920,0.45598796098448013,0.3743651142171423,-0.1127292875910938,-1.1411338962605548,23.664141414141415,4.453703703703703,0.012342452311768358
age,2013.0,999,0.5072888943525077,0.37889981472090306,0.020934058538856083,-1.0316593886462881,23.61391694725028,4.294736842105263,0.011987859624382853
age,2014.0,791,0.4585572715958933,0.38206983697969227,-0.10603501068379075,-0.8955650929899857,25.621004566210047,4.448220064724919,0.013584839486750275
age,2015.0,311,0.4797150639144168,0.3751324144477901,-0.05090889245649723,-0.47547169811320755,26.657370517928285,4.410041841004184,0.021271807676616485
age,2016.0,447,0.5101102924517362,0.38576737408395756,0.028285143323262964,-1.0742574257425743,29.7455919395466,4.292105263157895,0.018246170687566288
age,2017.0,441,0.49380315045721795,0.36905295806477617,-0.014202722329528248,-0.4381188118811881,29.643979057591622,4.390710382513661,0.01757395038403696
korea_usa,2006.0,173,0.39429243914977613,0.4054782956977902,-0.1215770402074254,2.1338028169014085,25.872180451127818,,0.03082794395994645
korea_usa,2007.0,136,0.35489516436985064,0.4539453632131208,-0.22910748597738978,1.6160714285714286,22.537037037037038,,0.03892549376152624
korea_usa,2008.0,208,0.4598099051049961,0.36695175456097195,0.0572455397613052,2.335227272727273,23.99418604651163,4.477941176470588,0.025443526282520407
korea_usa,2009.0,342,0.41966798419323437,0.3586291349531127,-0.05231733416376685,1.9831081081081081,24.80565371024735,4.243542435424354,0.019392442643663323
korea_usa,2010.0,311,0.4355251192629161,0.3976643529933374,-0.009037061297120745,1.825278810408922,24.533596837944664,4.371428571428571,0.022549476693909394
korea_usa,2011.0,1132,0.47311102513920184,0.36467475740398564,0.09354945607296683,2.064935064935065,21.906779661016948,4.423634336677815,0.010838832110804083
korea_usa,2012.0,891,0.4764809945246935,0.33081278531401126,0.10274740979634714,1.9311639549436797,22.827814569536425,4.476584022038567,0.01108264530039362
korea_usa,2013.0,540,0.4842940681056549,0.3522690134186901,0.12407231842739798,1.762979683972912,24.190255220417633,4.509661835748792,0.015159244692838933
korea_usa,2014.0,782,0.40636657265752646,0.36762331790389535,-0.08862204609610622,0.8668639053254438,24.957210776545168,4.5811688311688314,0.013146183009023463
korea_usa,2015.0,344,0.37917565041985934,0.3722899606068829,-0.16283662071949154,0.6632302405498282,26.26277372262774,4.511278195488722,0.020072529444019514
korea_usa,2016.0,400,0.3756922658483343,0.3598521351803997,-0.1723441284813015,0.5393586005830904,28.37116564417178,4.425396825396826,0.017992606759019987
korea_usa,2017.0,118,0.4102655662196189,0.3741634724482291,-0.07798018017700345,0.6634615384615384,26.567010309278352,4.824742268041237,0.034444539568053836
weight,2009.0,378,0.2999341253693262,0.4248343424302267,0.007657655709049112,-0.6695652173913044,24.75602409638554,4.205047318611987,0.021851120738642156
weight,2010.0,352,0.3142003899038672,0.4227694409376906,0.04209292673861081,-0.5,24.39032258064516,4.223728813559322,0.02253368691529414
weight,2011.0,1367,0.3135001460538153,0.40235486943287113,0.04040270946379865,-0.5842062852538276,21.86922406277245,4.380597014925373,0.01088240800183119
weight,2012.0,1206,0.307464611351037,0.4028813331088618,0.02583440584127056,-0.7726001863932899,22.98810703666997,4.460350154479918,0.0116012154309624
weight,2013.0,790,0.32031926612481004,0.41396128475208727,0.05686239638880219,-0.6591865357643759,23.523031203566124,4.452160493827161,0.014728081559465808
weight,2014.0,953,0.28351551151673715,0.41356421696550527,-0.031972859803595426,-0.8634730538922155,23.815006468305302,4.570054945054945,0.01339665905455612
weight,2015.0,369,0.2444647863779214,0.41288504437237455,-0.12623175292871838,-0.46075085324232085,25.831541218637994,4.313207547169811,0.021493936869059257
weight,2016.0,404,0.2619311287190242,0.43075561208626484,-0.08407227726816609,-0.3780821917808219,29.096866096866098,4.241691842900302,0.021430892695875052
weight,2017.0,371,0.24669705262890476,0.42536522944073885,-0.12084360852857473,-0.10031347962382445,27.513157894736842,4.450171821305842,0.022083862362949416
weight,2018.0,265,0.29791565542289805,0.4199111281082263,0.00278556326312604,-0.5467289719626168,29.166666666666668,4.358288770053476,0.025794935550111912
weight,2019.0,399,0.30308529796870204,0.43700207140732866,0.015263815139060529,-0.11036789297658862,25.913978494623656,4.35361216730038,0.021877467517933506
