domain,sex,age_group,n,iat_mean,iat_z_mean
age,.,<=19,3,0.23346791050473056,-0.6924999189509008
age,.,20s,27,0.4881171976353479,-0.02901733544106746
age,.,30s,2,0.08898808321388155,-1.0689386286607678
age,.,40s,1,0.713574555865522,0.5584063805072524
age,f,<=19,508,0.4351640198216537,-0.1669855646741789
age,f,20s,3075,0.4883660828879059,-0.028368870910789844
age,f,30s,410,0.5281959485547361,0.07540688464403786
age,f,40s,146,0.6078582990871468,0.28296522001294516
age,f,50+,33,0.5896515988942266,0.2355281012316481
age,m,<=19,177,0.42368219441855237,-0.19690118418247546
age,m,20s,942,0.5575146969334961,0.15179617730141995
age,m,30s,344,0.5994072432032701,0.26094619748042025
age,m,40s,203,0.6291043408706666,0.338321270095493
age,m,50+,61,0.5510375516129233,0.13492013119311905
age,n,20s,1,-0.03331156994987863,-1.3875874289687269
age,n,30s,1,0.16330669847557422,-0.8753032668173669
age,n,50+,1,0.7938441433243131,0.7675468570604417
korea_usa,.,<=19,8,0.24976903474346224,-0.5160374740017543
korea_usa,.,20s,16,0.5320392548655674,0.2543874542925722
korea_usa,.,30s,4,0.5442777010643652,0.2877909214775417
korea_usa,.,40s,1,-1.0617564588652093,-4.095699309857294
korea_usa,f,<=19,558,0.45218760010916936,0.0364413126015752
korea_usa,f,20s,2154,0.4627932352158238,0.0653882049199553
korea_usa,f,30s,215,0.42175407176345336,-0.04662359195459414
korea_usa,f,40s,67,0.41004014008428286,-0.07859545554709668
korea_usa,f,50+,10,0.18838818326963125,-0.6835696283852896
korea_usa,m,<=19,221,0.40344189521113094,-0.09660462538112113
korea_usa,m,20s,813,0.4485664354643833,0.02655774957252299
korea_usa,m,30s,216,0.34833459841996256,-0.24701381541351056
korea_usa,m,40s,94,0.4190971239565964,-0.05387543319627431
korea_usa,m,50+,29,0.2958401720210348,-0.39029146856711205
korea_usa,n,20s,1,-0.5589442192240294,-2.7233296581685944
weight,f,<=19,686,0.31349821056672916,0.04039803767166798
weight,f,20s,3195,0.30847293082044375,0.02826824226210366
weight,f,30s,341,0.29313740603147637,-0.008747961328547172
weight,f,40s,79,0.2854429625392688,-0.02732046476378773
weight,f,50+,25,0.38231940030755707,0.2065155462573545
weight,m,<=19,119,0.2898870463078429,-0.016593534201242318
weight,m,20s,812,0.30960537379437214,0.031001682444593785
weight,m,30s,199,0.26759677081382816,-0.07039680387296145
weight,m,40s,117,0.341358828062393,0.10764674963766932
weight,m,50+,34,0.23978436967813235,-0.13752913334657751
