domain,political_raw,n,iat_mean,iat_z_mean
age,1.0,40,0.5955194233251058,0.25081657643945376
age,2.0,283,0.5078956715931328,0.02251500202297606
age,3.0,691,0.5272379474014977,0.07291083571604726
age,4.0,1726,0.49398649011384815,-0.013725035270547973
age,5.0,1359,0.49924053380222394,-3.575100230258121e-05
age,6.0,740,0.48534201102082875,-0.03624801731522716
age,7.0,107,0.44507819391314407,-0.1411544228959797
korea_usa,1.0,30,0.3673090532013081,-0.19522516779061067
korea_usa,2.0,217,0.4022360143502063,-0.09989594203297157
korea_usa,3.0,520,0.4622764144401443,0.06397760053926059
korea_usa,4.0,1191,0.4486727180608061,0.02684783600704866
korea_usa,5.0,1232,0.45978749008766495,0.05718436048382927
korea_usa,6.0,700,0.4468246967721203,0.0218038690302764
korea_usa,7.0,93,0.37218553622733247,-0.18191535393908873
weight,1.0,30,0.2852040769219061,-0.027897076178712222
weight,2.0,278,0.29956481956552655,0.0067662418833877355
weight,3.0,710,0.3393971136197281,0.10291165108736429
weight,4.0,1869,0.3243869908336776,0.06668088829215621
weight,5.0,1572,0.29923916304074816,0.005980186734463761
weight,6.0,795,0.273478709880501,-0.0561992425246599
weight,7.0,114,0.27663424259389796,-0.048582558846505405
