domain,,iat_score,iat_z_within_domain,explicit_thermo_diff,age,year,political_raw
age,iat_score,1.0,1.0,0.1101847016713183,0.11941694102872868,-0.07300103139718427,-0.034025472682722026
age,iat_z_within_domain,1.0,1.0,0.11018470167131839,0.11941694102872832,-0.07300103139718404,-0.03402547268272188
age,explicit_thermo_diff,0.1101847016713183,0.11018470167131839,1.0,0.11992820263357479,-0.19637800491008373,-0.01920594785312498
age,age,0.11941694102872868,0.11941694102872832,0.11992820263357479,1.0,0.02094752425448236,-0.08162657846844362
age,year,-0.07300103139718427,-0.07300103139718404,-0.19637800491008373,0.02094752425448236,1.0,0.022502863356069287
age,political_raw,-0.034025472682722026,-0.03402547268272188,-0.01920594785312498,-0.08162657846844362,0.022502863356069287,1.0
korea_usa,iat_score,1.0,1.0,0.21483653547204729,-0.06153120479002552,-0.027426758670097,0.0060881381761869035
korea_usa,iat_z_within_domain,1.0,1.0,0.21483653547204806,-0.06153120479002546,-0.027426758670097348,0.006088138176186926
korea_usa,explicit_thermo_diff,0.21483653547204729,0.21483653547204806,1.0,-0.037802493481342896,-0.19267424373135594,-0.0008119361716398421
korea_usa,age,-0.06153120479002552,-0.06153120479002546,-0.037802493481342896,1.0,0.14013908999089983,-0.007321961728709391
korea_usa,year,-0.027426758670097,-0.027426758670097348,-0.19267424373135594,0.14013908999089983,1.0,0.0557941337777683
korea_usa,political_raw,0.0060881381761869035,0.006088138176186926,-0.0008119361716398421,-0.007321961728709391,0.0557941337777683,1.0
weight,iat_score,1.0,0.9999999999999984,0.07155536734295133,-0.016037810543689152,-0.03083901197130346,-0.03810731043410638
weight,iat_z_within_domain,0.9999999999999984,1.0,0.07155536734295158,-0.01603781054368911,-0.030839011971305334,-0.03810731043410639
weight,explicit_thermo_diff,0.07155536734295133,0.07155536734295158,1.0,0.014319084242728571,0.03746163331983511,-0.03239622790656951
weight,age,-0.016037810543689152,-0.01603781054368911,0.014319084242728571,1.0,0.23471429177670838,-0.0393755838077087
weight,year,-0.03083901197130346,-0.030839011971305334,0.03746163331983511,0.23471429177670838,1.0,0.015816297073390346
weight,political_raw,-0.03810731043410638,-0.03810731043410639,-0.03239622790656951,-0.0393755838077087,0.015816297073390346,1.0
