,count,mean,std,min,25%,50%,75%,max,missing_rate
iat_young_good,6823.0,0.4992542552886304,0.38380704099799967,-1.6395164886593179,0.2578557953872593,0.5287433253615084,0.7724886493957002,1.6663069083807773,0.6552647534357317
D_biep.Young_Good_36,6823.0,0.5612261786011897,0.4757585002839147,-1.64973656424978,0.26685296964552546,0.6213058046330944,0.9151434543479939,1.6837493164594608,0.6552647534357317
D_biep.Young_Good_47,6823.0,0.4372823319760711,0.42174433757030055,-1.87050751645787,0.1764744373148754,0.45889579926666124,0.7324443556473439,1.7391876248285072,0.6552647534357317
explicit_young_preference,7338.0,5.395884437176342,1.2063253688212527,1.0,5.0,6.0,6.0,7.0,0.6292441390460792
explicit_thermo_diff,8268.0,-0.7189163038219643,2.7088188323628652,-10.0,-3.0,-1.0,1.0,10.0,0.5822554567502021
tyoung,8275.0,5.507311178247734,1.8336785556387016,0.0,4.0,5.0,7.0,10.0,0.5819017784963622
told,8276.0,6.223537941034316,1.9427595786803529,0.0,5.0,6.0,8.0,10.0,0.5818512530315278
political_liberal,6884.0,4.376670540383498,1.1765724461420624,1.0,4.0,4.0,5.0,7.0,0.6521827000808408
age,8073.0,25.099715099715098,7.60206997839949,7.0,21.0,23.0,27.0,67.0,0.592107922392886
year,19792.0,2012.4120351657236,3.0544951366498068,2006.0,2011.0,2013.0,2014.0,2017.0,0.0
PCT_error_3467,6823.0,7.627143485270409,6.817336983075695,0.0,3.3333333333333335,5.833333333333333,10.0,64.16666666666667,0.6552647534357317
pct_300,6823.0,1.1822756363281062,8.624049810543593,0.0,0.0,0.0,0.0,100.0,0.6552647534357317
ctoya,7373.0,16.236945612369457,2.913825074025064,1.0,14.0,16.0,18.0,32.0,0.6274757477768795
atoma,7368.0,40.649022801302934,5.942719805492959,1.0,39.0,40.0,45.0,70.0,0.627728375101051
yatoa,7366.0,23.047108335595983,4.344228614487096,1.0,20.0,22.0,25.0,60.0,0.6278294260307195
matoo,7363.0,61.55860382996062,7.64315041242987,1.0,60.0,60.0,65.0,109.0,0.6279810024252223
choosetobe,7364.0,21.03041825095057,9.431664388081353,1.0,18.0,20.0,23.0,115.0,0.6279304769603881
feel,7384.0,23.925243770314193,8.365715773386363,1.0,20.0,22.0,26.0,115.0,0.6269199676637025
hopetolive,7362.0,80.61518609073622,18.765684278093502,1.0,70.0,80.0,90.0,115.0,0.6280315278900566
othersthink,7340.0,23.5350136239782,7.854377046753321,1.0,20.0,22.0,26.0,100.0,0.6291430881164106
