,term,estimate,std_error,t,p,ci_low,ci_high,n,r_squared,adj_r_squared,model
0,Intercept,0.4874919334786448,0.006351847144660656,76.74805806503531,0.0,0.4750423130751099,0.49994155388217965,4906,0.013519005361243286,0.012713879064863876,"IAT Young-Good by year, demographics, politics"
1,year_centered,-0.0026450332491219225,0.0023569899688405146,-1.1222081061393343,0.26177396684031146,-0.007264733588049331,0.0019746670898054862,4906,0.013519005361243286,0.012713879064863876,"IAT Young-Good by year, demographics, politics"
2,age_centered,0.004375990349009473,0.0007490351013092048,5.842169934841339,5.152520519353398e-09,0.0029078815504434315,0.0058440991475755145,4906,0.013519005361243286,0.012713879064863876,"IAT Young-Good by year, demographics, politics"
3,sex_male,0.04306891236376296,0.012224571401963612,3.5231429346344916,0.00042646130150528227,0.01910875241591428,0.06702907231161163,4906,0.013519005361243286,0.012713879064863876,"IAT Young-Good by year, demographics, politics"
4,political_centered,-0.007600773500392273,0.0045546977179514074,-1.6687767160563438,0.09516163881127597,-0.01652798102757703,0.0013264340267924862,4906,0.013519005361243286,0.012713879064863876,"IAT Young-Good by year, demographics, politics"
5,Intercept,0.3073985695236291,0.027765278655061135,11.071330251806986,1.7281601071997484e-28,0.2529786233597093,0.3618185156875489,4512,0.028068813906092616,0.026774343957909896,IAT Young-Good with explicit attitudes
6,year_centered,-0.002351361835012916,0.0024236946895387127,-0.9701559545276046,0.3319687616452786,-0.007101803426508793,0.0023990797564829606,4512,0.028068813906092616,0.026774343957909896,IAT Young-Good with explicit attitudes
7,age_centered,0.004570689239348342,0.0007801657696727216,5.858612896161465,4.6674926196329296e-09,0.003041564330789807,0.006099814147906876,4512,0.028068813906092616,0.026774343957909896,IAT Young-Good with explicit attitudes
8,sex_male,0.03860301012802193,0.012758120920520281,3.0257598566833215,0.0024800919181783023,0.013597093123802181,0.06360892713224169,4512,0.028068813906092616,0.026774343957909896,IAT Young-Good with explicit attitudes
9,political_centered,-0.008368847094272472,0.004703029286772246,-1.7794588517257837,0.0751645652792944,-0.017586784496346073,0.0008490903078011286,4512,0.028068813906092616,0.026774343957909896,IAT Young-Good with explicit attitudes
10,explicit_young_preference,0.033954274950381294,0.004858025325668968,6.989316167409166,2.7622929427371224e-12,0.02443254531207012,0.04347600458869247,4512,0.028068813906092616,0.026774343957909896,IAT Young-Good with explicit attitudes
11,explicit_thermo_diff,0.004944877993440191,0.0022083114062256093,2.2392122684779556,0.025142107960765263,0.0006165876372379968,0.009273168349642385,4512,0.028068813906092616,0.026774343957909896,IAT Young-Good with explicit attitudes
12,Intercept,0.48729053243899406,0.0063534575886665225,76.69690489604223,0.0,0.4748377555652077,0.49974330931278044,4906,0.013840612281506903,0.012834327191998174,IAT Young-Good year by politics interaction
13,year_centered,-0.0025289350303393174,0.002358634943541454,-1.0722028168302131,0.28362894549526985,-0.007151859519680567,0.002093989459001932,4906,0.013840612281506903,0.012834327191998174,IAT Young-Good year by politics interaction
14,age_centered,0.004413968861082019,0.0007495917207433646,5.888497349870298,3.897227960160596e-09,0.002944769088425024,0.005883168633739014,4906,0.013840612281506903,0.012834327191998174,IAT Young-Good year by politics interaction
15,sex_male,0.04315331186848069,0.012224008018099019,3.5302097155521626,0.0004152303910968841,0.019194256153006614,0.06711236758395477,4906,0.013840612281506903,0.012834327191998174,IAT Young-Good year by politics interaction
16,political_centered,-0.008209047892553991,0.004579768519764401,-1.7924591291300225,0.07305945047424277,-0.017185394191292218,0.0007672984061842351,4906,0.013840612281506903,0.012834327191998174,IAT Young-Good year by politics interaction
17,year_x_politics,0.002380868705836813,0.0018834247394073748,1.2641167210036544,0.2061881358520883,-0.0013106437834016415,0.0060723811950752675,4906,0.013840612281506903,0.012834327191998174,IAT Young-Good year by politics interaction
