,count,mean,std,min,25%,50%,75%,max,missing_rate
iat_korea_good,5377.0,0.43883614047719943,0.3663825114629066,-1.664537039583831,0.21318721819879755,0.4634691242377894,0.6931635055579645,1.784788247837038,0.6332196452933151
D_biep.Korea_Good_36,5377.0,0.46586837061922604,0.47601048383258904,-1.7705031225833505,0.18105987762760586,0.5317671987192149,0.8138316893179902,1.7706407078829156,0.6332196452933151
D_biep.Korea_Good_47,5377.0,0.41180391033517283,0.38614593919344037,-1.8766096157135883,0.16763121038596113,0.43641642813692316,0.6844280380427175,1.7989357877911605,0.6332196452933151
explicit_korea_preference,5636.0,5.003548616039745,1.587994501100133,1.0,4.0,5.0,6.0,7.0,0.6155525238744884
explicit_thermo_diff,5898.0,1.5237368599525263,2.500574017180613,-10.0,0.0,2.0,3.0,10.0,0.5976807639836289
tkorea,5904.0,6.308434959349594,1.9728523401219995,0.0,5.0,6.0,8.0,10.0,0.5972714870395635
tusa,5573.0,4.757760631616724,1.798089480857557,0.0,4.0,5.0,6.0,10.0,0.619849931787176
political_liberal,5213.0,4.493957414156915,1.2011010919911198,1.0,4.0,5.0,5.0,7.0,0.644406548431105
rwa_mean,5497.0,3.4831423200533624,0.843321398529136,1.0,3.0,3.6,4.0,6.4,0.6250341064120054
sdo_mean,5529.0,3.155799722674384,0.8575422452360298,1.0,2.5,3.25,3.75,6.5,0.6228512960436562
age,5726.0,23.992665036674815,6.7636027185788254,7.0,20.0,22.0,26.0,67.0,0.6094133697135061
year,14660.0,2012.4804911323329,2.584322805846175,2006.0,2011.0,2012.0,2014.0,2017.0,0.0
PCT_error_3467,5378.0,8.042642865997273,6.556077018368413,0.0,3.3333333333333335,6.666666666666667,10.833333333333334,64.16666666666667,0.6331514324693043
pct_300,5378.0,0.9673670509483079,8.15578538270525,0.0,0.0,0.0,0.0,100.0,0.6331514324693043
