,term,estimate,std_error,t,p,ci_low,ci_high,n,r_squared,adj_r_squared,model
0,Intercept,0.45794776153849126,0.006820539325470765,67.1424559973317,0.0,0.44457950446056854,0.471316018616414,3943,0.00974795225462266,0.008742109646450613,"IAT Korea-Good by year, demographics, politics"
1,year_centered,-0.010245169121156816,0.0026342559778889047,-3.889207885319977,0.00010057194247557059,-0.015408310837819069,-0.005082027404494562,3943,0.00974795225462266,0.008742109646450613,"IAT Korea-Good by year, demographics, politics"
2,age_centered,-0.0024583830597758394,0.0008735226086738788,-2.814332491643216,0.004887864399761749,-0.004170487372776642,-0.000746278746775037,3943,0.00974795225462266,0.008742109646450613,"IAT Korea-Good by year, demographics, politics"
3,sex_male,-0.029415480442206463,0.012476463623133968,-2.3576777307043977,0.018389649902415792,-0.053869349143549045,-0.004961611740863885,3943,0.00974795225462266,0.008742109646450613,"IAT Korea-Good by year, demographics, politics"
4,political_centered,0.0011487390754833194,0.004732226353051477,0.24274812525452827,0.8082005236772881,-0.008126424576497576,0.010423902727464213,3943,0.00974795225462266,0.008742109646450613,"IAT Korea-Good by year, demographics, politics"
5,Intercept,0.24757564625821135,0.020806758738758348,11.898808909483494,1.2004831529399489e-32,0.206794399130245,0.2883568933861777,3723,0.06225012072057179,0.06073599282076647,IAT Korea-Good with explicit attitudes
6,year_centered,-0.0014789366136446075,0.0027312915377506707,-0.5414788546749468,0.5881775684929098,-0.006832268027635922,0.003874394800346707,3723,0.06225012072057179,0.06073599282076647,IAT Korea-Good with explicit attitudes
7,age_centered,-0.0025602480439015233,0.0008856354623510553,-2.8908598997435715,0.003841893489060718,-0.0042960935501095915,-0.000824402537693455,3723,0.06225012072057179,0.06073599282076647,IAT Korea-Good with explicit attitudes
8,sex_male,-0.02491783736028799,0.012636425273491434,-1.9719055683065982,0.0486203875312857,-0.0496852308963312,-0.0001504438242447767,3723,0.06225012072057179,0.06073599282076647,IAT Korea-Good with explicit attitudes
9,political_centered,0.0022218213999139168,0.004753151218370685,0.4674417660702002,0.640183846710324,-0.007094354988092626,0.01153799778792046,3723,0.06225012072057179,0.06073599282076647,IAT Korea-Good with explicit attitudes
10,explicit_korea_preference,0.03594680790607067,0.004240347521553317,8.477325908632764,2.3042879081496193e-17,0.027635726763826165,0.044257889048315166,3723,0.06225012072057179,0.06073599282076647,IAT Korea-Good with explicit attitudes
11,explicit_thermo_diff,0.016920444562636243,0.002724741804796923,6.209925847963909,5.300960914479291e-10,0.011579950625234274,0.022260938500038213,3723,0.06225012072057179,0.06073599282076647,IAT Korea-Good with explicit attitudes
12,Intercept,0.3543057490575422,0.031122914254769922,11.38408010757672,5.0195126947187184e-30,0.29330483711819316,0.41530666099689123,3854,0.01353083103575936,0.01199227761392796,IAT Korea-Good with RWA and SDO
13,year_centered,-0.009292792594995238,0.002682723275532184,-3.463940049184456,0.0005323251329458012,-0.014550930215038319,-0.0040346549749521576,3854,0.01353083103575936,0.01199227761392796,IAT Korea-Good with RWA and SDO
14,age_centered,-0.0020457961373404063,0.0008918462620780915,-2.2938887836716337,0.021796887853574982,-0.0037938148110134655,-0.0002977774636673471,3854,0.01353083103575936,0.01199227761392796,IAT Korea-Good with RWA and SDO
15,sex_male,-0.02682317017201133,0.012681933744631354,-2.115069413871239,0.03442403161707588,-0.051679760311488784,-0.001966580032533874,3854,0.01353083103575936,0.01199227761392796,IAT Korea-Good with RWA and SDO
16,political_centered,0.006810904020499332,0.0050427551953319385,1.35063150136738,0.1768135046285559,-0.0030728961623512673,0.016694704203349932,3854,0.01353083103575936,0.01199227761392796,IAT Korea-Good with RWA and SDO
17,rwa_mean,0.028395766131417245,0.007231618099706163,3.926613067768475,8.615040341569733e-05,0.014221794655993165,0.042569737606841324,3854,0.01353083103575936,0.01199227761392796,IAT Korea-Good with RWA and SDO
18,sdo_mean,0.0010959684391343635,0.007063419831527643,0.15516116346964082,0.8766942644935567,-0.012748334430659817,0.014940271308928544,3854,0.01353083103575936,0.01199227761392796,IAT Korea-Good with RWA and SDO
