variable,label_ko,pearson_r,spearman_r,age_demeaned_r,year_demeaned_r,permutation_p,n_cells
high_income_wm,고소득 비율,0.5664074126622919,0.5652947719688542,0.4640089331760796,0.6447808217442416,0.0011997600479904018,30
p05_aq1_wm,p05_aq1 평균,-0.514611993659309,-0.5399332591768632,-0.34194598344676486,-0.5766075405413003,0.0021995600879824036,30
p03_10_wm,p03_10 평균,-0.4313804417235562,-0.5074527252502781,-0.0965661033059819,-0.7045628290761006,0.020595880823835233,30
depression_high_wm,우울 고위험 비율,0.3697406110901071,0.46607341490545046,0.13862161647960525,0.46755166296939393,0.04539092181563687,30
SELF_ESTEEM_wm,자존감 평균,-0.3689241398391082,-0.4197997775305895,0.06886140603538803,-0.6199970652515255,0.04099180163967207,30
p05_12aq1_wm,p05_12aq1 평균,-0.3482758628812998,-0.37619577308120133,-0.07773699856884667,-0.5218075816197906,0.0619876024795041,30
p03_9_wm,p03_9 평균,-0.34189608055133663,-0.37664071190211346,0.11706014909262885,-0.6294129453290788,0.0637872425514897,30
self_esteem_low_wm,낮은 자존감 비율,0.323427532531498,0.4122358175750834,-0.08257984966839146,0.5425713769739635,0.07518496300739852,30
p05_aq_composite_wm,p05_aq 문항 합성점수,-0.31000870102272526,-0.28587319243604004,-0.39184099056834865,0.1290314311814412,0.08958208358328335,30
p03_5_wm,p03_5 평균,-0.29715352126825695,-0.3779755283648498,0.31495717122001604,-0.5781865554868183,0.10817836432713457,30
p03_composite_wm,p03 문항 합성점수,-0.29143923587127935,-0.32858731924360396,0.21229323771954994,-0.5772221916528565,0.11937612477504499,30
low_income_wm,저소득 비율,0.28608871333327285,0.3797552836484983,-0.09697165134451995,0.5144602944177726,0.12837432513497302,30
CES_D_wm,우울 평균(CES-D),0.2670901210231146,0.38242491657397104,-0.011921665119014043,0.3886936557138469,0.15296940611877624,30
h_din_wm,가구소득 평균,0.2552541877272911,0.31123470522803115,0.4212116174845004,0.08488877138163356,0.17536492701459708,30
p05_aq2_wm,p05_aq2 평균,-0.16280552985815314,-0.14438264738598441,-0.32232472988968647,0.3672449529787347,0.39592081583683264,30
AUDIT_wm,AUDIT 평균,0.16072309298844867,0.071412680756396,0.1612822403368881,-0.0477922935314833,0.39372125574885025,30
p05_7aq1_mod_wm,p05_7aq1_mod 비율,0.15232863339125666,0.14126807563959956,-0.09443712622697492,0.2847061968051676,0.4309138172365527,30
p03_6_wm,p03_6 평균,-0.1373490239638604,-0.18442714126807563,0.27267450751524946,-0.41574020331532435,0.4921015796840632,30
p05_aq3_wm,p05_aq3 평균,0.1346225034709601,0.1906562847608454,-0.42311595449157957,0.7341226853979691,0.47570485902819437,30
p03_7_wm,p03_7 평균,-0.08601872711510755,0.0006674082313681868,0.15330034355391817,-0.28991766873024755,0.6670665866826635,30
high_risk_drinking_wm,고위험 음주 비율,-0.025994337666838535,-0.09588431590656285,-0.0953850077903824,-0.0055044579810735956,0.8952209558088382,30
problem_drinking_wm,문제음주 비율,0.015544600138069818,0.018909899888765295,0.08051453808227248,-0.2269567057678916,0.9354129174165167,30
