variable,label_ko,lag_pearson_r,lag_spearman_r,lag_permutation_p,n_lag_cells
high_income_wm,고소득 비율,0.6894657308743527,0.6384615384615384,0.0001999600079984003,25
p05_7aq1_mod_wm,p05_7aq1_mod 비율,0.523082900046566,0.5023076923076923,0.007398520295940812,25
p05_aq_composite_wm,p05_aq 문항 합성점수,-0.4817782809249361,-0.4915384615384616,0.015796840631873626,25
p05_aq2_wm,p05_aq2 평균,-0.47433179221371974,-0.52,0.01759648070385923,25
p05_aq1_wm,p05_aq1 평균,-0.4479980206536349,-0.5269230769230769,0.020795840831833633,25
h_din_wm,가구소득 평균,0.4172815979059159,0.41692307692307695,0.039192161567686463,25
depression_high_wm,우울 고위험 비율,0.3660599890923433,0.44923076923076927,0.06798640271945611,25
SELF_ESTEEM_wm,자존감 평균,-0.34400554556130214,-0.46307692307692305,0.08858228354329134,25
self_esteem_low_wm,낮은 자존감 비율,0.31380952837193854,0.4684615384615385,0.1217756448710258,25
low_income_wm,저소득 비율,0.2578367571688662,0.4084615384615385,0.21895620875824834,25
p03_9_wm,p03_9 평균,-0.25630631929484393,-0.2823076923076923,0.21195760847830433,25
p03_5_wm,p03_5 평균,-0.23267854025233625,-0.3892307692307692,0.26454709058188364,25
CES_D_wm,우울 평균(CES-D),0.2322622805480835,0.30230769230769233,0.261747650469906,25
p03_10_wm,p03_10 평균,-0.20345013124998773,-0.3715384615384616,0.32893421315736854,25
AUDIT_wm,AUDIT 평균,0.16499042842951864,0.13076923076923078,0.4359128174365127,25
p03_composite_wm,p03 문항 합성점수,-0.13935896568698736,-0.3030769230769231,0.505498900219956,25
p03_7_wm,p03_7 평균,0.10234127083032217,0.07153846153846154,0.6322735452909418,25
p05_12aq1_wm,p05_12aq1 평균,-0.10062877811922862,-0.21923076923076923,0.6322735452909418,25
high_risk_drinking_wm,고위험 음주 비율,0.09638500467761292,0.08923076923076922,0.6446710657868426,25
p03_6_wm,p03_6 평균,0.065784765074508,-0.14923076923076922,0.7514497100579884,25
problem_drinking_wm,문제음주 비율,-0.057369347051644606,-0.03615384615384615,0.7894421115776845,25
p05_aq3_wm,p05_aq3 평균,-0.005269173368922159,-0.013076923076923076,0.98000399920016,25
