cause,sex,age_band,survey_year,suicide_deaths,suicide_rate
고의적 자해(자살) (X60-X84),남자,40 - 44세,2010,940,42.0
고의적 자해(자살) (X60-X84),남자,40 - 44세,2011,1014,44.5
고의적 자해(자살) (X60-X84),남자,40 - 44세,2012,931,40.2
고의적 자해(자살) (X60-X84),남자,40 - 44세,2013,1025,44.2
고의적 자해(자살) (X60-X84),남자,40 - 44세,2014,1033,45.0
고의적 자해(자살) (X60-X84),남자,40 - 44세,2015,882,39.3
고의적 자해(자살) (X60-X84),남자,40 - 44세,2016,901,41.7
고의적 자해(자살) (X60-X84),남자,40 - 44세,2017,732,35.2
고의적 자해(자살) (X60-X84),남자,40 - 44세,2018,840,41.8
고의적 자해(자살) (X60-X84),남자,40 - 44세,2019,795,40.6
고의적 자해(자살) (X60-X84),남자,40 - 44세,2020,750,38.2
고의적 자해(자살) (X60-X84),남자,40 - 44세,2021,765,38.3
고의적 자해(자살) (X60-X84),남자,40 - 44세,2022,752,37.1
고의적 자해(자살) (X60-X84),남자,40 - 44세,2023,846,41.4
고의적 자해(자살) (X60-X84),남자,40 - 44세,2024,953,47.5
고의적 자해(자살) (X60-X84),남자,45 - 49세,2010,1172,53.4
고의적 자해(자살) (X60-X84),남자,45 - 49세,2011,1102,51.1
고의적 자해(자살) (X60-X84),남자,45 - 49세,2012,975,46.0
고의적 자해(자살) (X60-X84),남자,45 - 49세,2013,1076,50.5
고의적 자해(자살) (X60-X84),남자,45 - 49세,2014,1053,48.3
고의적 자해(자살) (X60-X84),남자,45 - 49세,2015,994,44.9
고의적 자해(자살) (X60-X84),남자,45 - 49세,2016,970,43.0
고의적 자해(자살) (X60-X84),남자,45 - 49세,2017,960,41.8
고의적 자해(자살) (X60-X84),남자,45 - 49세,2018,1114,48.5
고의적 자해(자살) (X60-X84),남자,45 - 49세,2019,1090,47.9
고의적 자해(자살) (X60-X84),남자,45 - 49세,2020,950,42.7
고의적 자해(자살) (X60-X84),남자,45 - 49세,2021,847,39.5
고의적 자해(자살) (X60-X84),남자,45 - 49세,2022,865,41.9
고의적 자해(자살) (X60-X84),남자,45 - 49세,2023,890,44.7
고의적 자해(자살) (X60-X84),남자,45 - 49세,2024,1066,54.9
고의적 자해(자살) (X60-X84),남자,50 - 54세,2010,1126,56.7
고의적 자해(자살) (X60-X84),남자,50 - 54세,2011,1246,59.8
고의적 자해(자살) (X60-X84),남자,50 - 54세,2012,1102,51.0
고의적 자해(자살) (X60-X84),남자,50 - 54세,2013,1236,56.5
고의적 자해(자살) (X60-X84),남자,50 - 54세,2014,1212,55.5
고의적 자해(자살) (X60-X84),남자,50 - 54세,2015,1127,52.2
고의적 자해(자살) (X60-X84),남자,50 - 54세,2016,1009,47.6
고의적 자해(자살) (X60-X84),남자,50 - 54세,2017,961,46.0
고의적 자해(자살) (X60-X84),남자,50 - 54세,2018,1046,49.8
고의적 자해(자살) (X60-X84),남자,50 - 54세,2019,1050,48.9
고의적 자해(자살) (X60-X84),남자,50 - 54세,2020,913,41.8
고의적 자해(자살) (X60-X84),남자,50 - 54세,2021,955,42.9
고의적 자해(자살) (X60-X84),남자,50 - 54세,2022,929,41.0
고의적 자해(자살) (X60-X84),남자,50 - 54세,2023,1045,46.1
고의적 자해(자살) (X60-X84),남자,50 - 54세,2024,1223,54.5
고의적 자해(자살) (X60-X84),남자,55 - 59세,2010,896,64.8
고의적 자해(자살) (X60-X84),남자,55 - 59세,2011,964,64.0
고의적 자해(자살) (X60-X84),남자,55 - 59세,2012,909,56.2
고의적 자해(자살) (X60-X84),남자,55 - 59세,2013,1030,59.8
고의적 자해(자살) (X60-X84),남자,55 - 59세,2014,1008,54.9
고의적 자해(자살) (X60-X84),남자,55 - 59세,2015,1073,55.4
고의적 자해(자살) (X60-X84),남자,55 - 59세,2016,999,49.1
고의적 자해(자살) (X60-X84),남자,55 - 59세,2017,1041,49.3
고의적 자해(자살) (X60-X84),남자,55 - 59세,2018,1133,53.0
고의적 자해(자살) (X60-X84),남자,55 - 59세,2019,1115,52.2
고의적 자해(자살) (X60-X84),남자,55 - 59세,2020,1051,49.7
고의적 자해(자살) (X60-X84),남자,55 - 59세,2021,926,44.5
고의적 자해(자살) (X60-X84),남자,55 - 59세,2022,907,44.3
고의적 자해(자살) (X60-X84),남자,55 - 59세,2023,1011,49.1
고의적 자해(자살) (X60-X84),남자,55 - 59세,2024,1166,55.4
고의적 자해(자살) (X60-X84),남자,60 - 64세,2010,770,72.0
고의적 자해(자살) (X60-X84),남자,60 - 64세,2011,809,73.0
고의적 자해(자살) (X60-X84),남자,60 - 64세,2012,722,63.0
고의적 자해(자살) (X60-X84),남자,60 - 64세,2013,746,62.9
고의적 자해(자살) (X60-X84),남자,60 - 64세,2014,729,59.0
고의적 자해(자살) (X60-X84),남자,60 - 64세,2015,764,57.4
고의적 자해(자살) (X60-X84),남자,60 - 64세,2016,793,54.5
고의적 자해(자살) (X60-X84),남자,60 - 64세,2017,730,46.8
고의적 자해(자살) (X60-X84),남자,60 - 64세,2018,866,52.0
고의적 자해(자살) (X60-X84),남자,60 - 64세,2019,993,55.8
고의적 자해(자살) (X60-X84),남자,60 - 64세,2020,822,43.7
고의적 자해(자살) (X60-X84),남자,60 - 64세,2021,850,43.0
고의적 자해(자살) (X60-X84),남자,60 - 64세,2022,836,40.8
고의적 자해(자살) (X60-X84),남자,60 - 64세,2023,1007,48.5
고의적 자해(자살) (X60-X84),남자,60 - 64세,2024,1065,51.3
