,count,mean,std,min,25%,50%,75%,max,missing_rate
iat_d2,6854.0,0.29676161826270436,0.4142922099348044,-1.2306204177255,0.019209545373489626,0.316366580283461,0.6024278695239422,1.60931423803663,0.3953242170269078
iat_d6,6854.0,0.29409969412150827,0.42783148794329,-1.21343490521017,0.0087384898481712,0.3048151711914085,0.6008914307777462,1.62406249726173,0.3953242170269078
explicit_thermo_diff,8418.0,-0.6423140888572108,3.1085468898460444,-10.0,-3.0,-1.0,1.0,10.0,0.25734450816056464
identity_diff,6569.0,-0.08357436443903182,1.7056150405508965,-4.0,-1.0,0.0,1.0,4.0,0.42046757829730924
Tfat,8427.0,5.91622166844666,1.969710480120186,0.0,5.0,6.0,7.0,10.0,0.25655050727834144
Tthin,8423.0,5.2759111955360325,1.891775697880617,0.0,4.0,5.0,6.5,10.0,0.25690339655932953
controlother,7323.0,3.00996859210706,0.6475504125893237,1.0,3.0,3.0,3.0,5.0,0.35394794883105424
controlyou,7339.0,2.8554298950810737,0.8156291448773938,1.0,2.0,3.0,3.0,5.0,0.3525363917071019
important,7383.0,5.355004740620344,1.3738142383446432,1.0,5.0,6.0,6.0,7.0,0.3486546096162329
identthin,7371.0,1.9915886582553248,1.0463789404172312,1.0,1.0,2.0,3.0,5.0,0.34971327745919717
identfat,7373.0,2.0816492608164925,1.055618712468411,1.0,1.0,2.0,3.0,5.0,0.3495368328187031
weight_importance_high,7383.0,2.644995259379656,1.3738142383446432,1.0,2.0,2.0,3.0,7.0,0.3486546096162329
thin_identification_high,7371.0,4.008411341744675,1.0463789404172315,1.0,3.0,4.0,5.0,5.0,0.34971327745919717
fat_identification_high,7373.0,3.9183507391835075,1.055618712468411,1.0,3.0,4.0,5.0,5.0,0.3495368328187031
thin_over_fat_identification,6569.0,0.08357436443903182,1.7056150405508965,-4.0,-1.0,0.0,1.0,4.0,0.42046757829730924
age,8281.0,23.974519985508998,6.777766505744648,7.0,20.0,22.0,26.0,67.0,0.2694309660344067
year,11335.0,2013.4348478164975,2.6757878754838744,2009.0,2011.0,2013.0,2015.0,2019.0,0.0
