,iat_d2,iat_d6,explicit_thermo_diff,identity_diff,controlother,controlyou,important,identthin,identfat,age,year
iat_d2,1.0,0.9776741262530922,0.07155536734295133,0.12195074622179443,-0.009409248578114086,0.08675095866634074,0.05974358555887677,0.10694499703973934,-0.09091293889979947,-0.016037810543689152,-0.03083901197130346
iat_d6,0.9776741262530922,1.0,0.07007652988257101,0.12412792108523059,-0.008971887221971717,0.08590994754488408,0.05173602520060062,0.10628123414498049,-0.09314104944143954,-0.0041838224023699406,-0.026067422293955735
explicit_thermo_diff,0.07155536734295133,0.07007652988257101,1.0,0.07969604252425751,-0.017324847312898746,0.07874537439888137,0.05384086346341529,0.06171440172256498,-0.06062793895321514,0.002847598638001614,0.041255912637777815
identity_diff,0.12195074622179443,0.12412792108523059,0.07969604252425751,1.0,-0.11024021563375938,0.42632538319054886,-0.14873198415394445,0.8116304921448021,-0.814562141021329,0.05729073725038429,0.01217626221514279
controlother,-0.009409248578114086,-0.008971887221971717,-0.017324847312898746,-0.11024021563375938,1.0,0.06713086161210724,-0.008926733769990926,-0.08148744052862077,0.10495761051492576,-0.07650393813186668,-0.013362490897030121
controlyou,0.08675095866634074,0.08590994754488408,0.07874537439888137,0.42632538319054886,0.06713086161210724,1.0,-0.1176276073364369,0.3200632688843706,-0.36862326763322184,0.0670835646767633,0.020204515687314586
important,0.05974358555887677,0.05173602520060062,0.05384086346341529,-0.14873198415394445,-0.008926733769990926,-0.1176276073364369,1.0,-0.06190877298311118,0.17549672082062118,-0.0990324927092742,-0.12185912018938956
identthin,0.10694499703973934,0.10628123414498049,0.06171440172256498,0.8116304921448021,-0.08148744052862077,0.3200632688843706,-0.06190877298311118,1.0,-0.3222596240050422,0.015588677770697265,0.0018134380737114856
identfat,-0.09091293889979947,-0.09314104944143954,-0.06062793895321514,-0.814562141021329,0.10495761051492576,-0.36862326763322184,0.17549672082062118,-0.3222596240050422,1.0,-0.08094222927181012,-0.01546225965496395
age,-0.016037810543689152,-0.0041838224023699406,0.002847598638001614,0.05729073725038429,-0.07650393813186668,0.0670835646767633,-0.0990324927092742,0.015588677770697265,-0.08094222927181012,1.0,0.24194478015125986
year,-0.03083901197130346,-0.026067422293955735,0.041255912637777815,0.01217626221514279,-0.013362490897030121,0.020204515687314586,-0.12185912018938956,0.0018134380737114856,-0.01546225965496395,0.24194478015125986,1.0
